u,t,theta
"[0.6088010890130957, -0.07608522076302197, -0.5997693858485815, 1.055063151850972]",56.158887302566534,0.0
"[0.9604856900790092, 0.0033160331590584777, -1.4777063912020467, 0.045251681284226575]",54.187077345078556,0.003143164235707647
"[1.8697331065941483, 0.10023324309929703, -0.17794809150702195, 0.5629405177636501]",58.98078647933629,0.006286328471415294
"[0.9652855774814081, 0.008088082518841229, -1.5729734888278197, 0.4149801553175292]",57.889778245825646,0.009429492707122941
"[0.18890425953065784, 0.4183098457971694, -1.4394258203128873, -0.013777672579120772]",50.45885803063007,0.012572656942830588
"[0.9689517863692644, 0.07706057045233682, -0.5412722375339086, -0.22812051471850997]",48.81872396514244,0.015715821178538234
"[0.7757172272699812, -0.2950516835462354, -0.29614370255800465, 0.8186106145420287]",51.47606742630666,0.018858985414245882
"[1.7469956335024142, 5.102875234710291, -0.19598344696426168, 0.17407130306092677]",61.48487779114391,0.02200214964995353
"[0.2054215640780244, 0.6867194038050467, -0.5016350130168011, -0.20598650407100938]",53.807583354772945,0.025145313885661175
"[-0.13845442080992357, 0.5272444682072542, -1.4879731179372493, 0.06357609945176465]",59.491241568014225,0.02828847812136882
"[1.8332335726450861, 0.993238687069085, -0.16867703275431192, 0.5170694213773477]",55.149756928370564,0.03143164235707647
"[1.549358763265596, 1.3227728910596337, -0.18360096602626771, 0.5851941866000228]",54.639100278423776,0.03457480659278411
"[1.4772956501493413, 1.3632892485745918, -0.190499516309231, 0.6089611814448407]",54.621525637286105,0.037717970828491765
"[1.4933343493599465, 1.5535250363120756, -0.18786686354005294, 0.6002523265622632]",54.72754667034448,0.04086113506419941
"[1.3378286448625412, -0.2353299792793756, -0.4076879890484221, 0.938448525165684]",64.51684654297763,0.04400429929990706
"[0.15443488239606254, 0.7192453836940262, -0.40207582653429175, -0.133620454789178]",63.52385364382538,0.047147463535614706
"[-0.5263981087073248, 0.7992624917145674, -0.5968672284801952, -0.2538760407499846]",60.20599780213069,0.05029062777132235
"[1.3237085509480295, 1.637266925135439, -0.2102863390843094, 0.6645869970844988]",65.86380726268938,0.05343379200703
"[2.0953768056902735, 4.718319661549421, -0.19127151768081604, 0.18855924425963091]",63.92004211201493,0.05657695624273764
