u,t,theta
"[0.09449874709881181, 0.5504659171746429, -0.6666583539391209, 0.9170531639225799]",98.93058868961347,0.005655432319693596
"[0.5030015288879804, 0.5608103316946571, -0.2412550916173058, 0.3232113169109137]",95.65907261009693,0.05341241635266175
"[-0.09048982929505023, 0.5314334692063534, -1.0081207523015865, 0.7567588493691636]",82.55485436734513,0.18725764791874352
"[0.25345479275394434, 0.6315326206093383, -0.2420269814684316, 0.5848339953015994]",91.97080150374094,0.2651769376567442
"[-0.0249952000911769, 0.5312944146408903, -0.9107030140489774, 0.8531425338097405]",99.6906850079429,0.42352904260816493
"[0.2871899331491828, 0.6284090462537061, -0.2296763796232283, 0.5608486086356396]",94.2634328653237,0.42918447492785855
"[0.2357776939531489, 0.6322141942149034, -0.2507999759026505, 0.5996522611040613]",78.15186593922776,0.49704966276418167
"[0.2375980833544595, 0.4688841818279432, -0.9246682210275883, 0.958986124406108]",93.51212897905673,0.4976780441330365
"[0.13437132678601918, 0.6293271455678628, -0.31934656886240426, 0.673052364890175]",85.70575263681312,0.5473201722725692
"[-0.09755119580971901, 0.602553491549249, -0.5506434498384739, 0.689066743394457]",86.40862973382367,0.6220975551662957
"[1.0185929186328069, 0.6819300010002404, -0.6029519291054071, 0.5193483582265322]",89.58826039564427,0.6359219452811022
"[0.015657286870116503, 0.5344896960970189, -0.8405015563807041, 0.8916434547574854]",95.09358398286798,0.6792802597320865
"[0.9236665472913534, 1.019292677756183, -0.45902424306222633, 0.5913963039036458]",72.16883500934813,0.7433751593552806
"[0.855189897350285, 1.1102360498497588, -0.4586358206554921, 0.6592239287886289]",91.32792276333247,1.0104372411185893
"[0.3713861051599582, 0.4802844536354722, -0.7113511107639624, 0.9713676815141801]",99.84925471227068,1.0544239369384285
"[-0.06681186431836245, 0.5303555737105866, -0.9767212160300625, 0.7964327000401099]",99.25843979521672,1.4854935559728515
"[0.39118786060973787, 0.6095220951739876, -0.2189684428526236, 0.2757193169436663]",81.15873963884746,1.5370208282189486
"[-0.06350640396555766, 0.5291052618263692, -0.9895660785355895, 0.795454590449908]",92.87531156281703,1.7406163917279183
"[-0.21956415293618012, 0.581079662058075, -1.0450991511754342, 0.4536542418065574]",88.01105387480933,1.773920604277225
"[0.3347659139765423, 0.5911021843320943, -0.3249841419164473, 0.7569819188459499]",95.04764102312362,1.8147653932527898
"[0.8797825088969439, 0.8217064974512337, -0.43261532712383977, 0.6828432147799012]",99.8262090029744,1.951124150294291
"[0.8692101690370332, 1.172072622383442, -0.4730349363977197, 0.5781443510280699]",83.6772547965779,2.2131591811067612
"[0.17026530128644402, 1.5075952393409044, -0.7810404904646017, 0.5684864351188486]",98.58493003488103,2.507870043099683
"[-0.18425297392980805, 0.6159002534073963, -0.6026516770190251, 0.5634629978091029]",95.19571605064918,2.677533012690491
"[0.06650592320378196, 0.6240662448750972, -0.375805614802472, 0.6998700129259505]",87.21741494824037,2.8314864480599273
"[0.25684940398773426, 0.6282560604086291, -0.2482142782635685, 0.6031823304192782]",96.02681143218096,3.664091761792596
"[0.7800882886544107, 0.6066282236240049, -0.380479066895345, 0.629108599764736]",96.39240455295455,5.230018132978868
"[0.24261914951537392, 0.5069646353989891, -0.7375903960995691, 0.9742918084982516]",89.7549755938311,5.235673565298561
"[-0.03972426084379673, 0.521967144176356, -1.193092301766489, 0.6851205581245343]",83.83579417586185,5.245727667200239
"[0.31365926798690735, 0.624212250358039, -0.22420169707384233, 0.5487750191722529]",79.94997210976757,5.253896624995352
"[0.36757359562254044, 0.4669502024745738, -0.7562490191629887, 0.9723955427657408]",98.44775453209836,5.255781769101916
"[-0.009356790842024405, 0.5380859601186494, -0.8357773492802747, 0.8732523579216694]",96.48178472596133,5.256410150470771
"[0.008932751585017992, 0.5355671673590279, -0.8386672793125254, 0.8869448574747679]",84.5603186663608,5.257038531839626
"[0.24701388481646872, 0.6290644645151923, -0.25202003501471437, 0.6084278506909472]",91.51321433159379,5.269606159216723
"[0.39130667549700776, 0.5359178259227437, -0.5143180064145327, 0.916967426229848]",84.21580754920147,5.322390194200529
"[0.45614736800358263, 0.5792300766143728, -0.23225684959219148, 0.28627518697859045]",85.46458707773695,5.651662031480468
"[0.8364835026065055, 1.1573731989282803, -0.46623475658589164, 0.6544917535593965]",97.30527317480363,5.720155600685646
"[-0.09751416322616588, 0.5482638806481571, -1.2345516337814602, 0.5252824393427167]",85.01300131694364,5.722669126161065
"[0.0831981962302837, 0.6257170311828911, -0.3607678952192665, 0.6942844766962744]",87.51224614293746,5.765399059243195
"[0.03802798185485519, 0.5411690023474478, -0.7714526556165334, 0.9044804969761624]",93.24778797711703,5.891075333014164
"[0.20794493998315253, 0.6424532502599946, -0.2441276239100596, 0.5623991917396429]",96.44899840352613,5.945744512104535
"[0.5047499452210235, 0.5479672479413603, -0.26143108250523034, 0.2505604966723031]",96.52575719574793,6.172590186261134
"[0.8769535352254896, 0.934002402936977, -0.44019509344075153, 0.6942159064610923]",95.64849216290621,6.246739187786005
"[0.700047936205805, 0.5245648030008765, -0.32848027468201735, 0.4664915654006421]",93.74234610808615,6.253651382843409
"[0.198624135403989, 0.5457465068592725, -0.6008563032457214, 0.9353078903417349]",87.69872817622061,6.280671781704167
