u,t,theta
"[0.7121869444232243, 0.916416987721555, -0.5695621581863152, 0.6904092051601852]",64.06001555819557,0.0
"[0.7139806447045774, 0.9036572354020782, -0.5675038909453052, 0.7015816056903242]",64.05851865375007,6.283248139660983e-5
"[0.7152458091632395, 0.8909268054521478, -0.5658889564844704, 0.712799402406073]",64.05852948187204,0.00012566496279321966
"[0.7159944698916624, 0.8781701556506155, -0.5647693679769319, 0.7241096258277193]",64.06017423384155,0.00018849744418982948
"[0.71622701486066, 0.8653361488837227, -0.5642192852569335, 0.7355524830084156]",64.06364081203526,0.0002513299255864393
"[0.7159319487822805, 0.8523504727560368, -0.5643415137950075, 0.7471842862774506]",64.06920582712672,0.00031416240698304914
"[0.7150816540490705, 0.8391264952247529, -0.56528330902673, 0.7590649917516854]",64.07727346275202,0.00037699488837965897
"[0.713624190360639, 0.8255301297313395, -0.5672646220624298, 0.7712841196440671]",64.08846693093776,0.0004398273697762688
"[0.7114658868545197, 0.8113536439268275, -0.5706378174506138, 0.7839722496502097]",64.10380469015934,0.0005026598511728786
"[0.7084361345373776, 0.7962604346979146, -0.5760186188302249, 0.7973207967918687]",64.12508843674057,0.0005654923325694885
"[0.704177453128977, 0.7795610931819036, -0.5846802773017161, 0.8116914784145092]",64.15610487308702,0.0006283248139660983
"[0.6976671988231025, 0.7592816042230216, -0.6003216041083831, 0.8280154113162854]",64.2080386502947,0.0006911572953627081
"[0.46343750915654114, 1.1758248266890239, -0.7018161153516576, 0.5147991983056539]",68.96600021278896,0.0027646291814508324
"[0.08947342107467743, 0.9258020194542821, -1.0755733849809148, 0.08849112512096281]",84.68547220124815,0.0028274616628474426
"[0.20280438344927548, 0.6188131694326918, -1.1951245313917833, 0.10674101298194004]",75.01460699389592,0.0028902941442440523
"[0.17617050162469872, 0.6426415286791365, -0.5848886018159777, -0.3812244244974549]",68.6940588223438,0.0030159591070372718
"[0.7145261084850377, 0.8332637328676689, -0.6210116808599723, 0.884406308353595]",76.80304866781371,0.003141624069830491
"[0.1010092824563625, 0.7630470039971844, -1.080714857489244, -0.10802785432323816]",90.41752269619322,0.003204456551227101
"[0.5064620707329569, 0.5682573270951247, -0.2675137009984714, 0.3216834225850447]",79.49451623385731,0.003330121514020321
"[0.16000744723109714, 0.6601041212139547, -1.1008751053979289, -0.14962210658857047]",70.07983605525257,0.0035814514396067605
"[0.12871281638607768, 0.703534591715437, -1.1489283922575508, 0.29573318651906366]",77.99180648237365,0.00370711640239998
"[0.3324873467022193, 0.5570884496259927, -0.6637654294935618, -0.21820015780365892]",70.75265274850214,0.0038327813651931994
"[0.29228877950422855, 0.5687068995178661, -0.8145149306782792, -0.24072036780007064]",70.6268027393256,0.003895613846589809
"[0.2941163398032224, 0.568051159086451, -0.8584020475766768, -0.21497366646759697]",70.55162224715906,0.003958446327986419
"[0.3086497744279868, 0.5632794107672789, -0.8713149845060842, -0.1803579789247065]",70.50007275168795,0.004021278809383029
"[0.322811817591854, 0.5593627479286457, -0.8709444870742004, -0.15251328877145637]",70.46668570368234,0.004084111290779639
"[0.3311582156534744, 0.5573819059945326, -0.8667539356700102, -0.13800559803417797]",70.44628524514839,0.0041469437721762484
"[0.2603916498215017, 0.5822834284610148, -0.22822808978713618, -0.22051800573987332]",70.82126825109432,0.004649603623349127
"[0.6356850811525844, 0.6551876877037986, -0.6441521413536798, 0.45270469609077185]",70.46279103835366,0.005026598511728786
"[0.18323903531790794, 0.6357762253057886, -1.1157717595740664, -0.12055798910690926]",69.71591811567166,0.005089430993125397
"[0.2857171773661881, 0.5711704624135167, -0.6875058362907676, -0.29259984544896833]",82.37892012619513,0.005152263474522006
"[0.3196557256296982, 0.5601744636585102, -0.5263094925942733, -0.24995705237725968]",76.40798551844094,0.005215095955918615
