u,t,theta
"[0.7509981923026472, -0.12190230264329861, -0.7733816843524063, 0.7509981923026224]",55.97500154138589,0.0
"[-1.0628741937667776, 0.1509074806990005, -0.5878567653882214, -1.0628741937667816]",63.54003998025155,0.003143164235707647
"[-0.48120795214961787, -1.6261849220792663, 0.5596727627326936, -0.48120795214962025]",64.91778201622611,0.006286328471415294
"[-0.22725709186508378, -1.0664166063647762, 0.7769672005910437, -0.22725709186508755]",73.77515674941941,0.009429492707122941
"[-0.1340148419677461, -4.517728822493326, 0.27987478812026234, -0.13401484196779856]",76.87297248659189,0.012572656942830588
"[0.21505099633211128, -0.6713569722379983, 0.1994828141938029, 0.21505099633209943]",70.5042190681083,0.015715821178538234
"[-0.4895775918546046, -6.715064142155391, 0.17912177948476218, -0.4895775918546108]",63.52713724506895,0.018858985414245882
"[1.1298533844670868, -0.03312071899227522, -0.7987140904849236, 1.1298533844670724]",83.93124424157284,0.02200214964995353
"[0.8863840841235124, -0.008841231859340534, -3.4581366130938327, 0.8863840841221394]",65.44260081749627,0.025145313885661175
"[0.4123110703505961, -0.7148860883285478, 0.49401683807237845, 0.412311070350589]",73.56133291482065,0.02828847812136882
"[-1.0294564599631981, 0.03290505909303429, -0.4686890253924195, -1.02945645996323]",81.97565691809567,0.03143164235707647
"[0.386006760887439, -2.786023828610821, 0.3968825668115019, 0.3860067608874206]",82.78262603744294,0.03457480659278411
"[-0.6670044490611329, -0.9572878499967284, 0.5353479770321815, -0.6670044490611389]",83.91472025934772,0.037717970828491765
"[-0.16075135124800133, -6.4158142477252715, 0.20374429607398, -0.1607513512480857]",82.22050648243729,0.04086113506419941
"[-0.002585237648339373, -0.7680960097420401, 0.3514854468326626, -0.0025852376483449383]",59.85994081525117,0.047147463535614706
"[-1.040107869669707, -0.06447901749059028, -0.37049035658038315, -1.040107869669713]",69.762370714906,0.05029062777132235
"[-0.20167919995954006, -2.9490280507785727, 0.3993261729331072, -0.20167919995963904]",68.97459987797609,0.05343379200703
"[0.14674089094853426, -4.9617654593355685, 0.25721156393402717, 0.14674089094848372]",73.34209723326205,0.05657695624273764
"[-0.5225784502131725, -14.695907036301781, 0.08533722375113119, -0.5225784502133336]",72.47617117697766,0.06286328471415294
"[-0.9568150735469719, -3.6156772923429803, 0.20800371080022106, -0.956815073546991]",59.93327867214731,0.06600644894986059
"[0.1900790211939152, 0.014208314312345293, -1.913095503311189, 0.19007902119390996]",56.80210160086196,0.06914961318556823
"[-0.9375514886780005, -3.3738846028217426, 0.223971585830293, -0.9375514886780115]",59.67226439298476,0.07229277742127588
"[-0.242955981080727, -3.176862572776933, 0.3720906800361999, -0.24295598108074534]",69.61579209323594,0.07543594165698353
"[-0.4342945128734191, -9.825329190000916, 0.12899122926314607, -0.43429451287350646]",70.55729306785142,0.07857910589269117
"[-0.1214670423798965, -6.170879407392708, 0.21200594435213663, -0.1214670423799267]",74.58179617452797,0.08172227012839882
"[-0.0879943900687155, -7.678128875814369, 0.17401847660224687, -0.0879943900688091]",73.13264716867268,0.08486543436410646
"[-0.7802539644549674, -19.46817416027424, 0.056547780370691546, -0.7802539644550599]",72.66527053415855,0.08800859859981412
"[-0.47902463407841095, -14.047935685972043, 0.09063592593188048, -0.47902463407857027]",73.02082225153877,0.09115176283552176
"[-0.30438619825179775, -11.08470474615846, 0.11959526636737026, -0.30438619825193325]",73.12038075471868,0.09429492707122941
"[-0.6092035209419232, -16.314419531942395, 0.07422560729249805, -0.6092035209419525]",72.65609887323478,0.09743809130693705
"[0.9493793859304436, -1.1375276155589393, 0.3475835427403722, 0.9493793859304349]",73.84545043979763,0.1005812555426447
"[0.3501219415584001, -0.5555289754572712, 0.012798953716587467, 0.35012194155839704]",57.46676325815514,0.10372441977835235
"[-0.10018078751790034, 0.008220115063502873, -14.712714574830338, -0.10018078747752399]",51.93576333993485,0.11001074824976764
"[0.3505097913770138, -0.5275050254883312, -0.06280431474212336, 0.35050979137700666]",57.645972975247346,0.11315391248547528
"[0.6468516732735584, -0.4868258329429257, 0.12771896794277907, 0.6468516732735522]",57.51781802558954,0.11629707672118293
"[-0.9112247898036427, -3.6649367933342316, 0.21811954581699344, -0.9112247898037151]",60.03141436619185,0.11944024095689058
"[0.44940101502069385, -0.9713575111621072, 0.7836597239662416, 0.4494010150206925]",59.806406170666214,0.12258340519259824
"[-0.11846072797941476, 0.1180645262313485, -3.6360067818288324, -0.11846072797915512]",52.07264858552594,0.12572656942830587
"[-0.14406636156752023, 0.17008955476745563, -2.922031903065363, -0.14406636156738073]",52.18777299849683,0.12886973366401352
"[-0.2253623811564269, 0.2649760601188942, -2.1423436428273304, -0.22536238115641447]",52.41291499999415,0.13201289789972118
"[-0.6951992743737462, 0.6115145235171963, -1.0282233002003587, -0.6951992743737533]",57.655853379113836,0.13515606213542883
"[-0.5112005452897592, -0.8062073651860311, 0.46965687368079423, -0.5112005452897594]",56.87427748269324,0.13829922637113645
"[0.747602685426175, -0.14744074030883686, -0.6928308991179577, 0.7476026854261612]",53.40743508423972,0.1414423906068441
"[-1.1727105208160953, -4.205795993713031, 0.13009615839901525, -1.172710520816119]",57.21479223867414,0.14458555484255176
"[-0.2795827010061569, -1.5265603878596445, 0.6472030031734949, -0.279582701006157]",57.44127098251677,0.1477287190782594
"[-0.7822476139559037, -3.5083133667113757, 0.257896473516921, -0.7822476139559223]",61.83811853086599,0.15087188331396706
"[0.36975045005792084, -0.9664957262066158, 0.8350279879425304, 0.3697504500579203]",62.29512212737724,0.15401504754967468
"[-0.4501291096569464, 0.8628045283058032, -1.170999865651731, -0.4501291096569498]",59.467016626179536,0.15715821178538233
"[1.1070310215914474, -0.12868098735844505, -0.6684409136203769, 1.107031021591443]",60.35702428059823,0.16030137602109001
"[0.4736023299517997, -1.8062172934214553, 0.5278199989929414, 0.47360232995179197]",60.92850117407674,0.16344454025679764
"[0.23717333192866405, -2.5107933053089697, 0.4521824651630705, 0.23717333192865775]",60.68583892397977,0.1665877044925053
"[0.15562452294184698, -2.8256528453423755, 0.41704161018234204, 0.15562452294182916]",60.573041032118475,0.1697308687282129
"[0.14051904347183564, -2.8889608077893527, 0.4103104787098694, 0.14051904347179775]",60.537837360215335,0.1728740329639206
"[0.17764050104502285, -2.738432188489753, 0.42647548942416724, 0.1776405010450166]",60.56491225893852,0.17601719719962824
"[0.27943424182719384, -2.365484413363464, 0.46898212544085727, 0.2794342418271919]",60.6642964242628,0.17916036143533587
"[0.5307373959811676, -1.6763986618681, 0.5347078624697397, 0.5307373959811673]",60.86025095085427,0.18230352567104352
"[1.1386059015194872, -0.28168745337399154, -0.36992699040143034, 1.1386059015194854]",60.30396545425595,0.18544668990675117
