u,t,theta
"[0.39999963992165105, 0.8660255375186472, -0.8660254564323383, 0.3999998154788445]",4.1575335315817705,0.0
"[0.3999996392076745, 0.8660255377838201, -0.8660254565367306, 0.39999981511296906]",4.162822397006256,0.003143164235707647
"[0.3999996384893954, 0.8660255380505911, -0.8660254566417519, 0.39999981474488905]",4.16811116882605,0.006286328471415294
"[0.39999963776680736, 0.8660255383189623, -0.8660254567474032, 0.3999998143746008]",4.173399773670598,0.009429492707122941
"[0.39999963703989927, 0.8660255385889379, -0.8660254568536859, 0.3999998140020989]",4.178688127191867,0.012572656942830588
"[0.3999996363086663, 0.8660255388605201, -0.8660254569606014, 0.39999981362738046]",4.18397613744088,0.015715821178538234
"[0.3999996355731021, 0.8660255391337108, -0.8660254570681502, 0.39999981325044254]",4.18926372787244,0.018858985414245882
"[0.39999963483319606, 0.866025539408514, -0.8660254571763335, 0.3999998128712798]",4.194550808465637,0.02200214964995353
"[0.3999996340889425, 0.8660255396849319, -0.8660254572851525, 0.3999998124898892]",4.199837290137985,0.025145313885661175
"[0.3999996333403352, 0.8660255399629668, -0.8660254573946081, 0.3999998121062675]",4.205123108091264,0.02828847812136882
"[0.39999963258736904, 0.8660255402426207, -0.8660254575047013, 0.39999981172041194]",4.210408152670831,0.03143164235707647
"[0.3999996318300298, 0.8660255405238987, -0.8660254576154336, 0.39999981133231555]",4.2156923588063355,0.03457480659278411
"[0.399999631068321, 0.8660255408067995, -0.8660254577268047, 0.39999981094198017]",4.220975629563703,0.037717970828491765
"[0.39999963030222857, 0.8660255410913283, -0.8660254578388169, 0.39999981054939826]",4.226257888103598,0.04086113506419941
"[0.3999996295317508, 0.8660255413774861, -0.8660254579514705, 0.39999981015456876]",4.231539050970322,0.04400429929990706
"[0.3999996287568833, 0.866025541665274, -0.8660254580647657, 0.39999980975748994]",4.236819034496671,0.047147463535614706
"[0.3999996279776185, 0.8660255419546954, -0.8660254581787039, 0.3999998093581581]",4.242097745048545,0.05029062777132235
"[0.3999996271939518, 0.8660255422457512, -0.8660254582932856, 0.39999980895657017]",4.247375115222229,0.05343379200703
"[0.3999996264058768, 0.8660255425384447, -0.866025458408512, 0.3999998085527234]",4.252651045235168,0.05657695624273764
"[0.39999962561339103, 0.8660255428327761, -0.8660254585243832, 0.39999980814661623]",4.257925465292309,0.05972012047844529
"[0.3999996248164849, 0.8660255431287495, -0.8660254586409009, 0.39999980773824384]",4.263198287706655,0.06286328471415294
"[0.39999962401516104, 0.8660255434263633, -0.8660254587580641, 0.39999980732760776]",4.268469422405766,0.06600644894986059
"[0.39999962320940985, 0.8660255437256218, -0.8660254588758752, 0.39999980691470244]",4.273738808149139,0.06914961318556823
"[0.3999996223992302, 0.8660255440265248, -0.8660254589943335, 0.39999980649952827]",4.2790063395705955,0.07229277742127588
"[0.39999962158462066, 0.8660255443290731, -0.8660254591134394, 0.39999980608208385]",4.284271943765157,0.07543594165698353
"[0.3999996207655734, 0.8660255446332695, -0.8660254592331942, 0.3999998056623654]",4.28953554589145,0.07857910589269117
"[0.39999961994208627, 0.8660255449391151, -0.8660254593535982, 0.39999980524037204]",4.294797049494697,0.08172227012839882
"[0.39999961911415455, 0.8660255452466112, -0.8660254594746521, 0.3999998048161003]",4.300056387402937,0.08486543436410646
"[0.39999961828178004, 0.8660255455557575, -0.8660254595963555, 0.39999980438955257]",4.305313472771042,0.08800859859981412
"[0.3999996174449557, 0.8660255458665564, -0.8660254597187097, 0.3999998039607241]",4.310568234364364,0.09115176283552176
"[0.39999961660368183, 0.866025546179008, -0.8660254598417142, 0.3999998035296159]",4.315820573770663,0.09429492707122941
"[0.3999996157579572, 0.8660255464931126, -0.8660254599653698, 0.3999998030962264]",4.321070425330122,0.09743809130693705
"[0.3999996149077801, 0.8660255468088709, -0.8660254600896763, 0.3999998026605555]",4.326317700925846,0.1005812555426447
"[0.3999996140531466, 0.8660255471262841, -0.8660254602146342, 0.39999980222260095]",4.33156232692514,0.10372441977835235
"[0.3999996131940527, 0.866025547445354, -0.8660254603402443, 0.3999998017823606]",4.336804225441424,0.10686758401406
"[0.3999996123305028, 0.8660255477660789, -0.8660254604665059, 0.39999980133983715]",4.342043315107777,0.11001074824976764
"[0.3999996114624941, 0.8660255480884599, -0.8660254605934198, 0.3999998008950281]",4.347279516356518,0.11315391248547528
"[0.3999996105900232, 0.866025548412498, -0.8660254607209857, 0.399999800447933]",4.3525127568474975,0.11629707672118293
"[0.3999996097130973, 0.8660255487381908, -0.8660254608492031, 0.39999979999855495]",4.357742946135384,0.11944024095689058
"[0.39999960883170466, 0.8660255490655426, -0.8660254609780738, 0.39999979954688747]",4.362970027431637,0.12258340519259824
"[0.399999607945854, 0.86602554939455, -0.866025461107596, 0.39999979909293587]",4.368193906803533,0.12572656942830587
"[0.399999607055546, 0.866025549725213, -0.8660254612377701, 0.39999979863669993]",4.373414519951529,0.12886973366401352
