u,t,theta
"[1.3921769486149618, -0.06248975313811551, -0.7369665868380437, 1.4280616322247441]",264.32686190433316,0.12886973366401352
"[0.18418821626930743, 0.9145547149138582, -0.936240278950088, 0.07651230064016618]",134.34501587657226,0.18544668990675117
"[1.4126076069704523, 0.07526025219524533, -0.8899943145262088, 1.369200583887419]",156.87617748887186,0.5029062777132235
"[-0.7462233135391799, -0.4586872422548156, 0.8809483952978571, -0.48666856593683033]",141.3529983376736,0.5060494419489312
"[-0.12218138090353112, -0.036875477951052074, 6.025504767867649, 1.6852426775317386]",169.85857769566,0.5091926061846388
"[-0.5419985251106837, 0.7442549000995952, -0.5236839638851691, -0.8448794232895604]",127.61090343867245,0.5123357704203465
"[-0.6447676899219684, -0.8265358352448037, 1.0408243648213373, -0.3700685206780012]",188.0204844160313,0.5469105770131306
"[0.126886988280262, -0.08969274757066963, -1.689831005408154, 1.3847809373383078]",149.295610739143,0.6129170259629911
"[-0.7082685877422359, 0.7948946552731383, -0.5519867042382665, -0.9808858339997518]",171.63034983586604,0.622346518670114
"[0.7380549092398578, -0.11631787912616091, -0.7553937108051624, 0.8754371582855279]",233.44727844612092,0.6977824603270977
"[1.0020283402337296, 0.6984383989480313, -1.1043666221044535, 0.7190863845171448]",257.15076780904144,0.7417867596270047
"[1.332413115068123, -0.002834417447085427, -0.7616648195867484, 1.3340394199665382]",226.75313752678719,0.792077387398327
"[-0.9819451950570453, 0.5093528440171116, -0.12898619210182038, -1.179248300054746]",216.77220468297804,0.7983637158697423
"[-0.0917197099706895, -0.023037035031463853, 8.185569108709114, 1.9584452697170003]",150.72024254333158,0.8926586429409717
"[0.879789580343391, 0.005468957609417844, -3.047365131735072, 0.8608805120832416]",158.73881973189592,0.9178039568266328
"[-0.16205963245719238, -0.7153231465906614, 0.8345300917446494, 0.36411388657456917]",160.31709557554635,0.9618082561265399
"[-0.10060755873098053, -0.0014273241897697273, 34.02230765427431, 0.3820482857091681]",231.08346905030817,0.9995262269550318
"[1.2210283571080514, 0.2960582065933249, -0.9524151502054751, 1.0618839289875912]",272.0419484510874,1.024671540840693
"[0.8404248154273366, -0.31024529991554595, -0.23943361659382828, 1.0433404090405523]",87.7884401674616,1.0278147050764006
"[0.7472456221561894, 0.8214628243551214, -1.020897717605113, 0.5280026505997195]",181.9576584057224,1.1472549460332913
"[0.8621738210992331, -0.4639749853881953, 0.10809735772754916, 1.0536877746118976]",118.93695827032813,1.1975455738046135
"[0.25352410330440295, 0.25582387776437127, -1.155133824288669, -0.6539436870684604]",293.9353288173654,1.4835735192540094
"[-0.4741087310768421, -0.35971599445278424, 1.1773004711254373, 0.146209339015334]",233.673594980432,1.5621526251467004
"[-0.880385401222682, 0.28226569377975214, 0.16915714841896506, -1.0251188117998054]",177.5659069807903,1.5967274317394846
"[0.5684348257957325, 0.08357259826370067, -0.8976593103424526, 0.44874592101212]",294.2816652393375,1.744456150817744
"[0.08274684666085633, -0.6930506551449462, 0.6308601014606339, 0.6036271667459878]",175.5789686879844,1.8356079136532657
"[-0.4998889959179108, -0.9548189764570858, 1.1075497047277134, -0.20816383526874122]",233.41204756962284,1.8670395560103423
"[0.11129204631154095, 1.022858749763095, -1.0405854390216385, -0.051629742022470254]",248.0049966483961,1.8953280341317114
"[-0.34098030414606334, -0.025937243048517175, 2.2093019833003167, -0.17489897556818562]",161.9587229482586,2.2190739504095984
"[0.8873616966153304, -0.004059647729263612, -3.838704092396585, 0.9049422020095119]",258.80083139665027,2.596253658694516
"[0.6607554627362201, 0.7856656104398745, -0.9031007754636887, 0.5211201879350943]",288.12847976136084,2.822561483665467
"[0.21683395199321367, 0.4210944747388663, -0.8741238131845386, -0.6629551657185325]",272.9681245387702,3.881807831098944
"[0.6348255773731635, -0.39809729094887775, -0.0023367789389914136, 0.8859366291452826]",233.0497662227535,3.906953144984605
"[0.5171474058507632, 0.03992581037336765, -0.9256440895464292, 0.4487664768189295]",96.11789927868583,4.045252371355741
"[0.8591676967392085, 0.05110051526145105, -1.7102036866318544, 0.7604896071755426]",177.48521861580676,4.133260969955556
"[0.9005985945840809, 0.0012691255082920225, -11.927298569474614, 0.8837924077993187]",213.69328722067934,4.16783577654834
"[-0.06744931025482205, -0.04571004485480996, 4.532715472809976, 2.973370804900716]",238.81943093124076,4.177265269255463
"[0.9604233245420231, -0.4334477575896843, -0.0022822329965136367, 1.157072221448211]",250.71093683809008,4.186694761962586
"[1.3166290151046656, 0.2806934324216754, -1.0039069587012497, 1.162446413372317]",274.72640145464527,4.208696911612539
"[-0.09692066445718515, -0.002192977626454343, 21.75529116788738, 0.39527630920413803]",247.83175909297168,4.44757739352632
"[-0.33938550383862365, -0.7676644717575654, 0.9344504168998529, 0.03787175384059561]",211.6736663048259,4.535585992126134
"[-0.27102959498178236, -0.6889547525262455, 0.8963692376743478, 0.25621612995525767]",122.40478627244579,4.538729156361843
"[0.8887808577535687, -0.0209314050585943, -2.8281834736567952, 0.9558794873742417]",245.66015505795966,4.551301813304673
"[1.269703876767676, 0.09993184854530934, -0.8359207416434246, 1.2117779840128218]",128.44902744578764,4.604735605311703
