u,t,theta
"[12.81727662453473, 1.0853712974169387, -0.63823739060872, 0.06673462799684457]",91.18454987263351,0.08172227012839882
"[27.497104051056624, 1.1574612381819886, -0.7432852130204382, 0.02909370875359171]",96.34384027375219,0.1005812555426447
"[26.92283022377289, 1.1543247594101937, -0.7360889518332728, 0.0298838138259856]",87.77238089629898,0.10686758401406
"[29.48341366514649, 1.119985568503944, -0.6775997294842536, 0.029073707426190663]",90.39261588068973,0.11001074824976764
"[33.034272016545955, 1.1755706747122876, -0.9306916642764154, 0.022067572784575728]",81.32293103150563,0.12258340519259824
"[44.75247213192245, 1.0948129176926988, -1.0843285725188785, 0.017844070029929927]",83.33549594846077,0.13515606213542883
"[19.59634827830573, 1.1817148191852906, -0.847581082064692, 0.03711545662562463]",81.88154560299516,0.1414423906068441
"[18.524796708471655, 1.1738313356698435, -0.7935305191647566, 0.040502210249349704]",79.89673266588159,0.15401504754967468
"[31.464261888242465, 1.1818811205012636, -0.8813605339531367, 0.02336755704119934]",81.61601495198745,0.16030137602109001
"[43.51459355819999, 1.1155231693291692, -1.0603212220305012, 0.01784485615220927]",87.88445446131766,0.1697308687282129
"[1.036917811192165, 0.6750795620496217, -0.6139546091171784, 0.41907910905796564]",83.71455047581783,0.19801934684958175
"[22.141033321021148, 1.1435130336704167, -1.017684941104394, 0.032949149664892145]",86.86298209239877,0.2294509892066582
"[19.656794961903625, 1.0852294643928848, -0.6381008991501956, 0.04483377586936418]",68.17776252327494,0.24202364614948882
"[-0.02470279993223106, 0.6294182301280186, -0.6562230077678136, 0.6001574963602817]",57.66725526594098,0.24516681038519647
"[-0.46091306396319687, 0.6534458418791068, -1.1001406101682465, -0.06652915782534484]",72.69163908979763,0.25145313885661175
"[22.15208189143768, 1.1557391857317627, -0.7392739755883887, 0.03586127679337943]",72.97980665151691,0.2608826315637347
"[13.713788175869361, 1.1796179080465086, -0.8252854814656008, 0.05218643663670762]",73.71207333582583,0.26402579579944235
"[15.977167361484097, 1.1152281949106453, -0.6713513970582581, 0.052295639283656235]",66.726887386443,0.26716896003515
"[-0.7063370598329772, 0.5530533335440757, -0.8207652309007594, -0.1807880929033016]",58.100157069650216,0.27031212427085766
"[42.31250928793335, 1.1374148737021494, -1.0283453212856115, 0.017858169591349515]",80.72180158459857,0.3017437666279341
"[30.93865881977425, 1.1820400211509974, -0.8544167169332214, 0.024016673445533616]",74.85812660537574,0.30488693086364177
"[5.736632893442696, 0.984274122886067, -0.5727384445946238, 0.14970733753884144]",76.07408660681732,0.3268890805135953
"[-0.35923640265027296, 0.5536787855692431, -0.8166331970152441, 0.42499501567934933]",97.28236707650427,0.3300322447493029
