u,t,theta
"[0.4650363524058429, 0.20993561040352535, -1.0575102990458851, 0.3751180423911432]",87.4300085379864,0.1080815954430332
"[0.11794140936028204, 0.6234638550468052, -0.26138635705717744, 0.5059858922863943]",80.35026714775421,0.14452771483661417
"[0.16264434797236485, 0.5202543863439573, -0.6025407250574434, 0.8405105479362228]",91.47150284955865,0.17469002054164665
"[0.09654943704753535, 0.4240704094262341, -1.1552283019216683, 0.7238458860307465]",83.22444967821926,0.41158979659992295
"[0.9313138852465012, 0.8127833746251459, -1.134250063322843, 0.46328991592094576]",79.47205399836551,0.42792771219014886
"[0.3957577831640933, 1.4991543964699505, -0.5980417909734624, 0.4347698365707621]",92.45858662331989,2.8886691526257184
"[0.5701801830002929, 1.065527482858835, -0.7735445340082125, 0.9153445196671182]",94.7751596297815,2.90186516137167
"[0.48875204218709933, 0.373323151238076, -0.9458617613233199, 0.7639432216563308]",72.77010717690584,2.970987111945703
"[0.29664650866763315, 0.4341257856142845, -0.8197944547981981, 0.8579553506116658]",89.62004324839867,2.9735006374211226
"[0.8804414822903954, 0.8170201471615541, -1.1976651217875343, 0.5251694204430953]",67.51949115433155,3.068386224118204
"[0.15176791113617225, 0.6068967965356103, -0.28813372829265294, 0.577346036808964]",85.17039215782677,3.069014605487059
"[0.6085764873964786, 1.0580220183132447, -0.6661016610595022, 0.8726677470666478]",88.54263686270906,3.1211702591020107
"[0.5347687883430511, 0.6271085586018571, -0.4081751273673595, 0.7221083764778212]",85.9882203894916,3.5648075055135306
"[-0.29620289269091166, 0.5669568531002765, -0.7513264134800874, 0.5048029647290698]",91.80542395961255,3.572348081939789
"[0.040932627628028385, 0.46870468255301884, -0.9948507952895095, 0.808354560868682]",75.7134923388782,3.650895753046644
"[0.6428548886308356, 0.6376783053477861, -0.8591886298706469, 0.8746837273665834]",99.20982114598921,3.7175041781452576
"[0.03555788648186391, 0.4465335642013403, -1.204957080805122, 0.6731250238635682]",74.81840048871848,3.7369840005797577
"[0.8830504383138229, 0.6625342852378665, -0.5399076432960057, 0.41086368814329305]",85.63849759085616,3.741382670161742
"[0.5756162795591071, 1.3456402161990235, -0.555652756490782, 0.6125285874387335]",57.51864378776933,3.799193756096387
"[0.36653535620468053, 0.5659409178943184, -0.42418826765544193, 0.7585872794137385]",72.85142605525203,3.8852820036295013
"[0.5555924041585832, 0.6040912041921009, -0.6602587597599793, 0.8689666828798107]",82.90784984086943,4.47281858350878
"[0.6226312054781883, 1.0490456802997457, -0.6374288915488464, 0.8569167965052573]",92.84475890140943,4.4948119314187
"[0.5718506916060007, 0.5476514574757598, -0.8027156176739453, 0.8663277344151694]",79.27235681535267,4.5237174743860225
"[0.11165888363373125, 0.46124467409513403, -0.9109339691516793, 0.8465010571945305]",96.43976410783681,4.611062484656846
"[0.20977883595688265, 0.3989133368823899, -1.0067754160084992, 0.8038411382292244]",84.2594265734348,4.7329684702146855
"[0.6150299905728973, 0.4550278451550977, -0.9536718022552453, 0.7734503360178951]",87.65839762174654,4.761245631813154
"[0.8569250912245548, 0.5068457956280191, -0.9485979003711059, 0.5323924152302845]",98.00553736836515,4.802090420788718
"[-0.23073913088893974, 0.5338236231108434, -0.8463819546966549, 0.6279818390833191]",91.31398521306392,5.385856712454869
"[0.13011206227249897, 0.41764860682317684, -1.0945982848639426, 0.7667448709910692]",82.6322267201503,5.717642075210226
