u,t,theta
"[0.32059153658341444, -21.31714181045725, 0.062092810434644354, 0.3205915365834598]",84.17564883910886,0.0
"[0.3210056835344926, -21.31812357421577, 0.062083794358394825, 0.32100568353453524]",84.16002126713066,0.003143164235707647
"[0.31986864241681356, -21.263809741502165, 0.062254375867894875, 0.3198686424168319]",84.1463523146952,0.006286328471415294
"[0.31721917455961834, -21.15583319622098, 0.06260169196065297, 0.3172191745597778]",84.13461035232973,0.009429492707122941
"[0.31308031009441745, -20.99541757788803, 0.06312650487468599, 0.3130803100944625]",84.12478652810407,0.012572656942830588
"[0.30745959462201633, -20.78338910839715, 0.06383321090311724, 0.3074595946222303]",84.11689454121877,0.015715821178538234
"[0.3003486959127988, -20.520176462470097, 0.06473006073426611, 0.30034869591305874]",84.11097131192157,0.018858985414245882
"[0.29172224341259717, -20.20579547162681, 0.06582962474557444, 0.29172224341284303]",84.10707866844534,0.02200214964995353
"[0.28153597497645416, -19.839824382345252, 0.0671495317491438, 0.2815359749765123]",84.10530643586979,0.025145313885661175
"[0.2697237058125374, -19.42135696577155, 0.06871360813805485, 0.2697237058125951]",84.10577697429714,0.02828847812136882
"[0.2561931383508908, -18.948942373312523, 0.07055352171148249, 0.25619313835097646]",84.10865188851844,0.03143164235707647
"[0.24081957638803153, -18.420491160175825, 0.07271122556696967, 0.24081957638808182]",84.11414161552311,0.03457480659278411
"[0.22343711039938285, -17.83315303230553, 0.07524254465592248, 0.22343711039959588]",84.1225192467676,0.037717970828491765
"[0.2038252513080161, -17.18313045102426, 0.07822266539077402, 0.20382525130805157]",84.13414083857452,0.04086113506419941
"[0.18168939643230383, -16.465431118895527, 0.08175459734908905, 0.18168939643248067]",84.14947571871424,0.04400429929990706
"[0.15662957319683296, -15.673476998490381, 0.08598296446438414, 0.1566295731969729]",84.1691537144353,0.047147463535614706
"[0.12809113845698306, -14.798555348634974, 0.09111703689000657, 0.12809113845704614]",84.19404057349183,0.05029062777132235
"[0.0952791174274623, -13.828908078830091, 0.09747197438297114, 0.09527911742760162]",84.22536654838501,0.05343379200703
"[0.057003415167944105, -12.74826259364161, 0.10554714097065368, 0.05700341516796211]",84.26495761549288,0.05657695624273764
"[0.011370432391891037, -11.533201083096557, 0.11618900413530654, 0.011370432391964115]",84.31568935228101,0.05972012047844529
"[-0.04490508084676887, -10.148060148649117, 0.13097130361671322, -0.04490508084653852]",84.38248022414834,0.06286328471415294
"[-0.11832429991179304, -8.533546406432372, 0.15324173468173083, -0.11832429991134957]",84.47484116291257,0.06600644894986059
"[-0.224968329493248, -6.575543120076706, 0.19182884980292628, -0.22496832949318957]",84.61523928451037,0.06914961318556823
"[-0.43010295026909523, -3.975001017327619, 0.2812771984989467, -0.4301029502690435]",84.88237822263295,0.07229277742127588
"[-0.33344288580254877, 0.8438321750853155, -1.2168580433766714, -0.33344288580254206]",84.58668943112792,0.07543594165698353
"[0.004820400226911081, -0.8999949987728721, 0.7088258037605549, 0.004820400226921782]",84.1684254157702,0.07857910589269117
"[0.7067233919435206, -7.599937701452357, 0.13802209096557627, 0.706723391943601]",83.21412945298955,0.08172227012839882
"[0.6370764409532303, -0.07521035604832178, -1.2303001836557461, 0.6370764409532638]",85.3751043786802,0.08486543436410646
"[0.3217089665233399, -5.3479683304239645, 0.22580815307970123, 0.3217089665235535]",83.82054134769197,0.08800859859981412
"[1.0094713573778409, -20.87155091789327, 0.041371729942016586, 1.0094713573779863]",84.84639255719277,0.09115176283552176
"[0.20475120485506873, -9.541813842460522, 0.1366287712336391, 0.20475120485515738]",84.21164081876549,0.09429492707122941
"[-0.21972697978726902, 0.039413523200404636, -5.862110890275632, -0.2197269797889404]",78.7881202458226,0.09743809130693705
"[0.3246712232533727, -0.05028997185627637, -1.017609212066421, 0.3246712232533842]",62.419401837736864,0.1005812555426447
"[0.4034103844913985, -15.656536850926125, 0.08163575115959278, 0.4034103844916244]",83.68849117522659,0.10372441977835235
"[0.7377184936708087, -25.76902009034744, 0.043076056094825996, 0.7377184936708532]",86.18357246452207,0.10686758401406
"[0.6876112739559308, -24.130230162490637, 0.04738034044785571, 0.6876112739560135]",82.51127923305816,0.11001074824976764
"[0.1549015846476667, -12.463784527917163, 0.10699330797256379, 0.15490158464769388]",83.70225414552527,0.11944024095689058
"[0.9394773420584339, -25.69467370629407, 0.03660187066687365, 0.9394773420585786]",73.45304913040175,0.12258340519259824
"[-0.10601257766267347, -2.0678361136105448, 0.5195076462155016, -0.10601257766267018]",85.09701502437193,0.12886973366401352
"[-0.22897506037051368, 0.20877350962879243, -2.495263661321768, -0.22897506037063095]",75.0355382306994,0.13201289789972118
"[1.0851276233537188, -43.048597457295045, 0.018774225427459573, 1.085127623354676]",81.76382352966743,0.13515606213542883
"[0.8502101165240368, -18.25247777904579, 0.05508149126986072, 0.8502101165242211]",80.2901524422618,0.1414423906068441
"[0.4101127903068578, -0.6631920500526649, 0.41123253205271204, 0.41011279030690345]",57.908057164517935,0.14458555484255176
"[-0.09811078703630058, 0.12106259240469461, -2.902674370144075, -0.0981107870363491]",58.226467797940295,0.15401504754967468
"[0.9278714974933535, -13.12894354340976, 0.06977088218777659, 0.9278714974933971]",61.14145196100169,0.16030137602109001
"[0.6022031517023619, -11.288340870552943, 0.10236303189722984, 0.6022031517023971]",84.20998477524165,0.16344454025679764
"[0.6066007815775672, -11.36503249624104, 0.10148295789803202, 0.606600781577642]",87.74329510097148,0.1665877044925053
"[1.0653405059543903, -35.168708436932775, 0.02344072547599649, 1.0653405059568253]",80.02507371633939,0.1697308687282129
"[-0.017042726761577313, -5.015449632693339, 0.24968173876246022, -0.01704272676152077]",71.91101684818763,0.1728740329639206
"[0.34232322690591044, -15.327331806339132, 0.0848026710877935, 0.34232322690608286]",86.35970986211488,0.17601719719962824
"[-0.43806261009286424, -0.746583632776803, 0.26933696903157905, -0.4380626100928292]",91.06749747219655,0.17916036143533587
"[0.7123683188404976, 0.14076345209429614, -1.4945814293089807, 0.7123683188404747]",70.21121345352103,0.18230352567104352
"[0.8702665584450366, 0.44564749260642816, -1.0642561722289778, 0.8702665584450389]",86.67319238383347,0.18544668990675117
