u,t,theta
"[-0.6499326171088043, -0.33749964914011665, 1.1360947779826, -0.23523489507675202]",58.893030878731174,0.0
"[0.5604381250020736, 0.8508497530478316, -0.9770803007813152, 0.36879657605188865]",65.53905979199301,0.006286328471415294
"[-1.1235631139542859, 0.14661793571190934, 0.45017878417851936, -1.2014413408409077]",104.93465411469816,0.012572656942830588
"[-0.9548766691685631, 0.5477860531173342, -0.06881613761754192, -1.2296483208856626]",79.22854866400476,0.03457480659278411
"[0.5417963618533866, -1.0501184813507138, 0.8607105239947068, 0.9089099317081584]",127.96691994419788,0.05343379200703
"[-0.28095531377425076, 0.5553365879491482, -0.1702968299703703, -1.0420253307396505]",84.82246426027548,0.05657695624273764
"[0.7104451687030119, -0.10424906847683407, -1.4066840872857773, 0.9321559789916779]",276.23328265017176,0.13515606213542883
"[0.2098357911185251, 0.9329233945867593, -0.9511864003929686, 0.1286390358782556]",89.0879561975863,0.14458555484255176
"[-0.2939979464591999, 0.940441712581389, -0.8456046595701938, -0.5973630604818247]",63.855552262080465,0.17916036143533587
"[0.8309062608703875, -0.6730491522889099, 0.32844475820300306, 1.1100420746643183]",69.59692523897111,0.18544668990675117
"[-0.18884014175293032, -0.008938413573076199, 10.461587994065402, 0.3059175089049697]",74.56034753008882,0.21059200379241236
"[0.7359837688555381, -0.05289697923976814, -1.9980106324075155, 0.8833875866387522]",80.95357116514998,0.25145313885661175
"[0.5189546166249789, 0.826042116243487, -0.9199238845699557, 0.3695190164766896]",219.57200454905922,0.27031212427085766
"[-0.4208050506378266, -0.9537807032319643, 1.1044265338901236, -0.07935694756413716]",166.07010387177164,0.2734552885065653
"[-1.119941401866458, 0.01750116428216743, 0.583950661364663, -1.1293402036170632]",107.18457367259191,0.29860060239222647
"[0.39633898158098774, -0.23103941639538872, -0.5082749309251544, 0.8273103552680099]",225.10501495412524,0.3300322447493029
"[-0.7746624726380165, 0.485989917678609, 0.025749556984905716, -1.0957058095090786]",268.2529248245915,0.3677502155777947
"[0.27641129863313896, -0.6291020488785902, 0.4741342614403267, 0.6291123389657031]",159.82389900157668,0.37717970828491765
"[0.029545507916157284, 0.8935530771728898, -0.8995226652172839, -0.1509944165178308]",126.62654063893396,0.38660920099204055
"[0.4897813085517253, 0.3743558294848954, -0.8777482857518061, 0.10502203490880482]",66.87743608093395,0.4148976791134094
"[0.1022069890726985, -0.7404490468739534, 0.6945879332033295, 0.43445254501836383]",105.11722876069801,0.4211840075848247
"[0.22438432269409542, -0.9067027678237248, 0.8932493580963367, 0.2787474960657007]",54.18689378923106,0.42747033605624
"[0.9261393103562549, -0.25817163559488754, -0.6358204466548457, 1.175349548494735]",52.09803030074767,0.4306135002919476
"[0.5992563919951659, 0.4391330190635745, -0.8771326988954776, 0.2782917359268561]",104.18818152176203,0.43689982876336286
"[-0.1090703251837529, 0.7190943022904616, -0.6453940181510116, -0.5949720066225864]",110.86875484263628,0.4431861572347783
"[-0.023223611920417067, -0.14121394949666602, 0.4941825152171434, 2.1230439619760917]",70.14894605002246,0.4714746353561471
"[0.23167374393199439, -0.8803064861067662, 0.8682073078136342, 0.27764781482684653]",160.3766462405053,0.4966199492418082
"[0.1545642257969682, 1.1482813628981723, -1.1977420771923522, -0.21288701414426825]",166.0336706732683,0.5437674127774229
"[-0.20030599550041414, 0.0026325276877635323, 24.51699944952775, -0.5225560079614259]",158.20231756501258,0.5500537412488382
"[0.7959594831458968, -0.014863496621840656, -5.021045365050545, 0.8899984586689722]",91.4873336481577,0.5531969054845458
"[0.5360993564764684, -0.9508913630308587, 0.805633712153978, 0.7937460855096624]",153.16776178284957,0.5563400697202535
"[-0.5116807030393197, 0.6495429535611991, -0.2898687690965311, -0.9682619864631185]",138.10700754160436,0.5657695624273764
"[-0.88605783760435, -0.48989260793690637, 0.9778337161684291, -0.6162800286551378]",141.9657316562739,0.5846285478416223
"[0.18221489980802186, 0.4706119828772424, -0.7429291944674694, -0.5211070736042138]",81.67830047127364,0.5972012047844529
"[0.7940309384397318, 0.007212731839550209, -6.497285214012284, 0.7350771242344477]",123.2772835177139,0.6129170259629911
"[-0.23203208345439572, -0.06822171954040311, 4.231863543971703, 0.9921555400160368]",56.41686630328592,0.6757803106771441
"[-0.9359061448648491, -0.10746451816405257, 0.7580396508384393, -0.8612044842913226]",72.4295961178781,0.6820666391485594
"[0.2428111943829171, -0.19093612949079963, -0.6888014036363486, 0.9345984077770888]",102.78737063034082,0.685209803384267
"[0.8342734216133575, -0.039312463104258816, -2.617228003923182, 0.959454383141121]",95.93344066264865,0.6914961318556824
"[-0.26438750387536153, 0.688916445597446, -0.4823441851361724, -0.8026543483745355]",87.06149430604647,0.7072119530342206
"[-1.061800273060521, 0.0443118779445968, 0.5537472625799321, -1.0867589440186383]",141.74548951244626,0.7166414457413435
"[0.7169948246621294, 0.05378487935226789, -1.9094842184053589, 0.5777908002649588]",248.01103747177282,0.7229277742127588
"[-0.7680088950828898, 0.22691215249083785, 0.557870324800507, -0.9998768881483183]",58.62960733802084,0.7889342231626194
"[0.5450390143915175, -0.8084931827759979, 0.6997119556742196, 0.7064015557941156]",184.5447749633089,1.059246347433477
"[-0.40870920188066556, 0.7640586559307786, -0.5475856038243104, -0.8133932864978415]",65.10192051939399,1.0749621686120152
