u,t,theta
"[0.18831327247329765, 0.6484287875933282, -0.8929027757032993, 0.4275801834532829]",25.577615741119264,0.0
"[0.18830360693203585, 0.6484285552174865, -0.892901173073395, 0.42757965398527437]",25.577651668493893,6.283248139660983e-5
"[0.1882939399583331, 0.6484283230066795, -0.8928995703301355, 0.42757912419150457]",25.577687593014232,0.00012566496279321966
"[0.18828427363942032, 0.6484280910110829, -0.8928979678195909, 0.4275785941863072]",25.577723519381152,0.00018849744418982948
"[0.18827460664145182, 0.6484278591986207, -0.8928963653206387, 0.42757806389661146]",25.577759446656685,0.0002513299255864393
"[0.18826493990080267, 0.6484276275918145, -0.8928947629885072, 0.42757753337369314]",25.577795375851174,0.00031416240698304914
"[0.18825527222982202, 0.6484273961622021, -0.8928931606263519, 0.42757700255236974]",25.577831302415603,0.00037699488837965897
"[0.1882456050187515, 0.6484271649430766, -0.8928915584646075, 0.42757647150894934]",25.57786723207845,0.0004398273697762688
"[0.18823593608600708, 0.6484269338822919, -0.8928899561417435, 0.42757594012354133]",25.57790315633349,0.0005026598511728786
"[0.18822626765030914, 0.6484267030329055, -0.8928883540254676, 0.4275754085180277]",25.57793908474686,0.0005654923325694885
"[0.18821659927484735, 0.6484264723844556, -0.8928867520433907, 0.42757487666842]",25.577975014553118,0.0006283248139660983
"[0.1882069294416169, 0.648426241900776, -0.8928851499440171, 0.42757434449114634]",25.578010940581052,0.0006911572953627081
"[0.1881972603351146, 0.6484260116339488, -0.8928835480892917, 0.4275738121064019]",25.578046868747222,0.0007539897767593179
"[0.18818759144693425, 0.6484257815718341, -0.892881946394971, 0.4275732794862245]",25.578082798588884,0.0008168222581559278
"[0.18817792148991583, 0.6484255516838243, -0.89288034464785, 0.42757274655967514]",25.578118727066474,0.0008796547395525376
"[0.18816825087953612, 0.6484253219798454, -0.8928787429167833, 0.42757221334958156]",25.578154657492522,0.0009424872209491473
"[0.18815858072781955, 0.6484250924863455, -0.892877141385958, 0.42757167991720635]",25.578190587516296,0.0010053197023457573
"[0.18814890987796065, 0.6484248631757791, -0.8928755398638019, 0.42757114619883535]",25.578226518810652,0.0010681521837423672
"[0.18813923864082746, 0.6484246340556277, -0.8928739384018121, 0.42757061221148324]",25.578262447034458,0.001130984665138977
"[0.18812956726958202, 0.6484244051318848, -0.8928723370419227, 0.42757007796912166]",25.57829837715221,0.0011938171465355868
"[0.1881198958244062, 0.6484241764059707, -0.892870735794105, 0.42756954347507053]",25.578334309350662,0.0012566496279321966
"[0.188110223690305, 0.648423947863359, -0.8928691345565541, 0.427569008695309]",25.578370240590193,0.0013194821093288063
"[0.18810055130869896, 0.6484237195145038, -0.8928675334023679, 0.4275684736542042]",25.578406169429638,0.0013823145907254162
"[0.18809087960505605, 0.6484234913812345, -0.8928659324847407, 0.42756793840296364]",25.578442102739913,0.0014451470721220262
"[0.18808120692910327, 0.6484232634246307, -0.8928643315305169, 0.42756740285024075]",25.578478036269903,0.0015079795535186359
"[0.1880715334004909, 0.6484230356475618, -0.8928627305595372, 0.4275668670025885]",25.57851396585416,0.0015708120349152456
"[0.18806186016180865, 0.6484228080769453, -0.8928611297609134, 0.4275663309232719]",25.57854989884503,0.0016336445163118555
"[0.18805218700833695, 0.6484225807079471, -0.8928595291007614, 0.42756579460095745]",25.578585832043895,0.0016964769977084653
"[0.18804251210061837, 0.6484223534973786, -0.8928579282747315, 0.42756525793358807]",25.57862176279082,0.0017593094791050752
"[0.1880328385070814, 0.6484221265173064, -0.892856327790542, 0.4275647210913514]",25.57865769757861,0.0018221419605016851
"[0.18802316402951996, 0.6484218997161585, -0.8928547272844932, 0.42756418395224055]",25.578693632361073,0.0018849744418982946
"[0.18801348877965118, 0.6484216730965355, -0.8928531267751069, 0.42756364652246664]",25.578729562797157,0.0019478069232949046
"[0.18800381399735877, 0.6484214466875372, -0.8928515264674911, 0.4275631088708219]",25.578765498014683,0.0020106394046915145
"[0.18799413815207092, 0.6484212204533544, -0.8928499261084878, 0.4275625709122271]",25.578801430452604,0.0020734718860881242
"[0.1879844628666173, 0.6484209944319235, -0.8928483259665208, 0.42756203273690646]",25.57883736459743,0.0021363043674847344
"[0.18797478667655906, 0.6484207685890528, -0.892846725799403, 0.42756149426337053]",25.57887329870005,0.002199136848881344
"[0.18796511067267407, 0.648420542950217, -0.8928451257875335, 0.42756095555228996]",25.578909234802225,0.002261969330277954
"[0.1879554336318591, 0.6484203174869059, -0.8928435257286802, 0.4275604165355433]",25.578945168600427,0.0023248018116745635
"[0.18794575747246034, 0.6484200922438234, -0.8928419259400383, 0.4275598773199629]",25.578981105230337,0.0023876342930711737
"[0.18793608005649504, 0.6484198671712114, -0.8928403260681372, 0.42755933778638505]",25.579017040880746,0.0024504667744677834
"[0.18792640278508382, 0.6484196423016662, -0.8928387263446348, 0.4275587980129013]",25.57905297692316,0.002513299255864393
"[0.18791672500375906, 0.6484194176200089, -0.8928371266613503, 0.4275582579629621]",25.579088913656946,0.002576131737261003
