u,t,theta
"[0.7020125433277266, 0.36804608057749916, 0.42325842116292955, 0.309790389995204]",75.28852965962322,0.6510030981336185
"[0.8016918590926839, 0.4945864361173533, 0.1719164689417235, 0.7755390725828957]",80.47043753269766,0.6704829205681186
"[0.7141442911855695, 0.38058163995458877, 0.4208928972110739, 1.0147961939147168]",50.03002325596344,0.7169831418633772
"[-0.13676187862736705, 0.244260627439422, -0.7402194413089427, -1.7166655067629646]",45.56211948616093,0.717611523232232
"[0.7015632577308224, 0.3675935644177646, -0.7013453579927107, -0.11720040108548707]",61.26213042558449,0.7471454475684096
"[0.5143312531861062, 0.23262516438563696, 0.4718182440991851, -0.32314701088925224]",91.18059044118444,0.7609698376832162
"[-0.2788155295502437, 0.34570272634135185, -1.5272567989006787, -1.0733680748077201]",97.47337732684807,0.7879902365439745
"[0.7246473357888631, 0.39195244204789875, 0.41334497700939893, 0.9347927409369992]",62.257482759212365,0.8244363559375556
"[0.8888698612120857, 0.7064687858908438, -0.29172875761104927, 1.2888668299776413]",87.94103449064151,0.8250647373064104
"[0.7080538205384408, 0.37421109387032436, 0.4456493931803746, 0.9982311699766308]",56.33347799992897,0.8690514331262494
"[-0.26704852135969437, 0.3351151677786448, -0.7589009160038881, -1.6662921784151894]",82.5475914469847,0.9287476631674595
"[0.22669250106505404, 0.15942260844118689, 0.37077935066081735, -0.6399993775510635]",49.67728090452472,0.9413152905445564
"[0.5925250896230234, 0.27787231655591943, 0.6739656518431473, 0.09870375302302269]",51.45053801702039,0.9438288160199758
"[-0.35292522803180043, 0.425260509304413, -1.2149640799124404, -1.1818047438654713]",84.88335118680324,0.9664505452987503
"[-0.11576567793303429, 1.4987117689287301, -0.8528066660973583, 0.459673916511286]",78.22876768797694,0.96770730803646
"[0.9006421175676333, 0.9614225897511719, -0.2962063032016333, 0.7454628617854546]",74.25580104857423,0.9689640707741696
"[0.23586185968674858, 0.15982859904809632, 0.5010175934433242, -0.5259516785661392]",80.52614647155274,1.0952687259139933
"[0.7651694038512763, 0.4410741772296717, 0.06572479389341096, 0.22365155813347118]",51.24630603404978,1.1266877943567355
"[0.6359449685681681, 0.3092920884707934, -0.022584140473662934, -0.3375863961842107]",73.25099465283809,1.153708193217494
"[0.1522490479627679, 0.1605327769062139, -1.060444885043046, -0.4939570888688339]",54.7132210410565,1.1587352441683325
"[0.9039966675264923, 0.7997781992275608, -0.20340604564195386, 0.82212770372901]",83.71199602468259,1.1656474392257357
"[0.5348236660222722, 0.24321474823059183, 0.8531178209201309, 0.5989879552866695]",69.03417763666205,1.4031755966528667
"[0.393450710317878, 0.18589539953707898, -0.44422341884451216, -0.5844329098676103]",70.78648527685775,1.4082026476037055
"[0.6321475742529968, 0.30633935422874736, 0.6197852719867332, 0.20221055356572878]",59.90867198562192,1.4320811396201898
"[0.7021085642988496, 0.3681428979080538, 0.4081427222828557, 0.2813890137497113]",83.23561541567138,1.4345946650956092
"[0.0656291166613977, 0.17180320181246977, -0.7496191145022495, -1.0694433853732555]",96.36029043185194,1.476067835440029
"[-0.48495711732028834, 0.6904299954382025, -1.1561985549659617, -0.16700113816440396]",95.03741317207674,1.5093720479893356
"[0.8800522003031456, 0.6723013607158177, -0.21876017542478232, 0.528359096463884]",70.57835902237473,1.5954602955224493
"[-0.24836468452055274, 0.319244725930159, -0.12915170430631676, -1.7537429821868626]",51.72152979398641,1.6017441092109979
"[0.7902806185200087, 0.4767070361216238, 0.21086198216847574, 0.7431315819218202]",72.8014893895835,1.6545281441948045
"[0.644806704278497, 0.3163464103447198, -0.048777707168125274, -0.3184179815759447]",68.05160152385501,1.6576700510390785
"[0.8947796703329464, 0.7345673888441355, -0.25937578856547516, 0.5599180686290506]",68.03715891840193,1.6589268137767883
"[0.6792197769070851, 0.34607501632316545, 0.4192464106707817, 0.146301621359261]",55.62734290394575,1.6614403392522077
"[-0.4427935923397034, 0.5713791792251842, -0.8848206048127781, -1.1363372398790896]",68.1849621180297,1.6903458822195305
"[0.45618839224465707, 0.20695977148435302, 0.7147958809632661, -0.0664560433011816]",66.22958006428428,1.7060554164409016
"[0.5774284049726327, 1.4639784112355403, -0.5077614161748049, 0.5462127980658725]",51.09140620508539,1.708568941916321
"[-0.22901163361887844, 0.30393197896996416, -1.869873768128418, -0.18376480598778247]",83.67225656163208,1.7167378997114342
"[-0.5044077694299114, 0.8043026821433643, -1.022819790443549, -0.09835846341324783]",67.61883761175376,1.7261636202442567
"[-0.20455312372832082, 0.28607991489632495, -1.4931237741930354, -1.2775618488892517]",52.6736479506695,1.7267920016131117
"[0.6014495837688326, 0.28392727486472397, 0.0821649138723594, -0.39656113516220587]",68.1949039173163,1.7299339084573857
"[0.19381437067231141, 0.15894567844236157, 0.6630037008522967, -0.45951644408949005]",92.00980696030044,1.7915152826051608
"[0.5208993877000677, 0.2359273296930127, -0.32712857949205665, -0.5715219332638979]",89.06609131065142,1.838015503900419
"[-0.35673824854275465, 0.43008673538077663, -1.391415005623231, -0.9493408399966377]",84.79019516767796,1.85372503812179
"[0.8475170471329545, 1.1501410029201145, -0.37028638628807636, 0.6989397725090012]",62.50808244033485,1.8675494282365965
