u,t,theta
"[-11.109416263652975, -0.912626077696776, 0.9126260776968115, -0.08028531406963772]",37.76864976796653,0.0
"[-11.130478597869288, -0.914655119612911, 0.9146551196136479, -0.07997998092538844]",37.77278909417454,0.003143164235707647
"[-11.151515459381955, -0.9166782911372898, 0.9166782911374317, -0.07967603803517674]",37.776943405562065,0.006286328471415294
"[-11.172525270041271, -0.9186954185423662, 0.9186954185424151, -0.07937350357444303]",37.78111281128173,0.009429492707122941
"[-11.193506431837633, -0.9207063260246232, 0.9207063260248439, -0.07907239585542936]",37.78529742472725,0.012572656942830588
"[-11.214457274196123, -0.922710830651349, 0.9227108306515361, -0.0787727340804439]",37.78949735208384,0.015715821178538234
"[-11.235376138507272, -0.9247087504562191, 0.9247087504564354, -0.07847453712700588]",37.7937127076415,0.018858985414245882
"[-11.256261245205355, -0.9266998917376909, 0.9266998917378205, -0.07817782544147747]",37.797943601835335,0.02200214964995353
"[-11.277110874630864, -0.9286840663255432, 0.9286840663256821, -0.07788261845943178]",37.80219015038658,0.025145313885661175
"[-11.297923174176848, -0.9306610731936088, 0.9306610731936787, -0.0775889373426584]",37.80645246860176,0.02828847812136882
"[-11.318696353733813, -0.9326307170545431, 0.9326307170546371, -0.07729680220965396]",37.81073067729963,0.03143164235707647
"[-11.339428514093079, -0.9345927920449563, 0.934592792044965, -0.07700623455770722]",37.81502488987054,0.03457480659278411
"[-11.36011771087955, -0.9365470878176583, 0.936547087817733, -0.07671725635194847]",37.81933522953626,0.037717970828491765
"[-11.380761967742627, -0.9384933907874391, 0.9384933907877087, -0.0764298898379218]",37.82366181600881,0.04086113506419941
"[-11.401359317599406, -0.9404314879978417, 0.9404314879979634, -0.07614415696969551]",37.82800477565024,0.04400429929990706
"[-11.421907624140495, -0.9423611503241833, 0.9423611503242858, -0.07586008188266033]",37.83236422497087,0.047147463535614706
"[-11.442404838977435, -0.9442821566664343, 0.9442821566667821, -0.07557768732384243]",37.83674029595503,0.05029062777132235
"[-11.462848792292158, -0.946194274262265, 0.9461942742623792, -0.07529699754962405]",37.84113311042615,0.05343379200703
"[-11.483237307683511, -0.948097269463375, 0.9480972694634013, -0.0750180367362217]",37.84554280508262,0.05657695624273764
"[-11.503568125621364, -0.949990900574302, 0.9499909005746512, -0.07474083002783939]",37.849969500470934,0.05972012047844529
