u,t,theta
"[-11.509471641677834, 0.5568324942750863, -0.9323559752386772, -0.10548739147154057]",58.373581092546026,0.18230352567104352
"[-5.656303313410844, 0.5919891424374819, -1.0238358200027617, -0.20177379795057251]",53.33890130202443,0.18858985414245882
"[-6.503274302583955, 0.5877026765191414, -0.7159039213519992, -0.1653340489562867]",47.559042982651825,0.19173301837816648
"[0.06708342170006257, 1.1683883347839348, -0.7734151562013865, -0.10688409642001226]",39.21065877634806,0.1948761826138741
"[0.2892920502807382, 1.1574904204484184, -0.7433545267961882, 0.06516935696852322]",39.45312899254778,0.19801934684958175
"[-1.9519373219707346, 0.5664932717771137, -0.9674182136634003, -0.4543992146448983]",41.0306836612479,0.2011625110852894
"[1.9882583679669452, 1.1206734433816719, -0.678530401372913, 0.21150482359245218]",67.48257312798586,0.20430567532099703
"[-8.140267950507637, 0.563814485582019, -0.9591305106225961, -0.14579870155285743]",61.73280266960097,0.2074488395567047
"[1.95177553898731, 1.1673087876706054, -0.7699612450461168, 0.17438364446021526]",84.39915014366561,0.21059200379241236
"[0.001929393819533626, 1.1647616050424265, -0.7623109782788824, -0.13808477506063147]",42.37464139723955,0.21373516802812
"[1.5316292172260717, 0.8346301887888958, -0.5513599616472639, 0.3433047722105963]",42.49124354412306,0.21687833226382763
"[-0.4812777690234662, 1.081913362144222, -0.6349574712726963, -0.748550728044876]",78.03247504615727,0.22002149649953529
"[-7.783144109679353, 0.7791105584179461, -0.561976378699609, -0.12586957703180096]",45.36653113417325,0.22316466073524294
"[-9.837940107268135, 0.5613097581060031, -0.7814773388817383, -0.11708029725882028]",45.269734982073295,0.22630782497095056
"[-11.275084769132059, 0.5538205533217917, -0.9163059303116516, -0.10725803046902893]",45.31801393703376,0.2294509892066582
"[-11.567905612327515, 0.5543085649932397, -0.9192476962387207, -0.10476839162405621]",45.469883527795865,0.23259415344236586
"[-9.491670313633831, 0.6179474275503599, -0.6699200297947607, -0.11500921088815899]",45.77596440960508,0.23573731767807354
"[-5.6814982636420535, 0.6547016659947482, -1.101274798781766, -0.19508015783003152]",52.193997807831806,0.23888048191378117
"[-0.2594459314709514, 1.1600916417929559, -0.9823226422018617, -0.709469237855514]",82.28666754326389,0.24202364614948882
"[-5.742715955909466, 0.5892227140848375, -1.0189314892587797, -0.1992369221007137]",60.07208407901318,0.24516681038519647
"[-4.791904299409741, 0.5804137240389324, -1.0017676904638324, -0.23338689595125578]",49.541726781588416,0.25145313885661175
"[0.8148945134998429, 0.9482582916837115, -0.5606768289592956, 0.310461863071971]",38.15444452564302,0.2608826315637347
"[-1.9432657119189227, 0.5580017855566917, -0.9375897148192893, -0.45261179286433895]",38.98474733513576,0.26402579579944235
"[-0.34615298568116487, 0.8682776809304058, -0.5498056585950244, -0.2250463549442573]",42.65726682514463,0.27031212427085766
"[-0.3528053685191039, 1.1822243641202388, -0.8617572094865723, -0.8006116407810057]",70.0932489849817,0.2734552885065653
"[-1.0695163975369975, 0.5516766433666932, -0.9004471530692707, -0.43327646984890866]",64.84845463659452,0.27974161697798056
"[-1.9810988884397398, 0.6517651668172035, -0.6334473505318882, -0.3713120785269794]",45.67932767920992,0.28602794544939586
"[-4.78631520296821, 0.5545468678333499, -0.9206250525175096, -0.23203332490695747]",52.8191647970583,0.2954574381565188
"[-9.249998618960689, 0.6446631176858162, -0.6401964014548056, -0.1157594685009042]",50.57019732461728,0.3017437666279341
"[-1.2712893576045623, 0.5938206211602598, -0.705076479225982, -0.40989918452636753]",38.61623740390536,0.30488693086364177
"[-0.477112550500661, 0.746082892025038, -0.5734270547240817, -0.9297760300715542]",40.17491899953794,0.30803009509934937
"[0.8583522578718036, 1.1390738768197246, -0.7065119831167674, 0.16620469232460314]",41.129382874205014,0.311173259335057
"[-2.0251687305870982, 0.5631641537785589, -0.7750580291664902, -0.4098639935856404]",37.79372890785475,0.31431642357076467
"[-1.949958083037893, 0.5717693260339342, -0.9818414678986402, -0.45543666294024304]",37.53535432314545,0.3174595878064724
"[-1.775765270250221, 0.6397315239703903, -1.0869124336406726, -0.46477526523027335]",37.386149312756345,0.32060275204218003
"[-1.5992390265933847, 0.7171994340105345, -1.1450430210075457, -0.44446458955867507]",37.299933649734015,0.3237459162778876
"[-1.462290154845979, 0.8264777769091208, -1.1797704996959617, -0.37224499058847543]",37.29123543755742,0.3268890805135953
"[-6.939331673520552, 0.5690283085791068, -0.7574310879128152, -0.15912185944419008]",43.941029263035006,0.3300322447493029
"[-6.750350962647195, 0.5775877083208049, -0.7363963336028089, -0.16154845407153698]",43.92389704948277,0.3331754089850106
"[-6.6007483297441665, 0.586313316547851, -0.7185088004688477, -0.16339134625817492]",43.915497645110584,0.33631857322071823
"[-6.499825761594783, 0.5932407066020486, -0.7060613172426492, -0.16460425049432326]",43.911720168133044,0.3394617374564258
