u,t,theta
"[-0.2945323972812329, 1.9844580384431656, -0.4890686256670271, -0.29453239728122055]",50.16736877646987,0.17601719719962824
"[0.22573326242802574, 0.06412274219537771, 1.0802730288906148, 0.225733262428034]",38.189566320968474,0.18230352567104352
"[-0.1794684672321279, 0.6885439048498525, -0.2698982933276687, -0.17946846723212453]",37.84919349237904,0.18544668990675117
"[0.6908156798410842, 7.61039039612526, -0.13399659624679575, 0.6908156798411199]",49.17877495530805,0.19173301837816648
"[0.29597011121823363, 4.956694181146093, -0.23469717387350802, 0.29597011121844186]",52.608276468337245,0.1948761826138741
"[-0.0877887892616213, 0.9317902790012084, -0.7649892995960869, -0.08778878926162104]",47.5310621249474,0.19801934684958175
"[0.6237193855663106, 7.782976070083005, -0.13710160617846223, 0.6237193855663583]",49.40272411388086,0.2011625110852894
"[0.8716891813243123, 0.41844795043741473, 0.4029999583816443, 0.8716891813243227]",38.91535909008831,0.20430567532099703
"[-0.9384175024292111, 1.1104056768088102, -0.24571829577821028, -0.9384175024292093]",52.63370269830003,0.2074488395567047
"[0.21772292867908954, 5.830125023950068, -0.20701492638029373, 0.2177229286791519]",50.48818058725479,0.21059200379241236
"[0.4631770813150376, 0.751657151466007, -0.412467155019285, 0.46317708131503843]",54.621374039640266,0.21373516802812
"[0.4070405649221359, 6.1141164400953825, -0.18845522368450962, 0.4070405649221448]",56.69802701288428,0.21687833226382763
"[-0.004623295421309481, 5.796105057689013, -0.21231695131083878, -0.004623295421285848]",53.70809371669626,0.22002149649953529
"[0.48432457338975343, 11.842750387492403, -0.0999269545860857, 0.4843245733897776]",53.28157802129788,0.22316466073524294
"[0.7372381615652044, 15.785416530534194, -0.0663390786013893, 0.73723816156524]",53.19400099427275,0.22630782497095056
"[0.8833030955725301, 18.336761063447458, -0.05108535028030089, 0.8833030955726733]",53.23647525733025,0.2294509892066582
"[0.8875834054836952, 18.658667786247552, -0.050048305720862905, 0.887583405483918]",53.38635688772163,0.23259415344236586
"[0.6190538186894157, 14.528235770023434, -0.07727307921110127, 0.6190538186894744]",53.693276985307065,0.23573731767807354
"[1.0768262934098267, 7.415942221133929, -0.09049993573695654, 1.076826293410099]",53.86557347506901,0.23888048191378117
"[0.6358698117227812, 0.016776858357811706, 4.342726825762918, 0.6358698117229357]",41.92016073354478,0.24202364614948882
"[0.10425410972607331, 3.180437869464816, -0.35426690992707954, 0.10425410972608788]",42.39477359907007,0.24516681038519647
"[0.5723240007489495, 0.5000447310274357, 0.2158710432701187, 0.5723240007489574]",40.49105754493089,0.2483099746209041
"[0.9692304158092534, 6.367107595324379, -0.11977552372041496, 0.9692304158092616]",51.23562053171737,0.25145313885661175
"[1.082782422476015, 3.38301786309219, -0.15560277037790884, 1.082782422476033]",50.094498013369055,0.2608826315637347
"[0.5781211545318173, 7.457713125834611, -0.14617969872986533, 0.5781211545318659]",47.37192504657377,0.26402579579944235
"[1.0564991919372937, 0.3477052837961851, 0.4724073263275471, 1.056499191937351]",35.76038681664688,0.27031212427085766
"[0.6088113339026235, 0.01437918892153062, 6.785478929137038, 0.6088113339108655]",37.12495349110811,0.2734552885065653
"[0.6242477509062604, 0.03489716588943923, 4.163658430313038, 0.6242477509068477]",36.86165749306271,0.2765984527422729
"[0.60416118168423, 0.01426826563825349, 7.240128011811064, 0.6041611816845104]",37.045273019707324,0.27974161697798056
"[-0.30350797766069965, 0.8442703199829177, -0.5217644039526047, -0.3035079776606977]",41.84106088205971,0.28602794544939586
"[0.47706513823000135, 4.613510224375605, -0.2339053294596665, 0.47706513823000896]",40.90915543435537,0.2891711096851035
"[0.2575399315495768, 7.65063503247611, -0.16068985817374046, 0.2575399315499302]",53.91256321183934,0.29231427392081116
"[0.9418219869320245, -0.4069428901521057, 1.2154886582958884, 0.9418219869320273]",48.58050250197794,0.2954574381565188
"[0.6368010234160112, 4.524476576562145, -0.21730381516793676, 0.6368010234160237]",52.99073015592919,0.29860060239222647
"[0.625331780024052, 10.243543109024754, -0.10668573177143646, 0.6253317800240679]",52.15711278790708,0.3017437666279341
"[0.8014642254396979, 6.450827466404443, -0.14191691549985688, 0.8014642254398562]",55.10072709073282,0.30488693086364177
"[1.0557830682917895, 3.32200948353057, -0.16608476571370853, 1.0557830682918001]",49.56442869954415,0.30803009509934937
"[0.7528836701554629, 5.319056486742769, -0.17415409967362025, 0.7528836701554963]",51.87564020242343,0.311173259335057
"[0.222038391679308, 7.600706899586908, -0.16279564235700178, 0.222038391679393]",52.65283591460992,0.31431642357076467
"[0.5839411868042186, 11.755240866769709, -0.09606181197547244, 0.5839411868042941]",52.252788939714236,0.3174595878064724
"[0.6920008840511467, 12.992517540617156, -0.08213466593021962, 0.6920008840512281]",52.08266286043456,0.32060275204218003
"[0.7155745429269366, 13.167329920866186, -0.07984782600184458, 0.7155745429269954]",51.9886118156534,0.3237459162778876
"[0.7045246252785369, 12.922898980812626, -0.08186718036386412, 0.7045246252785666]",51.93518677221644,0.3268890805135953
"[0.6807333132517965, 12.54411404311333, -0.08549141028468846, 0.6807333132519422]",51.90596429539954,0.3300322447493029
"[0.6550157984554471, 12.166412483244446, -0.08938238578098642, 0.6550157984555082]",51.89120334796643,0.3331754089850106
"[0.6330004670033672, 11.855563640654239, -0.0927666227910017, 0.6330004670033728]",51.88456826811801,0.33631857322071823
"[0.6175485331659877, 11.641771499727184, -0.09518700770994039, 0.6175485331660474]",51.88192619887107,0.3394617374564258
"[0.609834494826184, 11.535155183699274, -0.09641880896438354, 0.60983449482623]",51.88079907037946,0.3426049016921335
"[0.6098973562141986, 11.533433518485065, -0.0964288497063852, 0.6098973562142062]",51.88001665274765,0.3457480659278412
"[0.6169945279724849, 11.626342748365715, -0.09533418905600662, 0.6169945279725167]",51.87940458497233,0.34889123016354884
"[0.6298767222885863, 11.798577794178762, -0.09335207554706476, 0.6298767222885948]",51.87947302862526,0.3520343943992565
"[0.6470056455690383, 12.031838660628623, -0.09074961903672231, 0.6470056455690448]",51.88113194035359,0.3551775586349641
"[0.6667059802369107, 12.306115303799183, -0.08780419626199448, 0.6667059802369536]",51.88546762318408,0.35832072287067174
"[0.6872479905506896, 12.600281553411527, -0.08478006360906552, 0.6872479905507239]",51.89359763396681,0.3614638871063794
"[0.7068670133534144, 12.892082019455113, -0.08192080102008382, 0.7068670133534313]",51.90659973057633,0.36460705134208704
"[0.723732723487294, 13.157623211576333, -0.07945410146937217, 0.7237327234872974]",51.925498915999775,0.3677502155777947
"[0.7358820871734293, 13.370494491743406, -0.07760529193395325, 0.7358820871734477]",51.951297987207155,0.37089337981350234
