u,t,theta
"[-0.6004998351842089, -0.5521697820361083, 1.0558109134000546, -1.1482234271215446]",99.25792748007788,0.006286328471415294
"[0.017195709227511315, -0.00829278486227505, 0.5382909471200397, 1.11618651155057]",83.48886329939431,0.04086113506419941
"[-0.21008956535163825, 0.11425577134506443, -1.0319371868779095, -1.8974904506711425]",67.50363924773812,0.05343379200703
"[0.3964891769018584, -0.3829646079917511, 0.9831573913935377, 1.0178780408005392]",104.53630343398365,0.10372441977835235
"[0.7010254122134163, 0.1035232818752009, -0.408494385478864, 2.766188820331267]",40.31852805107083,0.11629707672118293
"[0.5416491704334195, 0.4486891695724731, -0.9642771908720313, 1.1640573829793355]",54.32679596043778,0.11944024095689058
"[0.6141281227245777, -0.001458922806261332, 0.019096895445498543, 8.038767028485829]",101.8789217171635,0.12258340519259824
"[-0.4062032816633986, -0.004304020263703461, 0.13711841715401213, -12.940912817044483]",94.32408528578199,0.12886973366401352
"[0.5865722325044714, -0.02609789789561531, 0.2529937442225273, 5.68624744994585]",60.716169540593334,0.1414423906068441
"[0.7464292278836225, 0.4729145429754482, -0.8889865123261315, 1.403140431714351]",77.29907232661357,0.23259415344236586
"[0.5586026824839251, -0.016109704719355626, 0.13431318718045698, 4.657298687728848]",169.55544170934195,0.3300322447493029
"[-0.1131039800345264, -0.09908696162029026, 1.1043703916880359, -1.2605965980762581]",148.03551221101168,0.3394617374564258
"[-0.1917180129982499, 0.11374779195606398, -1.0471686134449847, -1.7649668832369705]",45.39548906809483,0.34889123016354884
"[-0.03888725947798905, 0.1688307005711756, -1.3587168961400644, -0.3129571595600719]",138.7394626625507,0.3614638871063794
"[-0.05893525073956022, 0.1522384455917497, -1.3546350770838536, -0.5244125924842314]",79.83097486414961,0.37717970828491765
"[-0.027636471166415048, 0.8022105507035777, -0.9650548728515461, -0.03324652255468057]",135.09730788728575,0.40546818640628646
"[0.45713104807405835, 0.13402238736006358, -0.6159293064426304, 2.1008460969825444]",82.51499084426223,0.40861135064199405
"[0.44622008789256007, -0.31839308215140844, 0.935897495455083, 1.3116373630309768]",97.37956202563667,0.4526156499419011
"[-0.060544524115962985, -0.19461267193387108, 1.368004125570554, -0.4255897519330662]",110.045877589834,0.46204514264902413
"[0.5192575662517601, -0.1268476415118385, 0.6096549755541537, 2.495655063716425]",41.98621203188648,0.46518830688473173
"[-0.3014268169262852, 0.12990919034956105, -1.0652398188975127, -2.471663836941624]",53.3804466534352,0.49347678500610054
"[-0.38099657053151725, -0.012455333575676445, 0.2458268843613297, -7.5196059036400635]",96.22568676285431,0.5437674127774229
"[-0.02031992534200968, -0.6547780696131885, 1.030798920095301, -0.03198909381825167]",71.57280982735625,0.5626263981916688
"[0.20406524047415014, 0.5781995395192419, -0.9920897191747147, 0.3501404156835821]",128.5275719780405,0.7512162523341276
"[0.6191218973490419, -0.008721815002258946, 0.09424729789081819, 6.690186145866312]",140.09261766308902,0.7795047304554964
"[0.14322008087960963, -0.323658553383874, 1.084388540395564, 0.4798458524782689]",101.37474257296239,0.7826478946912041
"[0.4805353783288784, 0.18370051511043173, -0.7471137713056814, 1.9543472620818148]",42.60922959628974,0.8832291502338487
"[-0.18121083625583728, 0.10332070298438772, -0.9973929326209622, -1.749295176816616]",41.493406786497786,0.8863723144695566
"[0.48631819012262667, 0.09464327187337097, -0.4879931185290628, 2.507520349813737]",40.90469008508883,0.8926586429409717
"[-0.19091255337481217, 0.12825898516689307, -1.123250888200137, -1.6719506619178832]",150.2059468694343,0.952378763419417
"[0.4611342645468186, 0.37576312066330725, -0.9643102768092574, 1.1833958306137917]",100.21458930800326,1.0089557196621546
"[-0.13104655190668016, 0.22549589249110963, -1.3766680849356343, -0.8000483009147418]",64.36465600121376,1.0655326759048922
