u,t,theta
"[-0.5429799605448218, -0.3709370384671599, 1.02798012712882, -1.5047637495997237]",60.095024412290456,0.19801934684958175
"[-0.18079590613162105, 0.5624680964777674, -1.1707494364327597, -0.37631770857482055]",73.76600650053449,0.20430567532099703
"[0.5930902936283043, -0.002481067725816678, 0.045907880491621346, 10.974113297660287]",41.91236645139003,0.24202364614948882
"[0.5445470142965998, 0.0478820746327329, -0.3210648706997707, 3.6513646928603136]",41.138855249585475,0.2483099746209041
"[0.5212567213461097, -0.14896978713029435, 0.6679863031720379, 2.3373353550613998]",46.86170067611538,0.2545963030923194
"[-0.06000697462811654, -0.11500643472510425, 1.3025945562925116, -0.6796555225539607]",45.061731908905685,0.26716896003515
"[-0.10236112507331822, -0.18027219196363767, 1.3581623615853244, -0.7711839848940617]",45.30935610944134,0.27974161697798056
"[0.41443911944292594, -0.9403636236008056, 1.2228457601987168, 0.5389352664777669]",219.11031569546614,0.4148976791134094
"[0.7132844066885607, -0.057865793361850916, 0.2407866098042137, 2.9680632396886644]",99.34332179917135,0.418040843349117
"[0.45089049110010615, -0.18734323195939206, 0.7560446109283246, 1.819619114871248]",53.93070338616912,0.4211840075848247
"[0.14302741251300977, 0.08026702515144511, -0.6112683200525267, 1.0892159763405473]",52.97815084682343,0.42747033605624
"[-0.31282897953195216, -0.45076931796394615, 1.2475216282834944, -0.8657663739908287]",60.89557102555269,0.43689982876336286
"[0.47525551490109047, -0.17335637888054845, 0.7244846349520179, 1.9861704567522296]",46.498692865735016,0.4431861572347783
"[0.6845288605361904, -0.4512808374988237, 0.9038989727504102, 1.3710862116061866]",265.6061111166277,0.4746177995918547
"[-0.38533618063359026, -9.263181107577223e-5, 0.002243206017631948, -9.331442643841646]",48.27489476109014,0.48404729229897764
"[-0.7388064463149653, 0.3276132339613916, -0.7369662206729735, -1.6619456667423371]",70.45725703884305,0.5123357704203465
"[0.593338776777571, -0.0012789171127604304, 0.02456819249450388, 11.398128271815436]",42.33645329310576,0.5374810843060076
"[0.47490209751849927, -0.1755493403577318, 0.7294773928381948, 1.9734072668420057]",288.7847074362184,0.7197846099770512
"[0.2500446839782425, 0.2528363696093805, -0.942162854395566, 0.9317599898595383]",192.17982079870413,0.7417867596270047
"[-0.1574448425566066, 0.2769514679458205, -1.3741739997785425, -0.7812076630077376]",126.03094624904372,0.7512162523341276
"[-0.4164966345914661, -0.02974723032112268, 0.44195728075052126, -6.187928021508218]",121.80944100738556,0.7637889092769582
"[0.44172142503822487, 0.3197332407870212, -0.9381727433804906, 1.2961148491097108]",110.04117817688383,0.7826478946912041
"[0.24253899553914784, 0.06552235954305585, -0.36993652482628314, 1.3693651109379255]",48.21767115996767,0.7983637158697423
"[0.6906567150642587, 0.036124078176625996, -0.17447252365787927, 3.3357424228100783]",64.14816604141372,0.845511179405357
"[0.21762039390567986, -0.07507878336754899, 0.4432943242605948, 1.284915406653296]",53.343078066929266,0.8486543436410646
"[-0.04367563078392487, -0.10729283194120263, 1.3163563657091792, -0.5358484212651183]",115.47008018661973,0.8580838363481876
"[0.4962903400414014, -0.14278656321155941, 0.6497606187700112, 2.2584052111202757]",77.57006816759535,0.9460924349480018
"[0.18116689275681291, 0.846672451168709, -0.9165758454861412, 0.19612448435455734]",58.57972935602252,0.9680945845979553
"[-0.3135774811081015, -0.21340089165157167, 1.2582009005503445, -1.8488370225116184]",162.016810760734,0.996383062719324
"[-0.48925501908462093, -0.0038145111431803413, 0.03042067744960176, -3.9018025030708796]",71.1467497243405,1.005812555426447
"[-0.3787844399010488, 0.014688320250840431, -0.2737680680458832, -7.0599689105099905]",180.80280653276972,1.049816854726354
"[0.1505483183801569, 0.09332136806251158, -0.6615387561900328, 1.0672105366157025]",74.31204074336009,1.0686758401406
"[0.5712436745073523, -0.0426610327749898, 0.3247987638473469, 4.349150202581308]",93.09384857089802,1.1346822890904606
"[0.5905848207343575, -0.0019648609117183607, 0.03208758437100495, 9.644672642342034]",65.99718929262814,1.1378254533261682
"[0.44302403206519214, -0.16569529015465878, 0.7044711702135492, 1.8835638478946954]",74.03488674649509,1.1535412745047064
"[0.5644968105703654, -0.017164147087926327, 0.14995239212152708, 4.931654725231849]",45.993303763666646,1.1629707672118295
"[0.2541046523791606, 0.9332896777315135, -1.1066403291597406, 0.3013024389527074]",101.40785527799751,1.1755434241546598
"[-0.3630003555990514, -0.010573116062869481, 0.16840314994771854, -5.7816828029765635]",57.28711045609201,1.1818297526260753
"[-0.015258737791065713, -0.05289476764534951, 1.2789982964845603, -0.36895709178806846]",150.0700641934628,1.2226908876902747
"[0.5743717854148515, 0.3869560433478389, -0.9249506943793178, 1.372935223223251]",126.60185617882021,1.4049944133613184
"[-0.34922240831174217, 0.2203370777794883, -1.2241047712260331, -1.9401401731455519]",43.28240012794987,1.408137577597026
"[-0.036779863893703586, -0.3053128586508352, 1.2963543510875302, -0.156166814596984]",62.11896859341111,1.4144239060684412
"[-0.3514252976932999, 0.03486198556850842, -0.45687285312376535, -4.6054943744312835]",43.70635506496986,1.4489987126612252
"[0.5008336992711797, -0.15508005459688684, 0.6820248011429385, 2.2026108066510695]",41.90343667659509,1.4930030119611322
"[0.6028079699699004, 0.0027419455845714602, -0.0674915607555857, 14.837803909375378]",208.1356179184752,1.5150051616110858
"[0.21243574554406724, -0.0535869999873481, 0.33081015367299366, 1.3114356400933713]",108.82220196279415,1.5652957893824082
"[0.2998262031816661, 0.27790380729571407, -0.9427253104085241, 1.0170920406364032]",79.36414130066413,1.6313022383322688
"[-0.4058044423835779, -0.0004600791082140934, 0.016664778689105115, -14.698866175722177]",43.591289484043806,1.6344454025679762
"[0.03454492109086618, 0.06759250329971656, -1.1133458757080368, 0.5690046017771204]",73.2411512637149,1.637588566803684
"[0.06461971393863228, -0.06673693316846777, 0.8820422236416264, 0.8540595659325034]",105.87396557296512,1.6407317310393918
"[-0.0641066432044754, 1.0245465837234031, -1.2730454112293643, -0.07965540001528129]",110.45234350016206,1.6595907164536376
"[0.2628073502435333, 0.7969164901107187, -0.9511383806733237, 0.313666689849713]",51.7360021167157,1.6627338806893452
"[0.24725535835458323, 0.2936468928395905, -0.9857992287134223, 0.8300586435775592]",113.28077515151875,1.6658770449250528
"[0.6547620272042585, 0.0015558521205437973, -0.010257164395308731, 4.316606741927784]",61.843598575916474,1.7067381799892523
"[0.6605526652341448, -0.09022235271781236, 0.42649382760877275, 3.1225259156564817]",46.32463223962428,1.70988134422496
"[-0.1840657033608078, 0.6471389048372967, -1.11692766219227, -0.3176877084778199]",94.7270277407957,1.735026658110621
"[-0.37833443993465515, -0.046125539169246076, 0.6105281827071619, -5.007721150315682]",222.8236530270735,1.7413129865820363
"[0.3005226832161609, 0.3822499606089147, -1.0050374905137631, 0.7901545964867026]",163.4145117861167,1.8136057640033123
"[0.3661743844974923, 0.13624667580500444, -0.615765150060896, 1.6549205585099684]",258.06928884783747,1.8230352567104353
"[-0.6340257768117589, -0.24066067763548715, 0.7312259304363682, -1.9264305790413556]",38.7607876074769,1.8261784209461427
"[0.3719433550140784, -0.7124126549385191, 0.9895389805104058, 0.5166281729793466]",61.00494801974845,1.8324647494175583
"[0.3202590218932888, 0.18024463114261463, -0.7595894234822115, 1.3496400101504733]",81.50320836208851,1.8450374063603887
"[0.5917812049802527, -0.0040250064223095895, 0.06717801183394999, 9.876924577686559]",160.25073020406464,1.8701827202460497
"[0.046173709094173086, 0.09910345223034224, -1.1323749257728077, 0.5275895968450139]",104.13901960605286,1.8890417056602957
"[0.5718383515359444, 0.346414871808538, -0.90250268794758, 1.4897906854817058]",59.71755088568842,1.8921848698960035
"[0.048694124642462804, 0.12185450843318975, -1.1621646685614377, 0.4644111404135548]",51.470206691541,1.8953280341317114
"[0.5488865836739091, 0.019863597294625574, -0.15222340234124876, 4.206357087635594]",36.157708874517745,1.914187019545957
"[0.5066775792158652, 0.06999410909695446, -0.3961037244395049, 2.8673395348074178]",35.583839674786304,1.9173301837816645
"[-0.406741025463275, 0.000778430706542354, -0.02609874380391996, -13.63696180811782]",36.111046694828644,1.9204733480173724
"[0.37272148656859566, 0.12030505088690449, -0.5589049454040445, 1.7315638916720304]",45.16143331073516,1.939332333431618
"[0.007299610331687563, 0.024409969136036883, -1.2095718744026445, 0.36171300758702335]",46.48802798863361,1.948761826138741
