u,t,theta
"[0.5736690238169937, 0.03653730018338335, 0.22216261146089447, -3.4881561528739633]",152.68530115294996,0.003143164235707647
"[-0.23342311687278483, 0.10852018362266251, 0.7650776578510703, 1.6456552650730545]",51.82379791752265,0.006286328471415294
"[-0.3493801477746193, -0.45898318325531934, -0.30840253245738614, 0.23475745146002516]",39.62525276421124,0.02828847812136882
"[-1.3342135509076931, 0.9016573627305965, -0.30586093570446315, -0.45259299372253015]",57.86435565213269,0.04086113506419941
"[-0.7759746383130789, -0.43096469855240654, 0.030320164526658387, -0.054593053169304365]",45.313111502102956,0.05029062777132235
"[-0.40407291037729726, -0.029989123552936845, -0.42536610556085125, 5.731375241644458]",59.55587565520777,0.05343379200703
"[0.2512584177497806, 0.38836037681740376, 0.24508074913628852, -0.1585604632314759]",115.42622781787018,0.07229277742127588
"[-5.386444506835379, 3.9346451746928857, -0.11028638618951594, -0.15097968754339078]",71.59941771258568,0.10372441977835235
"[0.07920133138684646, 0.90393622372949, -0.848231171045912, 0.07432055083873049]",46.95463795765794,0.10686758401406
"[0.5727361037710564, -0.009616503195904576, -0.07676249084372119, -4.571791744904072]",293.84702275929084,0.11629707672118293
"[0.03462427679062641, 0.6539579743216967, -0.3044063255335094, 0.016117012538949222]",90.72229038674739,0.12258340519259824
"[-0.4288515811853833, -0.003388886705702502, -0.04628043488446866, 5.856624728049422]",76.90195815537963,0.12886973366401352
"[0.38495983058742855, -2.92678782924547, 0.37526557774471253, 0.04935860802425916]",50.72489879524966,0.13201289789972118
"[0.6169032518070993, -0.015407930955534674, -0.12970617579844348, -5.193180178438951]",59.32089376540043,0.1414423906068441
"[0.5862096692098986, 0.0029431722374164814, 0.034471175612272906, -6.865835506040673]",50.44472602133442,0.14458555484255176
"[-5.081132980141906, 5.262641969275884, -0.1237097569158776, -0.11944299640758106]",68.72180642784708,0.2011625110852894
"[-0.054630976366723566, 1.115782070400198, -0.7505002693048496, -0.03674603093497224]",45.38056130322727,0.21059200379241236
"[-0.39830849907062366, -0.0013599432037349048, -0.07879155721079988, 23.076954070837907]",50.29637278980286,0.21373516802812
"[0.8377046971679365, 1.1716046343579745, -0.49702130021135915, 0.3553733619428106]",51.17055282805928,0.23259415344236586
"[-0.46391717978574143, -2.215684254095256, 0.456247537976258, -0.09552853512901016]",93.52824775198921,0.23888048191378117
"[1.2134194752998289, 0.3996940261648677, -0.14042502365656376, 0.4263122472939451]",60.41210729228863,0.2734552885065653
"[-0.351973916315933, 0.018091877616135885, 0.22041121933855395, 4.288056868238092]",55.71641014602984,0.30488693086364177
"[6.372010056403156, 0.8475520247208763, -0.02547921241658797, 0.19155614406230506]",118.658443157941,0.31431642357076467
"[-0.3790842482541561, -0.02512871932064439, -0.36564442984750894, 5.516001115995979]",50.907822625248656,0.3237459162778876
"[0.6143670432286774, -0.05316182926249424, -0.26157615703800335, -3.02291648741081]",168.09051699054345,0.3300322447493029
"[0.5933541679514694, 0.007900446605567067, 0.10838685850811035, -8.140273259444966]",41.02650290502135,0.3331754089850106
"[-0.4257218855106346, -0.0065502466307712955, -0.09481312609863793, 6.16221420207374]",34.14712757235619,0.3394617374564258
"[-0.17760840033943143, -0.3828995749018557, -0.5471777491364622, 0.25380901702586295]",33.56921986917065,0.3426049016921335
"[0.09191656674985911, -0.06598336125450457, -0.5813030315069362, -0.8097704918565297]",34.747443607192366,0.3457480659278412
