u,t,theta
"[0.4716388298094953, -0.4948812329364748, -0.3118155383325629, 0.439148522752652]",76.46409550781041,0.5689127266630841
"[7.53401356386934, -6.197037449454126, -0.3322675715438297, 0.4637915226929185]",95.6622046295876,0.5720558908987917
"[0.717755763919216, 0.04924606333262728, -1.5472336116688468, -0.18961903256512624]",85.21737450101739,0.7512162523341276
"[-0.3884927857755723, -0.177457890042577, -1.5489319284163547, 0.18340850202529957]",93.88173130103822,0.9555219276551247
"[0.7226624212586366, -0.37687180927141084, -0.6112531105438564, 0.6596143408060026]",89.5288665818454,1.040387362019231
"[22.010372660995692, -26.139232264108383, -0.2976899643248587, 0.4207075329184043]",94.69678657370272,3.4323353453927505
"[0.2144606876300346, -0.488617602353535, -0.18724024383435559, 0.1981179109306912]",55.337169411928144,3.435478509628458
"[20.08298918210014, -15.589866721056863, -0.7834943772874572, 0.7022738993194814]",94.24863041473178,3.438621673864166
"[8.458833890989688, -7.187907379922447, -0.47420582012624757, 0.588623320861427]",96.48073155212677,3.6177820352995016
"[15.39890364105122, -15.700300377301868, -0.4748037658806911, 0.5890209079785802]",78.63956758994212,3.812658217913376
"[-0.10624104718816041, 0.2951911000526603, -1.017644819219056, -0.6906602296811891]",58.355475606714094,3.9635301012273425
"[1.6959427001580483, 0.06261964335021866, -0.44269429370638275, 0.5663839433106174]",62.688373065909076,3.9666732654630503
"[12.10100328280783, -10.627754119531135, -0.23727611848023727, 0.3235341345661358]",76.82622653984217,3.969816429698758
"[14.313338387794817, -15.35713458710416, -0.37365828708079313, 0.5075181005530243]",76.16655711572925,3.9729595939344655
"[15.848437574632351, -16.768494904184507, -0.4361294182945502, 0.5614173506934792]",76.16559699721428,3.9761027581701733
"[10.094937126034377, -8.924792758941095, -0.266523917883476, 0.37496395613784556]",70.02455921022238,3.979245922405881
"[-1.085099291849352, -0.07203436571727115, -0.2085383322539796, -0.2602128950884613]",82.7602075807346,3.9823890866415885
"[6.05492103115625, -3.892286736828096, -0.6005377100650048, 0.6553749190223381]",76.7423855579684,3.985532250877296
"[10.018849466197029, -9.156305331325076, -0.4644249205503163, 0.5819940307822133]",81.256513889718,3.988675415113004
"[0.2854575781755902, 2.476311042315125, -0.43275446842878257, 0.5588168721290031]",79.81760633468089,3.9918185793487115
"[11.246008714668246, -0.44244663181118166, -0.16969476134665268, 0.12297819482408777]",77.19697140926216,3.994961743584419
"[14.279131778320545, -15.319801941850526, -0.37222142833467664, 0.5061201772603134]",76.05526915300949,3.998104907820127
"[9.315018999672816, -8.119835547080088, -0.4919225072020928, 0.6000391843610833]",71.88182141515051,4.0012480720558345
"[0.7128595825034539, 0.022453788331912215, -1.3129462423161768, -0.547961462227187]",46.895286471617794,4.004391236291542
"[-0.23344720372083996, -0.07661935114093467, -1.4158313186109601, -0.44464981279854754]",51.5624537554088,4.00753440052725
"[12.47434016474055, -9.330027046122394, -0.2117176830714403, 0.26810708050210413]",94.52249211322658,4.020107057470081
"[29.875089232404076, -32.23273429954918, -0.5190245239950412, 0.616109072669272]",96.8545801769924,4.026393385941495
"[36.65035102970348, -37.86785669005782, -0.5801871283007579, 0.646758440430828]",97.8130018870944,4.045252371355741
"[-0.2992556257639283, -0.128891103163132, -1.304007924707178, 0.5551317963927598]",96.12140229440907,4.057825028298573
"[7.868095328979946, 1.6832340738284084, -0.1701173448234739, 0.12534741111480777]",95.38937648818997,4.133260969955556
"[24.18013092180107, -27.61447964907484, -0.42905226024119697, 0.5559266784585427]",97.2074577493581,4.221269568555369
"[19.540893134126105, -15.561039191719109, -0.7575243845918237, 0.6987328021741739]",98.79158716688481,4.224412732791078
"[4.631001710605983, -2.6412014003036903, -0.4027711981447109, 0.534224242202754]",99.2591622151339,4.290419181740938
"[7.610604255842849, -0.3016035075996305, -0.1808296459625977, 0.17466188325720472]",74.94461218662566,4.299848674448061
"[10.794755736015112, -3.3824950792282515, -0.18200983857150133, 0.17922808526129166]",84.88316760056678,4.576447127190334
"[0.7013481146568618, -0.4797459902096108, -0.2738943710407632, 0.3864981760137022]",83.36306655944865,4.607878769547411
"[1.6736202619622962, 0.1458763150618838, -0.8077423350674342, 0.7047007051940076]",89.65645346965408,5.311947558345923
"[0.7511393702229174, -0.2633065382074398, -0.9248656458599867, 0.7046544017548775]",57.83626309820249,5.651409295802349
"[31.16641592421775, -35.04005311783982, -0.4800396279217062, 0.5924651726740293]",96.63727316207813,6.21089252975831
