u,t,theta
"[0.010345660127537336, 1.014125754552154, -1.0278302727246682, 0.22754875918413525]",40.91096375663535,0.01508115285251626
"[0.031024075925017994, 1.052206085787068, -0.8921278188832872, 0.25237457139742414]",38.603631778211984,0.0270203988607583
"[0.08705111316060404, 1.0237798875441155, -0.8530322374418101, 0.25955115907968823]",54.148790679215175,0.030790687073887362
"[0.19644326665637643, 1.073196260901319, -0.7515544221750032, 0.07339395967107945]",76.75440943876444,0.03267583118045189
"[-0.10619712678897841, 0.726161662532777, -0.6268229723458947, 0.10928175025475508]",68.78739965467217,0.04147317034441971
"[0.22256859024056666, 0.81276920828375, -1.0134033627594676, 0.16095570038825605]",45.838821591797405,0.048385365401823
"[-0.168713649075391, 1.0031478808984184, -1.0867753359734162, 0.06326609142621317]",31.651643515140357,0.06786518783632316
"[-0.12376200586022774, 1.0446609346200348, -1.033418432480703, 0.15732732430327842]",31.902930391034747,0.068493569205178
"[-0.06789233813402393, 1.0584842590017767, -0.9862608845838452, 0.20950811112713932]",32.08019399340676,0.06912195057403285
"[-0.01274807566138942, 1.0554673926497373, -0.9439995658166719, 0.24056028241807062]",32.24066153825641,0.0697503319428877
"[0.03858014830139198, 1.0414162300371628, -0.9038077463739941, 0.257530823032651]",32.413959494286125,0.07037871331174254
"[0.08583957061056734, 1.02028104381256, -0.8611655336661188, 0.2623226015793041]",32.637924468803085,0.07100709468059739
"[0.1336747187149663, 0.9943197110201839, -0.8073337670146172, 0.24945326632588685]",32.99934925041512,0.07163547604945224
"[0.21867781703091096, 0.9360159339033524, -0.730748749706333, 0.1702397277185852]",33.867772542895004,0.07226385741830708
"[0.2906918379744942, 0.88606646208551, -0.9724453464449733, 0.06141178324484659]",31.41723638242679,0.07352062015601676
"[0.27473951505193805, 0.7829840162492417, -0.9721285663273601, 0.07977747629278296]",31.82779425819108,0.07414900152487161
"[0.2394692930897149, 0.6928715599709647, -0.9754176698503563, 0.026561930741097754]",32.11654005097249,0.07477738289372646
"[-0.16964031933236834, 0.6892241624389568, -0.7318051753279972, 0.14814996924945745]",35.787799007280185,0.08294634068883942
