u,t,theta
"[0.44977736178450217, 0.32040619148876553, 0.4661858520778358, -0.5588166975688157]",81.36724504235941,0.1382439011480657
"[0.4870616098911354, 0.3534134763283553, 0.4941861118904019, -0.3346261192759004]",74.51374270330663,2.6058975366410384
"[0.3991999282137613, 0.2823821760210121, 0.9942383154378143, -0.1063020432984167]",88.633054250181,2.6398301305592002
"[0.6249987969786694, 0.5353042164147533, 0.19001850003632503, 0.7763142795804913]",98.3967071002459,2.6574248088871357
"[0.2387879415498707, 0.20045773707400433, 0.7187771954956738, -0.6807869916084841]",86.98212192277092,2.744769819157959
"[-0.20611679775191166, 0.18962621271122898, 0.9236660302423487, -0.7682013207898362]",76.32755632394965,4.509264702902361
"[0.5838995867093756, 0.4672005391626152, 0.3314585281073821, 0.2299113737478351]",71.45098435453241,4.926509931821978
"[0.5952812134695106, 0.48439694980038145, 0.30765078192685325, 0.32646640305604413]",58.638966204323296,5.207396403700093
"[0.6259445300356317, 0.5370976832766207, 0.189482877806585, 0.4968642030497943]",67.92762716789068,5.416647399528756
"[-0.08310028952174754, 0.16381863802281854, -0.12572086794707832, -1.1628358017556433]",66.40153342394115,5.417904162266466
"[-0.018853524708580774, 0.15917001220419685, 0.15671542866368593, -1.0146853104640388]",66.64715964171432,5.420417687741885
"[-0.029786818858120945, 0.15954628489817715, 0.043536803721802235, -1.057597295420826]",66.672147239814,5.458748951242031
"[0.386553793022185, 1.4581201302430948, -0.592947799424904, 0.6028012774206438]",71.7037105972612,5.459377332610885
"[-0.4001551825216811, 0.28303669900446154, -1.3804633863656228, -1.2232776520835016]",68.71129703358208,5.460005713979741
"[-0.02543796160797391, 0.15937633238537238, 0.14034286915490146, -1.0279439327838906]",66.64041200358915,5.4606340953485955
"[-0.12309933791012644, 0.16971616716173862, 0.6027970635875036, -0.9385199687507735]",68.56954236953922,5.826980433390969
"[-0.13730913955674637, 0.17237837525035235, -0.2516874621147643, -1.276242743600597]",78.3433698664707,5.862798171415696
