u,t,theta
"[0.12560504154279534, 0.5758127687406998, -0.8774326029811031, -0.24647440850305216]",24.48329625553817,0.0
"[0.12557860033990095, 0.5758013263258804, -0.8774448190462718, -0.2464918728602313]",24.483285969184813,6.283248139660983e-5
"[0.12555216406745928, 0.5757898889038894, -0.8774570333855, -0.24650933022403537]",24.48327566660047,0.00012566496279321966
"[0.12552572778557206, 0.5757784543363828, -0.8774692482813508, -0.24652678385815058]",24.483265361892272,0.00018849744418982948
"[0.12549929637924545, 0.5757670247351615, -0.8774814614768903, -0.24654423053899713]",24.483255044326135,0.0002513299255864393
"[0.1254728658549878, 0.5757555983720672, -0.8774936748175541, -0.2465616729043412]",24.483244721659222,0.00031416240698304914
"[0.125446437064065, 0.5757441756143615, -0.8775058879102333, -0.24657911039349617]",24.48323438962271,0.00037699488837965897
"[0.12542000926200453, 0.5757327561395017, -0.877518101099209, -0.24659654349877524]",24.483224054770304,0.0004398273697762688
"[0.12539358467289954, 0.5757213409074611, -0.8775303133568635, -0.24661397075453736]",24.483213707684985,0.0005026598511728786
"[0.12536716211249832, 0.5757099294055166, -0.8775425252306686, -0.24663139294340172]",24.48320335272839,0.0005654923325694885
"[0.12534074106048912, 0.575698521408026, -0.8775547369613279, -0.24664881040975845]",24.483192993113583,0.0006283248139660983
"[0.12531432396729802, 0.5756871179718046, -0.8775669474164259, -0.24666622153992201]",24.483182620501186,0.0006911572953627081
"[0.12528790568336423, 0.5756757168731622, -0.8775791589764314, -0.246683629729025]",24.483172248967474,0.0007539897767593179
"[0.12526149409889986, 0.575664321515979, -0.8775913679943429, -0.24670102977956102]",24.483161856766568,0.0008168222581559278
"[0.12523508236106184, 0.5756529289421807, -0.8776035776380845, -0.24671842620813614]",24.483151465611552,0.0008796547395525376
"[0.12520867251662468, 0.575641540034015, -0.8776157869617512, -0.24673581766752828]",24.483141065164773,0.0009424872209491473
"[0.12518226554996476, 0.5756301552148767, -0.8776279955104488, -0.24675320351105332]",24.483130655471804,0.0010053197023457573
"[0.12515585904226123, 0.5756187734410639, -0.8776402044026836, -0.2467705853324673]",24.483120239862053,0.0010681521837423672
"[0.12512945470279394, 0.5756073954485676, -0.8776524128484289, -0.24678796200773473]",24.48310981804445,0.001130984665138977
"[0.1251030541536455, 0.5755960219350349, -0.8776646200978417, -0.24680533247120326]",24.483099383756258,0.0011938171465355868
"[0.1250766546861652, 0.5755846517324632, -0.877676827403541, -0.24682269850659766]",24.48308894592085,0.0012566496279321966
"[0.1250502560130253, 0.5755732847164642, -0.8776890348986639, -0.2468400603038649]",24.48307850376396,0.0013194821093288063
"[0.1250238619317529, 0.575561922521014, -0.8777012408272893, -0.24685741536713546]",24.483068043936832,0.0013823145907254162
"[0.1249974685666894, 0.5755505634765055, -0.8777134469818795, -0.24687476624647117]",24.483057583473517,0.0014451470721220262
"[0.12497107834214656, 0.5755392086253555, -0.877725652241472, -0.24689211134948383]",24.483047111368364,0.0015079795535186359
"[0.12494468796777736, 0.5755278565510162, -0.8777378581280629, -0.24690945283994517]",24.483036635984,0.0015708120349152456
"[0.12491830363973626, 0.5755165099175374, -0.8777500617759972, -0.24692678664805984]",24.483026144775128,0.0016336445163118555
"[0.12489191772030936, 0.575505165439254, -0.8777622667181676, -0.24694411779308306]",24.483015655205257,0.0016964769977084653
"[0.12486553654872878, 0.5754938258408423, -0.8777744700225619, -0.24696144211240248]",24.483005151022063,0.0017593094791050752
"[0.12483915404455784, 0.5754824885078254, -0.8777866745020689, -0.2469787636002538]",24.482994646274,0.0018221419605016851
"[0.12481277666061849, 0.5754711562122059, -0.8777988771718435, -0.24699607802138537]",24.48298412765609,0.0018849744418982946
"[0.12478640089961403, 0.5754598274500755, -0.8778110796499138, -0.24701338767339379]",24.482973601436818,0.0019478069232949046
"[0.1247600267023703, 0.5754485021951631, -0.8778232819638873, -0.2470306925963362]",24.482963070687983,0.0020106394046915145
"[0.12473365394543533, 0.5754371803936408, -0.8778354841711159, -0.24704799287238619]",24.482952531619574,0.0020734718860881242
"[0.12470728490349987, 0.5754258630208703, -0.877847685219307, -0.2470652870109915]",24.48294198095171,0.0021363043674847344
"[0.12468091616800592, 0.5754145486129459, -0.8778598866858146, -0.24708257724904367]",24.482931428846868,0.002199136848881344
"[0.1246545503459322, 0.5754032382876326, -0.8778720873645528, -0.24709986187833682]",24.482920865762576,0.002261969330277954
"[0.12462818759221177, 0.5753919321100988, -0.8778842871839658, -0.24711714079909833]",24.48291029201046,0.0023248018116745635
"[0.12460182560459034, 0.5753806290920263, -0.8778964872096695, -0.24713441552164359]",24.48289971703722,0.0023876342930711737
"[0.12457546636869923, 0.575369330083888, -0.8779086865229531, -0.24715168474608015]",24.482889130631353,0.0024504667744677834
"[0.12454910836299178, 0.5753580344324876, -0.8779208858282062, -0.24716894947063311]",24.482878537659698,0.002513299255864393
"[0.12452275391600613, 0.5753467431346181, -0.8779330840478844, -0.2471862081716273]",24.48286793449144,0.002576131737261003
"[0.1244964004200423, 0.5753354550719789, -0.8779452823891525, -0.24720346255825323]",24.48285732509662,0.0026389642186576126
"[0.12447004931252273, 0.5753241708593992, -0.8779574801868872, -0.2472207116906279]",24.48284670868822,0.0027017967000542227
"[0.12444370095120694, 0.5753128906489245, -0.8779696772756473, -0.24723795533618317]",24.482836081649115,0.0027646291814508324
"[0.12441735385790516, 0.575301613806741, -0.8779818743399109, -0.24725519446369837]",24.482825449501515,0.0028274616628474426
"[0.1243910093514071, 0.5752903408963547, -0.877994070769365, -0.24727242821162676]",24.482814809568314,0.0028902941442440523
"[0.12436466675072481, 0.5752790716253193, -0.878006266879462, -0.2472896570269279]",24.482804163237738,0.002953126625640662
"[0.12433832583895245, 0.5752678058999355, -0.8780184627708382, -0.24730688105275747]",24.482793508377465,0.0030159591070372718
"[0.12431198637324588, 0.5752565436155106, -0.8780306585561566, -0.247324100449102]",24.482782848106382,0.0030787915884338815
"[0.12428565132850622, 0.5752452860427869, -0.8780428528581079, -0.24734131327289308]",24.482772173877745,0.003141624069830491
"[0.12425931626303834, 0.5752340312820169, -0.878055047733581, -0.24735852242872133]",24.482761496629713,0.003204456551227101
"[0.12423298468507617, 0.5752227808316234, -0.8780672415582456, -0.24737572562532598]",24.482750810178374,0.003267289032623711
"[0.12420665485442121, 0.5752115339469179, -0.8780794351381247, -0.2473929240012665]",24.48274011458172,0.003330121514020321
"[0.12418032682706688, 0.5752002906509218, -0.8780916284474994, -0.24741011752124778]",24.48272941387074,0.0033929539954169305
"[0.12415400091519231, 0.5751890510759947, -0.8781038213419886, -0.24742730598275794]",24.482718704583146,0.0034557864768135407
"[0.1241276778782409, 0.5751778155452516, -0.8781160134700196, -0.2474444888915224]",24.482707987908576,0.0035186189582101504
"[0.1241013550398759, 0.5751665829155048, -0.8781282060714283, -0.2474616679957786]",24.48269726589211,0.0035814514396067605
"[0.12407503599783228, 0.5751553547210557, -0.8781403974799563, -0.24747884094887782]",24.482686532596674,0.0036442839210033703
"[0.12404871788132539, 0.5751441297360753, -0.8781525890255726, -0.2474960096255247]",24.48267579441509,0.00370711640239998
"[0.1240224033614383, 0.5751329090987767, -0.8781647794711069, -0.2475131722846958]",24.48266504486712,0.0037699488837965893
"[0.12399608955314216, 0.575121691577936, -0.8781769701532631, -0.2475303308094996]",24.482654290432706,0.0038327813651931994
"[0.12396977803750996, 0.5751104778467514, -0.8781891603397882, -0.247547484170128]",24.482643528009056,0.003895613846589809
"[0.12394346936461158, 0.5750992681385267, -0.8782013497759887, -0.24756463200956041]",24.48263275826692,0.003958446327986419
"[0.1239171624057244, 0.5750880619712693, -0.8782135389850064, -0.2475817750649867]",24.48262197920528,0.004021278809383029
"[0.12389085852107276, 0.5750768599233093, -0.8782257273367565, -0.2475989124515485]",24.482611191757545,0.004084111290779639
"[0.12386455596052881, 0.5750656612482917, -0.8782379156423704, -0.2476160453109327]",24.482600398346154,0.0041469437721762484
"[0.12383825472783225, 0.5750544659470599, -0.8782501039003531, -0.2476331736417908]",24.482589597576016,0.004209776253572859
"[0.12381195513959915, 0.5750432741535921, -0.8782622919642059, -0.2476502972390759]",24.482578792083704,0.004272608734969469
"[0.12378565817953478, 0.575032086285464, -0.8782744793782379, -0.24766741546376386]",24.482567976731207,0.0043354412163660785
"[0.1237593636944751, 0.5750209022764166, -0.8782866662135835, -0.24768452841710514]",24.482557152337638,0.004398273697762688
"[0.12373307164548025, 0.5750097221087351, -0.8782988524884597, -0.24770163612605162]",24.482546320422312,0.004461106179159298
"[0.12370678185136218, 0.5749985457043303, -0.878311038287011, -0.24771873870997435]",24.48253548114373,0.004523938660555908
"[0.12368049396314519, 0.57498737291385, -0.8783232237711815, -0.24773583639730404]",24.48252463367312,0.004586771141952517
"[0.12365420634659613, 0.5749762030420332, -0.8783354096987562, -0.2477529302519521]",24.482513782414504,0.004649603623349127
"[0.12362792274518479, 0.5749650376785214, -0.8783475943345864, -0.24777001784109293]",24.482502920495932,0.004712436104745737
"[0.12360164067812701, 0.5749538757682569, -0.8783597788288627, -0.24778710077923496]",24.482492051374752,0.004775268586142347
"[0.12357536071045708, 0.5749427175503032, -0.8783719629198348, -0.24780417870040705]",24.48248117429575,0.004838101067538957
"[0.12354908379593961, 0.5749315634284864, -0.8783841461654635, -0.24782125098640093]",24.482470288991156,0.004900933548935567
"[0.12352280734584982, 0.5749204123030147, -0.8783963297662173, -0.24783831932043537]",24.482459398820183,0.0049637660303321765
"[0.12349653461827778, 0.5749092655555932, -0.8784085122115957, -0.24785538158752238]",24.48244849580989,0.005026598511728786
"[0.12347026287912845, 0.5748981220251398, -0.8784206947695437, -0.2478724395647883]",24.482437589713857,0.005089430993125397
"[0.1234439937808113, 0.5748869824116442, -0.8784328766740186, -0.24788949218063108]",24.482426673562887,0.005152263474522006
"[0.12341772605394767, 0.5748758461758579, -0.8784450585138639, -0.24790654026043185]",24.482415751960033,0.005215095955918615
"[0.12339146171292664, 0.5748647141707118, -0.8784572393550546, -0.24792358249833946]",24.482404820387693,0.005277928437315225
"[0.12336519823506645, 0.5748535853259518, -0.8784694203677416, -0.24794062053270502]",24.482393884310724,0.005340760918711836
"[0.12333893670316268, 0.5748424600996738, -0.8784816010499441, -0.24795765366214753]",24.482382938294894,0.0054035934001084454
"[0.12331267819503461, 0.5748313389473136, -0.878493780901909, -0.24797468118921978]",24.48237198483115,0.005466425881505055
"[0.12328642125629692, 0.5748202212518901, -0.878505960598406, -0.2479917040584668]",24.482361025477655,0.005529258362901665
"[0.12326016666514271, 0.5748091073419473, -0.8785181397786495, -0.2480087217667321]",24.482350057768013,0.005592090844298275
"[0.12323391522785526, 0.5747979975575978, -0.8785303180687526, -0.24802573379307344]",24.48233907797837,0.005654923325694885
"[0.12320766308899793, 0.5747868902664842, -0.8785424972575255, -0.2480427426370145]",24.482328099014882,0.005717755807091495
"[0.12318141619793095, 0.5747757879847399, -0.8785546745850422, -0.24805974444541995]",24.48231710461814,0.005780588288488105
"[0.1231551674448814, 0.574764687704115, -0.87856685335011, -0.24807674382498207]",24.482306109731688,0.0058434207698847135
"[0.12312892513247896, 0.5747535929346533, -0.8785790297006814, -0.24809373540016794]",24.4822951013934,0.005906253251281324
"[0.12310268158381844, 0.5747425004295165, -0.8785912071989672, -0.24811072414333168]",24.482284090710255,0.005969085732677934
"[0.12307644169813164, 0.5747314122588234, -0.878603383571863, -0.24812770688394672]",24.48227306816649,0.0060319182140745435
"[0.12305020412865407, 0.5747203278521843, -0.8786155594444446, -0.2481446844954453]",24.482262039102224,0.006094750695471153
"[0.12302396789965958, 0.574709246796497, -0.8786277352697042, -0.24816165761047332]",24.482251004485416,0.006157583176867763
"[0.12299773396880653, 0.5746981694953346, -0.8786399106034046, -0.24817862561077633]",24.48223996004926,0.006220415658264373
"[0.1229715010734936, 0.5746870954147163, -0.8786520860317325, -0.24819558931421748]",24.48222891149429,0.006283248139660982
"[0.12294527330945068, 0.5746760262823332, -0.8786642596538556, -0.2482125460740714]",24.482217849335328,0.006346080621057593
"[0.12291904490081697, 0.5746649596595181, -0.8786764341508089, -0.24822949962600055]",24.482206784121075,0.006408913102454202
"[0.12289281984551306, 0.5746538972323794, -0.8786886076670931, -0.24824644738691135]",24.482195708828307,0.006471745583850812
"[0.12286659658567675, 0.5746428383426255, -0.878700780926005, -0.24826339036516545]",24.482184627134387,0.006534578065247422
"[0.12284037482185638, 0.5746317828631401, -0.8787129540667598, -0.24828032875543984]",24.482173539347404,0.006597410546644033
"[0.12281415509209057, 0.5746207310198863, -0.878725126839777, -0.24829726221144321]",24.48216244436701,0.006660243028040642
"[0.12278793924357437, 0.5746096835902215, -0.8787372983875956, -0.2483141895419505]",24.48215133572412,0.006723075509437252
"[0.12276172306650925, 0.5745986387992348, -0.8787494706649475, -0.2483311134664643]",24.482140227899446,0.006785907990833861
"[0.12273550931233612, 0.574587597805481, -0.8787616423945669, -0.2483480322097094]",24.48212910992725,0.006848740472230471
"[0.12270929886849695, 0.5745765609814495, -0.8787738131645253, -0.24836494520070915]",24.482117981480982,0.006911572953627081
"[0.12268308912713619, 0.5745655272281225, -0.8787859841859461, -0.2483818541235348]",24.482106847580066,0.00697440543502369
"[0.12265688287561584, 0.5745544977179199, -0.8787981541646384, -0.24839875718136867]",24.482095706562067,0.007037237916420301
"[0.1226306787246251, 0.5745434718649155, -0.8788103237459144, -0.24841565527200035]",24.48208455590334,0.0071000703978169105
"[0.12260447655366016, 0.5745324496174428, -0.8788224929859155, -0.2484325484745081]",24.482073399137295,0.007162902879213521
"[0.12257827604096858, 0.5745214308392589, -0.8788346620342667, -0.24844943699761415]",24.48206223331731,0.00722573536061013
"[0.12255207727450171, 0.5745104155665013, -0.8788468308503163, -0.24846632078585223]",24.48205106379074,0.0072885678420067405
"[0.12252588136903915, 0.5744994042668314, -0.8788589989164308, -0.24848319912228284]",24.482039883262598,0.007351400323403349
"[0.12249968652090157, 0.5744883961811489, -0.8788711670706045, -0.24850007317037254]",24.482028699522346,0.00741423280479996
"[0.12247349314144818, 0.5744773914816077, -0.8788833351219781, -0.2485169426661823]",24.48201750495029,0.00747706528619657
"[0.12244730454300437, 0.5744663915585217, -0.8788955015319249, -0.24853380547826645]",24.48200630172013,0.0075398977675931785
"[0.12242111617799166, 0.5744553945006745, -0.8789076684132527, -0.24855066453636918]",24.481995093551216,0.007602730248989789
"[0.12239493005226733, 0.5744444011496701, -0.878919834834285, -0.2485675185502248]",24.48198387662839,0.007665562730386399
"[0.12236874615252144, 0.5744334114988833, -0.878932000801371, -0.24858436752986524]",24.4819726528122,0.007728395211783009
"[0.12234256497302566, 0.5744224257546854, -0.8789441660849963, -0.24860121115875944]",24.48196141905832,0.007791227693179618
"[0.12231638598070355, 0.5744114436923011, -0.8789563309330067, -0.24861804978140284]",24.48195017919839,0.00785406017457623
"[0.12229020786936612, 0.5744004647629842, -0.8789684959525693, -0.24863488423911134]",24.48193893484209,0.007916892655972839
"[0.12226403174678177, 0.5743894894305621, -0.8789806606291151, -0.24865171382062035]",24.481927680296526,0.00797972513736945
"[0.12223785885770734, 0.5743785182158065, -0.8789928243843106, -0.24866853772723185]",24.48191641563584,0.008042557618766058
"[0.12221168743505878, 0.5743675503769312, -0.8790049880395543, -0.24868535709631845]",24.481905148047254,0.008105390100162669
"[0.12218551872007927, 0.5743565864331437, -0.8790171510181237, -0.24870217113156018]",24.481893871638665,0.008168222581559277
"[0.1221593498665851, 0.5743456251912478, -0.879029314643123, -0.24871898166276266]",24.48188258954092,0.008231055062955886
"[0.12213318452155114, 0.5743346681780017, -0.8790414772195848, -0.248735786348363]",24.48187129975677,0.008293887544352497
"[0.12210702235138746, 0.5743237152523397, -0.8790536389026592, -0.24875258540451287]",24.48185999851141,0.008356720025749107
"[0.12208086204859588, 0.5743127658657642, -0.8790658003002852, -0.24876937967233254]",24.481848690880916,0.008419552507145718
"[0.12205470232004115, 0.5743018194763372, -0.879077962013841, -0.24878616998300868]",24.481837378019836,0.008482384988542327
"[0.1220285448898197, 0.5742908768047525, -0.8790901232419988, -0.2488029552310403]",24.48182605763596,0.008545217469938938
"[0.12200239121021365, 0.5742799384572294, -0.8791022833096714, -0.2488197344863346]",24.481814725146265,0.008608049951335546
"[0.1219762396409438, 0.5742690037465741, -0.8791144429796021, -0.24883650880289065]",24.48180338740174,0.008670882432732157
"[0.12195008748037667, 0.574258071542585, -0.8791266035082257, -0.24885327991446926]",24.481792048333936,0.008733714914128766
