u,t,theta
"[0.36579167209927094, -0.0346486520620407, -0.19154701103116917, -2.0221941484239716]",41.23572720484895,0.015715821178538234
"[-1.0683003715570463, -0.613918501218162, 0.24196868012765108, -0.42105789347059186]",60.757108146044544,0.018858985414245882
"[-1.6600198051642057, -0.7346239193307962, 0.20513246868596954, -0.4635350847425923]",35.38187872609626,0.025145313885661175
"[-0.5647876240739651, -0.3888841113970596, -0.21633138550837294, 0.3141843177777661]",31.85376550371163,0.02828847812136882
"[0.005588265292481589, -0.007827026863408557, -0.902127408456967, -0.6440922426922189]",66.41926117313291,0.03143164235707647
"[0.48851323144632247, -0.025690240491875488, -0.28068824638201867, -5.337432411811976]",32.9039828266599,0.03457480659278411
"[0.1437951636429896, -0.3689746895616578, -0.4129806085168042, -0.16094495330724556]",34.32261688415514,0.037717970828491765
"[-0.3576752618761944, 0.2319520815137745, 0.5809078768162887, 0.8957728493325402]",71.38261985576702,0.04400429929990706
"[0.2123153378561967, -0.5480398705864766, 0.017509878498707457, 0.006783476839544529]",39.29592797444864,0.047147463535614706
"[-5.555444152568582, -1.0744363078953594, 0.0409476570528247, -0.2117225751437047]",79.22938524582344,0.06600644894986059
"[0.09252989097512292, 1.1480922989073674, -0.7352689552152769, 0.059258612158805034]",42.50408993961123,0.07229277742127588
"[0.10206974893682362, -0.07535980269639156, -0.6232256241330585, -0.8441168993306887]",60.36723800793406,0.08172227012839882
"[0.5061271146115655, 0.0021727816345948714, 0.05081013539770529, -11.835697956973018]",68.63045320694265,0.08800859859981412
"[0.10519775989503863, -1.197548093648265, 0.7161646841859599, 0.06291097693018757]",39.68392960821843,0.09429492707122941
"[-0.46518830240854664, 6.603983398057849, -0.1871352055377574, -0.013181909059702472]",57.853043749396875,0.09743809130693705
"[-0.29820550231249304, 0.4815648399853405, 0.15394853184439158, 0.09533150150731588]",38.06529622822325,0.1005812555426447
"[0.38806164818624433, -0.0263277956173776, -0.15559050792907667, -2.293344639504795]",47.30495775969472,0.12572656942830587
"[1.4034691885042483, -0.7934036497125931, 0.2620461991767388, 0.46353929256869875]",44.67773951136291,0.12886973366401352
"[-0.31503591375690465, 0.0018355713228559686, 0.009791624344988132, 1.6805194569304247]",54.54757880990297,0.13515606213542883
"[-0.7179970134185173, 0.4688773693380184, -0.016169585184222256, -0.02476066159232593]",43.73182612263991,0.13829922637113645
"[0.3969208951073944, 0.04763687681159998, 0.27496881874997364, -2.2911004450715384]",49.17250265867341,0.14458555484255176
"[-0.2896099094203834, -0.9746602650466237, 0.6969238422444616, -0.2070834916160979]",81.57546402317654,0.19801934684958175
"[-1.315288131983964, 0.8250779428945494, -0.2872464162578579, -0.45791043805320536]",88.38575596266395,0.21059200379241236
"[-0.4365570353783994, -1.0673031229832701, 0.6339090506763767, -0.2592866542817717]",169.9652004856266,0.21373516802812
"[-0.2616789007732994, 0.3885879610111349, 0.3683030205589761, 0.24801882518589652]",107.9507800268366,0.22002149649953529
"[-1.372168881905872, 0.44562420381691203, -0.15717945858624116, -0.4839879883083311]",138.37099189491062,0.2294509892066582
"[1.2789102321964585, -0.06268880024305303, 0.020828744731879442, 0.42492589837623046]",260.5184967333061,0.24516681038519647
"[6.963054371262357, -5.59458314486854, 0.08926943656753508, 0.11110531820084489]",254.7001414683113,1.948761826138741
"[-0.6936464065471893, 0.5060417064705646, -0.047944421751872336, -0.06571884379665233]",136.60524969828361,1.9864797969672328
"[0.2550714399874552, -0.3441161072287061, -0.46171042983505606, -0.3422366512968342]",108.72312810027769,2.03048409626714
"[-3.2107434039222387, 1.1129707890612235, -0.10897454696696574, -0.31437420578191977]",105.57349088342649,2.0524862459170934
"[-0.7139686690609008, 0.5692487471009701, -0.14005163332264245, -0.17565691405100037]",92.03531343436839,2.0682020670956316
"[-0.2151587776024928, 0.05132222807659834, 0.2887884691306723, 1.2106912800254543]",101.22755461061672,2.0713452313313394
"[0.22715962358883202, -0.5487599684731435, 0.01623057382958066, 0.006718658891984332]",94.44700824391914,2.080774724038462
"[-1.5949007392618455, -1.45232080683789, 0.3166724627153234, -0.3477614191785905]",135.00449632338587,2.096490545217
"[-0.2985073203480597, -2.0737548333283917, 0.4871323074000611, -0.07012041992619347]",88.27480950912248,2.099633709452708
"[0.18582808467617795, -0.9773783505007438, 0.7546896999059839, 0.14348848773508935]",87.6495402415614,2.102776873688416
"[0.45912160003978264, -0.8418710186357912, 0.513902525867755, 0.2802611620046286]",89.38026798952752,2.109063202159831
"[-0.1869063925089846, -0.7571136090243664, 0.5254964659604318, -0.12972775493424044]",81.87652637805186,2.112206366395539
"[2.145428533154195, -1.3485867832930039, 0.22237821716545556, 0.3537752098487453]",107.77132578629191,2.115349530631246
"[0.49199766145837853, -0.018615297699533215, -0.2429315202907465, -6.420619310269391]",76.13205006940153,2.124779023338369
"[0.12639986072336495, 0.4780580657336041, 0.14231679516966125, -0.0376289500741416]",81.0984401858869,2.127922187574077
"[-0.12065824145130884, 0.07363245408365465, 0.5553210185942897, 0.909979958951182]",87.40989009992842,2.1404948445169074
"[-0.2000409108520542, -3.445341043329313, 0.33065398001925655, -0.019198193301640198]",111.51449979564127,2.1436380087526152
"[0.4478082374321291, 0.6989011153514327, -0.3084806736432635, 0.19765340720140395]",86.95785992512559,2.146781172988323
"[0.07393732144358281, 0.626972272325909, -0.24981517381378646, 0.029460098353687056]",90.1394461635795,2.1656401584025686
"[-0.2839059653643753, 0.0740920501398107, 0.36207863501027104, 1.3874131464358956]",87.3531865768402,2.1782128153453995
"[-0.8132036408986464, -0.5183291054306897, 0.12353209359493464, -0.19380881225214594]",73.9189938480198,2.1813559795811073
"[-0.40455744592127185, 0.05603457353020598, 0.3210891038034741, 2.3181935645081113]",83.1031602487487,2.1844991438168146
"[0.6343316360882855, 0.5710104847420353, -0.11204500023453061, 0.12447002325429739]",68.20558906588293,2.2190739504095984
"[-1.409853324902509, -0.19288992387945478, 0.06638021288385364, -0.4851801585059727]",62.656866704302196,2.225360278881014
"[-0.6041661932587011, 0.49821139963881483, 0.016076132348826752, 0.019495049070708738]",60.58287012763196,2.2285034431167214
"[-0.6895117933781909, 0.9380083624816482, -0.4891143232229672, -0.3595384728555898]",65.96239646007412,2.234789771588137
"[0.2357149697730295, -0.1387889501488033, -0.5806282358081689, -0.9861214953073002]",90.99777553230878,2.2536487570023827
"[-0.4467602014656185, -0.1631655048196727, -0.5518026896233584, 1.5108798949744677]",55.62960311929172,2.2567919212380905
"[0.6987746099947985, -0.4825000487285373, 0.02045792401002399, 0.029627930420049044]",57.27506493325794,2.2599350854737983
"[-6.155874656439127, -2.628744486880585, 0.07287963504242759, -0.1706662250999488]",108.21337382507511,2.2662214139452135
"[-0.7163677103324767, 0.5716182114030304, -0.14396877073881126, -0.18042563479633988]",53.97108092199596,2.288223563595167
"[0.5244684054320482, 0.40622788406732246, 0.22264452916537905, -0.28744954684149027]",53.04181291676887,2.2913667278308747
"[0.768696119800637, 0.4298775242082915, -0.008641994962165516, 0.01545339688786737]",53.18252323947353,2.2945098920665825
"[-0.6838236195667281, 0.48425726339258224, -0.013131358900156594, -0.01854289868575386]",54.037695801692514,2.29765305630229
"[1.021959756495006, 0.40714753943162607, -0.11914510274973279, 0.29905989451310594]",71.49346145890662,2.3007962205379977
"[-1.4848467879176848, 0.7818342824739214, -0.24451738415891394, -0.46438338737148893]",217.05981588040015,2.3039393847737055
"[0.4651783714604061, -0.060120707522704556, -0.400196845754784, -3.0964857973663937]",59.41505324473588,2.307082549009413
"[1.8030489542799952, -4.895781202792941, 0.21778113421800738, 0.08020579965658577]",67.88215634754714,2.325941534423659
"[-0.6237386854314457, -1.0202714702130973, 0.5438185049353416, -0.3324611628225014]",55.991125955590334,2.332227862895074
"[-0.49981227444752097, -0.0029580144855295035, -0.10550499175596753, 17.82705600681425]",50.13888988113073,2.3353710271307815
"[-1.977242415449125, 8.29117712499052, -0.14481038392200396, -0.034533725304823]",81.0326643973053,2.3385141913664893
"[0.7523295803909186, -0.46721309708252695, 0.03677620631305107, 0.059218861878298286]",50.727096565848086,2.3448005198379045
