u,t,theta
"[-6.83527127791384e-6, 0.8660278981311279, -0.8660278981863989, 1.6755575614018814e-7]",7.244636314746588,0.0
"[-6.817966654257698e-6, 0.8660278918163777, -0.8660278918713693, 1.6713165857028615e-7]",7.240622283343525,0.003143164235707647
"[-6.800737368563024e-6, 0.866027885529119, -0.866027885583833, 1.667094067510842e-7]",7.236608289156058,0.006286328471415294
"[-6.783583232268578e-6, 0.8660278792692832, -0.8660278793237215, 1.6628899612160304e-7]",7.232594367932481,0.009429492707122941
"[-6.766504079816591e-6, 0.8660278730368096, -0.8660278730909742, 1.658704226960464e-7]",7.22858055862006,0.012572656942830588
"[-6.749499653927654e-6, 0.8660278668316047, -0.8660278668854974, 1.6545368047695176e-7]",7.224566895426451,0.015715821178538234
"[-6.732569804235147e-6, 0.8660278606536133, -0.8660278607072359, 1.6503876516123827e-7]",7.2205534213445794,0.018858985414245882
"[-6.71571431953341e-6, 0.8660278545027584, -0.8660278545561129, 1.6462567201714716e-7]",7.216540165274707,0.02200214964995353
"[-6.698932960135409e-6, 0.8660278483789529, -0.8660278484320411, 1.6421439509989996e-7]",7.212527170000608,0.025145313885661175
"[-6.682225564586903e-6, 0.8660278422821373, -0.8660278423349609, 1.638049302966854e-7]",7.208514469829377,0.02828847812136882
"[-6.665591903603548e-6, 0.8660278362122282, -0.8660278362647893, 1.633972723478091e-7]",7.2045021027647005,0.03143164235707647
"[-6.649031816720027e-6, 0.8660278301691673, -0.8660278302214675, 1.6299141695431307e-7]",7.200490108118315,0.03457480659278411
"[-6.632545021050721e-6, 0.866027824152851, -0.8660278242048921, 1.6258735730460729e-7]",7.196478516695835,0.037717970828491765
"[-6.61613134592955e-6, 0.8660278181632172, -0.8660278182150011, 1.621850893394317e-7]",7.192467370112742,0.04086113506419941
"[-6.599790572480696e-6, 0.8660278122001861, -0.8660278122517145, 1.6178460773299443e-7]",7.188456703263558,0.04400429929990706
"[-6.583522491814559e-6, 0.8660278062636814, -0.866027806314956, 1.6138590691715533e-7]",7.184446552536679,0.047147463535614706
"[-6.567326871675565e-6, 0.8660278003536181, -0.8660278004046409, 1.609889817594311e-7]",7.180436956664265,0.05029062777132235
"[-6.551203529210543e-6, 0.86602779446993, -0.8660277945207024, 1.6059382742217151e-7]",7.176427950809855,0.05343379200703
"[-6.535152209923515e-6, 0.8660277886125238, -0.8660277886630479, 1.6020043789957513e-7]",7.172419572857439,0.05657695624273764
"[-6.519172709160213e-6, 0.8660277827813251, -0.8660277828316023, 1.5980880821509612e-7]",7.168411856606877,0.05972012047844529
"[-6.5032647952286e-6, 0.8660277769762491, -0.8660277770262813, 1.5941893243657748e-7]",7.164404840554932,0.06286328471415294
