u,t,theta
"[1.3474877200902502, 5.359777303620791, -0.15980620035286489, 0.3354180279585349]",52.77541353879683,3.036296651693587
"[0.9690506716722594, -0.0007312629476266283, -1.3452250105857062, 0.8199689768067898]",50.744896589401456,3.2060275204218
"[0.545421215432751, 2.4497681640370783, -0.410441093421757, 0.8407799331995921]",46.384456098022255,3.2217433416003383
"[1.001741525705102, 1.1626909639579242, -0.30421436375298777, 0.7293813634739821]",46.525987331636074,3.237459162778876
"[0.12334670359143539, -0.049678886160812834, -1.5729128670389896, 0.28238993772069615]",45.61233825046049,3.2531749839574147
"[1.1359824054219338, -0.0837291536837781, -0.8054636989259671, 1.0045085378507723]",44.78348544460386,3.2688908051359524
"[2.3557929873569345, -0.5240992741462496, -0.19877008417741954, 0.534030635721336]",43.89653637373289,3.322324597142983
"[2.8389291371548766, -0.3003806459955839, -0.17086415883450665, 0.42942504981516955]",43.50529909950793,3.3600425679714747
"[3.036148727534407, -0.09456440141445403, -0.16489886192544498, 0.3917691249868232]",43.31191264542724,3.382044717621428
"[3.1798251183404314, 0.12886914027624372, -0.16183989656601094, 0.36420881110505166]",43.139876003444655,3.4040468672713815
"[3.3291518642508526, 0.4993811741776504, -0.159655549621022, 0.33227427968449774]",42.889179046500374,3.4417648380998735
"[3.376022590550497, 0.691317369056272, -0.15919107352554177, 0.31962726591903323]",42.765699050039466,3.463766987749827
"[3.4035104932658435, 0.8604502042629112, -0.1589889904922725, 0.3099754838954983]",42.656711936469,3.485769137399781
"[3.4178801653544397, 1.0064165565368288, -0.15892325466410168, 0.3025594353674384]",42.56044267719966,3.507771287049734
"[3.4227316382259363, 1.097136351270406, -0.15892061766126597, 0.29832028523246784]",42.498552191452326,3.523487108228272
"[3.4246153837063926, 1.2066708243936108, -0.15894811122729818, 0.29354226432379227]",42.420375109804276,3.545489257878226
"[3.423694446906586, 1.2735153646772588, -0.15897851774640026, 0.2907966884268162]",42.36992686800915,3.561205079056764
"[3.420615647944181, 1.3528713673983679, -0.15902569980140502, 0.28769477477240096]",42.30594124040223,3.5832072287067174
"[3.417753865709241, 1.4004485152215993, -0.15905894321946054, 0.2859137075060043]",42.26447321600159,3.5989230498852556
"[3.4147005106853614, 1.4412569444289047, -0.15909003110175113, 0.2844314788759703]",42.226160976035615,3.6146388710637942
"[3.4116728954514164, 1.47595934573209, -0.15911814560177648, 0.28320332388029174]",42.19071244386129,3.630354692242332
"[3.4088204193978124, 1.5051599353401912, -0.1591428872752396, 0.28219247761140115]",42.157866886699146,3.6460705134208706
"[3.4062409277538013, 1.5294100091118357, -0.15916412564150653, 0.28136848202266435]",42.12738970293176,3.6617863345994084
"[3.403993669528535, 1.5492101265330176, -0.1591818982632367, 0.28070599309375277]",42.09906972644487,3.677502155777947
"[3.401157162518921, 1.5727528709273615, -0.15920349989559487, 0.2799302171673625]",42.057775006961926,3.7026474696636082
"[3.39986564717375, 1.5830098527710583, -0.1592130614416055, 0.279596257406142]",42.034212872440186,3.718363290842146
"[3.398531508510413, 1.5933347008718493, -0.15922277374684618, 0.27926254181579285]",41.999669414361406,3.7435086047278077
"[3.398246815797934, 1.5955043226128636, -0.15922482551364792, 0.2791927282885438]",41.98762040740535,3.7529380974349307
"[3.397995489424187, 1.5974101854868574, -0.15922663090613653, 0.2791314912433674]",41.957622983903796,3.7780834113205914
"[3.3980709478785838, 1.5968388932364388, -0.15922608943188396, 0.2791498385915781]",41.947101975458,3.7875129040277145
"[3.3989807304602233, 1.5898875880145116, -0.15921952157765104, 0.2793736848204873]",41.91143241075152,3.8220877106204987
"[3.3993680659983223, 1.5868916317703128, -0.15921670280043232, 0.2794705038225191]",41.9024007412078,3.8315172033276217
"[3.3998010798507265, 1.5835156973088842, -0.15921353525657952, 0.27957985043746186]",41.893627990924436,3.8409466960347447
"[3.400272734668562, 1.5798056374538683, -0.15921006502207588, 0.27970032290292457]",41.88509428721067,3.8503761887418677
"[3.4007762238871635, 1.5758062537355382, -0.1592063370106343, 0.27983054673502034]",41.87678016059798,3.8598056814489907
"[3.401304973831087, 1.571561591336387, -0.15920239514588902, 0.27996916229542435]",41.8686664626772,3.8692351741561137
"[3.401852827750452, 1.5671137065498353, -0.15919828113011184, 0.280114862831622]",41.86073484742451,3.878664666863236
"[3.4024137681795557, 1.562505102825846, -0.15919403662607695, 0.28026631303989025]",41.85296673110467,3.888094159570359
"[3.402982264219219, 1.5577760604616262, -0.159189700721387, 0.28042223517966475]",41.845344514093476,3.897523652277482
"[3.405411935395451, 1.5368449006727696, -0.15917075523110275, 0.2811186383293229]",41.813582423626265,3.9383847873416817
"[3.40594030164676, 1.5321247782614718, -0.1591665401205122, 0.28127710332932726]",41.80645213006692,3.9478142800488043
"[3.407538868329478, 1.5174319159494714, -0.15915355999446626, 0.28177374265068394]",41.78289622898191,3.979245922405881
"[3.408467209481735, 1.5085893555917698, -0.15914585394303363, 0.2820751006694002]",41.7663832563094,4.0012480720558345
"[3.409204008776191, 1.5013927948284946, -0.15913964284632562, 0.28232173699300345]",41.749646149808335,4.023250221705788
"[3.409723681132878, 1.4962152838309184, -0.15913520862881883, 0.28249994306157916]",41.73251749981826,4.045252371355741
"[3.4099138922133547, 1.4942981628717567, -0.1591335741212363, 0.28256609179185227]",41.7224930898533,4.057825028298573
"[3.4099928233114185, 1.4934990626708295, -0.15913289400878933, 0.28259369013594504]",41.69378160584905,4.092399834891356
"[3.40984452608968, 1.4949986953059018, -0.15913417091816381, 0.28254191027642156]",41.68285040352587,4.104972491834187
"[3.4095922248584913, 1.4975332282348937, -0.1591363346123188, 0.28245451952858835]",41.671620856697416,4.117545148777018
"[3.409228732270739, 1.5011484266669188, -0.1591394329097072, 0.28233013354640196]",41.660071860058316,4.130117805719848
"[3.408745925356788, 1.5058863159091103, -0.1591435146034743, 0.28216759276065784]",41.64818398407301,4.142690462662679
"[3.4081345009501134, 1.5117863328322603, -0.15914863065997611, 0.28196593176384627]",41.63593886656478,4.155263119605509
"[3.4062328109768996, 1.5294835910437243, -0.15916419098924192, 0.2813660029595782]",41.60699935448048,4.183551597726877
"[3.4051251518370984, 1.539380309899559, -0.1591730282406947, 0.2810337355242229]",41.59348881233089,4.196124254669709
"[3.401944336416612, 1.5663657001716749, -0.15919759095540997, 0.28013941059963493]",41.56155709157926,4.224412732791078
"[3.3997100595906318, 1.5842276955794898, -0.1592142025289104, 0.2795567668966733]",41.542874000524364,4.240128553969615
"[3.394705233607594, 1.621595956213586, -0.15924978165059428, 0.2783616091791414]",41.50750990063615,4.268417032090984
"[3.3913070924190905, 1.64524823086212, -0.15927282544354002, 0.2776215950413835]",41.486893953869384,4.284132853269523
"[3.3874140110378304, 1.670942410456692, -0.15929826788845092, 0.2768320180366886]",41.465589039040886,4.299848674448061
"[3.3768912138355405, 1.7344711577219931, -0.15936271739073346, 0.2749431115492779]",41.41633948941764,4.3344234810408455
"[3.3711209538096165, 1.766406658410906, -0.15939578556721665, 0.27402727087537543]",41.39290692193034,4.350139302219383
"[3.363302172482624, 1.807111001436945, -0.1594384143098251, 0.27289232018041865]",41.36396648140773,4.368998287633629
"[3.3544468511042895, 1.850262932217234, -0.15948402468965112, 0.2717284661393225]",41.33417569882831,4.387857273047875
"[3.3444990732931488, 1.8956782801870091, -0.15953228707554734, 0.27054705374744425]",41.30359080277444,4.406716258462121
"[3.333414718754323, 1.9431461906355734, -0.1595827844644178, 0.2693597387696052]",41.27227656771107,4.4255752438763665
"[3.321163662072025, 1.9924324610051412, -0.15963501948071251, 0.26817823129942725]",41.24030501449804,4.4444342292906125
"[3.3077322493723598, 2.043280934884995, -0.1596884229594607, 0.26701410120893837]",41.20775500229547,4.4632932147048585
"[3.305379002033461, 2.05188837607229, -0.15969739367475672, 0.2668225658843875]",41.20227968146977,4.466436378940566
"[3.290577710270763, 2.1042109290970603, -0.1597513647928998, 0.2656928309740012]",41.16916208633478,4.485295364354812
"[3.2879984408762652, 2.113031494890039, -0.15976035509937514, 0.2655082472773076]",41.16360219011919,4.488438528590519
"[3.2718652747007844, 2.1664293025526655, -0.15981397800174338, 0.2644272281938582]",41.13003999990143,4.507297514004765
"[3.2690690855115805, 2.1753947359523327, -0.1598228319595374, 0.26425188749186296]",41.12441660023669,4.510440678240474
"[3.248676419268412, 2.2384917202344825, -0.1598837263031919, 0.26306855914035043]",41.08487315074187,4.532442827890427
"[3.223739899366049, 2.3108613871032473, -0.15995000101572068, 0.261822446319979]",41.039440836598416,4.557588141776089
"[3.197300631685489, 2.382789927288281, -0.16001130306835054, 0.2607050946043459]",40.99397655787544,4.582733455661749
"[3.193904554086404, 2.3917130093167303, -0.16001854867112977, 0.2605751279898771]",40.988302869060625,4.585876619897457
"[3.1661393445840136, 2.4622630186831027, -0.16007271148254462, 0.2596168818476587]",40.943080508626245,4.611021933783118
"[3.1626046199942857, 2.47095659892987, -0.16007897717117456, 0.2595074975833367]",40.93745523937485,4.614165098018826
"[3.1339665156351004, 2.539226860894315, -0.1601247348841069, 0.2587174898284627]",40.89276234630044,4.6393104119044875
"[3.1303534654704763, 2.547581158648941, -0.16012988979649387, 0.2586294388279126]",40.8872207819604,4.642453576140195
"[3.1267356410974316, 2.5558914145555534, -0.16013491585440187, 0.2585437694683355]",40.88169056635963,4.645596740375902
"[3.097723386516455, 2.6206335509706324, -0.16017040393771947, 0.25794385667481995]",40.83790907658786,4.670742054261563
"[3.094100725306469, 2.628490883014213, -0.16017424370905736, 0.2578794608268494]",40.83249984301615,4.67388521849727
"[3.090481774135179, 2.6362919676400405, -0.1601779503435335, 0.2578173913681498]",40.827106024065564,4.677028382732979
"[3.0868674357803028, 2.644035573289626, -0.16018152383449996, 0.25775763811983543]",40.82172806984623,4.680171546968686
"[3.0582211579722283, 2.703785196802514, -0.1602053500833474, 0.2573613814320019]",40.77931815142889,4.705316860854348
"[3.054687029332813, 2.71096266278186, -0.16020773997453222, 0.25732183867684527]",40.77409923255359,4.708460025090055
"[3.0511661776559604, 2.718071897269401, -0.1602100013069099, 0.2572844568630661]",40.76889982452204,4.711603189325762
"[3.047659418600643, 2.7251119898516243, -0.16021213496370337, 0.2572492157196255]",40.76372020479929,4.71474635356147
"[3.044167677851042, 2.7320818172911103, -0.16021414182331972, 0.2572160954464088]",40.75856079901368,4.717889517797178
"[3.0406918729237398, 2.73898028343365, -0.1602160228403148, 0.25718507536767193]",40.75342200850282,4.721032682032885
"[3.0372327483780683, 2.7458066425225653, -0.1602177791234549, 0.25715613263932513]",40.748304044155354,4.724175846268593
"[3.0168780616816298, 2.785193577996819, -0.16022576242370076, 0.25702481814984574]",40.718054109312654,4.743034831682839
"[3.0135603018528223, 2.7914873807121996, -0.16022667937694618, 0.25700976128519126]",40.713091884413046,4.746177995918547
"[3.0102661402293416, 2.7977014087147376, -0.16022748194142375, 0.2569965870879822]",40.708153221085965,4.749321160154254
"[3.00699639530791, 2.8038348087894955, -0.16022817164374936, 0.25698526877287275]",40.703238424856785,4.752464324389962
"[3.0037520020002004, 2.8098865123724157, -0.160228750031558, 0.256975779481379]",40.698347887786625,4.75560748862567
"[3.0005336968297875, 2.8158558238379965, -0.1602292187333965, 0.2569680912880361]",40.693481839473975,4.758750652861377
"[2.9973423523078475, 2.821741794231142, -0.16022957938875748, 0.25696217633731633]",40.68864063352161,4.761893817097085
"[2.9941788224414507, 2.8275435104429114, -0.1602298336780627, 0.2569580063401376]",40.68382461024001,4.765036981332793
"[2.9910439120242898, 2.8332601504180106, -0.16022998332352684, 0.2569555525485162]",40.67903406369129,4.7681801455685004
"[2.9879384381450773, 2.838890868915804, -0.16023003007827083, 0.25695478592257853]",40.67426928056754,4.771323309804208
"[2.9848632172452767, 2.8444348207424968, -0.16022997572348083, 0.25695567716586454]",40.669530596101545,4.774466474039916
"[2.98181905824808, 2.8498911729643814, -0.16022982206812522, 0.2569581967184317]",40.66481830050645,4.7776096382756235
"[2.9788068249150346, 2.855258993932639, -0.16022957095593574, 0.25696231463102553]",40.66013274777728,4.780752802511331
"[2.9758272615617543, 2.8605375631557735, -0.16022922424523278, 0.25696800088468846]",40.655474194312085,4.783895966747039
"[2.9728811965050013, 2.865726007533284, -0.16022878382083847, 0.2569752251841221]",40.65084296631535,4.7870391309827465
"[2.9699694130475724, 2.8708235313216544, -0.16022825158571197, 0.25698395708382055]",40.64623935096186,4.790182295218454
"[2.9670926704204605, 2.8758293769754926, -0.16022762945501126, 0.25699416607453535]",40.64166360833349,4.793325459454161
"[2.9642518353742062, 2.880742596313944, -0.16022691938227834, 0.2570058211427199]",40.63711614768256,4.7964686236898695
"[2.96144760575444, 2.8855625301525927, -0.16022612329634503, 0.2570188917954792]",40.632597157760955,4.799611787925577
"[2.958680817422618, 2.890288276870969, -0.16022524317676573, 0.2570333468119524]",40.62810700277662,4.802754952161284
"[2.9559521913705806, 2.8949191267626575, -0.160224280977057, 0.2570491554933132]",40.6236459282445,4.8058981163969925
"[2.953262539334229, 2.8994542101748726, -0.16022323868768912, 0.2570662866183349]",40.61921429753956,4.8090412806327
"[2.9506125750765126, 2.9038928182343238, -0.16022211827333568, 0.2570847094646624]",40.61481233086881,4.812184444868407
"[2.948003081767225, 2.90823411897302, -0.16022092172850225, 0.2571043928851698]",40.61044035931956,4.8153276091041155
"[2.9454347806195234, 2.912477377239236, -0.16021965101993638, 0.25712530624559876]",40.60609865371546,4.818470773339823
"[2.942908461476994, 2.9166217384283, -0.16021830815253565, 0.25714741833148297]",40.60178755975318,4.82161393757553
"[2.9404248314502173, 2.920666477608815, -0.16021689508860718, 0.2571706986682593]",40.59750731910863,4.8247571018112385
"[2.937984615233235, 2.924610832420293, -0.16021541379023066, 0.2571951168162321]",40.593258232964786,4.827900266046946
"[2.9355885551389123, 2.928454004889764, -0.16021386622782693, 0.2572206422211389]",40.589040607397855,4.831043430282653
"[2.933237370173785, 2.9321952272582186, -0.1602122543529212, 0.25724724465532117]",40.584854725177024,4.8341865945183615
"[2.9309317574320266, 2.9358337574115843, -0.1602105800876362, 0.2572748943845671]",40.580700861119546,4.837329758754069
"[2.8920467877976574, 2.9893768223418324, -0.16015895919688364, 0.25813638327469135]",40.49468595213302,4.909622536175345
"[2.8900854923595998, 2.9911284366779274, -0.16015361874245307, 0.25822652657918493]",40.48813532976325,4.9159088646467595
"[2.8891978793259394, 2.9918190462300016, -0.1601509136252032, 0.25827226171432843]",40.48491991626067,4.919052028882467
"[2.8883730353869232, 2.9923850012285693, -0.16014818639505163, 0.25831842168756197]",40.48174486861836,4.922195193118175
"[2.8876115230261092, 2.9928253884658735, -0.1601454378612248, 0.2583649941966874]",40.47861054610909,4.9253383573538825
