u,t,theta
"[17.230844465544873, 19.730020900013013, -0.546070876394979, -0.5305783856135367]",79.11223352163942,1.7696014647034053
"[24.19331914352796, 26.57263130353367, -0.543682479182274, -0.5293608177817554]",79.61843079857731,3.3568994037357665
"[11.48742398821176, 15.010315900027017, -0.48228682108684207, -0.49392314330158466]",85.22298103145853,3.3663288964428895
"[16.96756069705079, 22.544044030807108, -0.3714113724127545, -0.4053285663508862]",74.94034342539531,3.382044717621428
"[19.296181982592714, 24.151580116228068, -0.426465282451193, -0.45388347125861417]",74.81886516293794,3.3851878818571355
"[21.257421140232402, 25.26648093484879, -0.4729305354870197, -0.4877724257892941]",74.71687391601039,3.3883310460928437
"[22.871938887566362, 26.04218360139051, -0.5113708797338323, -0.5117353746273247]",74.63023301913613,3.391474210328551
"[24.167076828869618, 26.5780496470457, -0.5424209217072873, -0.5287130817627176]",74.55613659446276,3.3946173745642585
"[26.4225864339942, 27.32156997653573, -0.5976787255942195, -0.5542094926736189]",74.39161013202727,3.4040468672713815
"[26.26787920177715, 27.17370565018608, -0.5978383294666926, -0.554274936986642]",74.25130399767983,3.41976268844992
"[24.685936093856363, 26.58398921768552, -0.5624476420180712, -0.5386239445565054]",74.22338429533754,3.429192181157043
"[23.993749749525993, 26.30502606185696, -0.5466652124989293, -0.5308795988317275]",74.22163247022637,3.4323353453927505
"[23.235669909823176, 25.98118459705374, -0.5292753873522619, -0.5217712010321164]",74.2233852226859,3.435478509628458
"[22.419702758774324, 25.609467237540617, -0.5104647743857508, -0.5112091612710059]",74.22855006867144,3.438621673864166
"[21.552780797552266, 25.18637924346699, -0.49039455713704994, -0.49908385643995234]",74.23708021099343,3.4417648380998735
"[20.640883786045578, 24.70785226139226, -0.46920287064808736, -0.48526222942818426]",74.24897487274588,3.444908002335581
"[19.689182646493176, 24.169111943818756, -0.44700750770359887, -0.46958230552219293]",74.26428050878684,3.4480511665712887
"[18.702184664925397, 23.564463136673776, -0.4239082768225546, -0.4518445850481487]",74.28309307169472,3.4511943308069966
"[17.683936800778856, 22.886988044946587, -0.3999899869810926, -0.4317997652170626]",74.30556017843517,3.454337495042704
"[16.638254618197422, 22.12806197606438, -0.3753245779017188, -0.40912935436685727]",74.33188266466789,3.4574806592784117
"[15.569164129942141, 21.276653660898795, -0.3499752051748702, -0.38341720337097757]",74.36230956482814,3.460623823514119
"[0.8235969922012649, 7.059180185843452, -0.1927242011196174, -0.11602196761001493]",80.56560447446977,3.495198630106903
"[3.9580609862210783, 9.302680855752397, -0.2025726396522159, -0.14460259558171204]",80.15142276403368,3.498341794342611
"[8.780790134147463, 13.652490780409098, -0.3611865345315506, -0.3951138415470345]",87.96530511176599,3.7403654404920994
"[21.26716980404228, 24.482603045074608, -0.5090969756395808, -0.5104114163267502]",75.55583419903532,3.756081261670638
