u,t,theta
"[0.12798355133562514, -0.8136244883210366, 1.0679625291491528, 0.23873298025938788]",55.86611004446097,0.0
"[0.1281581548159206, -0.8103742163043702, 1.0706640047216631, 0.23843883137676447]",55.84681790161935,0.0006283813688548441
"[0.12833372649861327, -0.807215710928833, 1.0733007486899964, 0.23814378034237166]",55.828448825432105,0.0012567627377096883
"[0.1285101010639442, -0.8041436563779976, 1.0758760801887077, 0.23784811201935463]",55.810938089649696,0.0018851441065645324
"[0.1286871113957709, -0.8011534545453008, 1.0783928448149502, 0.2375521115027204]",55.79422843113732,0.0025135254754193766
"[0.12886460930420607, -0.7982407921732491, 1.080853758939862, 0.2372560295671874]",55.778267074336654,0.0031419068442742207
"[0.12904243036826718, -0.7954021565759379, 1.0832609584138324, 0.23696014150134434]",55.76300836640468,0.003770288213129065
"[0.12922042907682033, -0.792634191028002, 1.085616528641498, 0.2366646885371764]",55.74840974905644,0.004398669581983909
"[0.12939846213594616, -0.789933923220981, 1.0879223008178276, 0.23636990586811846]",55.73443280811025,0.005027050950838753
"[0.12957638057623674, -0.7872988308877614, 1.0901797849599817, 0.23607603574293665]",55.72104339941136,0.005655432319693596
"[0.12975405203396387, -0.7847264691682198, 1.0923904799789208, 0.23578329071639184]",55.7082093652261,0.006283813688548441
"[0.12993134375628124, -0.7822146948379094, 1.0945556754002264, 0.23549188191851447]",55.69590164419865,0.006912195057403285
"[0.1301081169560636, -0.7797617086387659, 1.0966764074736435, 0.23520202832863096]",55.68409426182768,0.00754057642625813
"[0.1302842511465762, -0.7773656889774494, 1.0987537701599954, 0.2349139169389599]",55.67276231377889,0.008168957795112973
"[0.13045961949897675, -0.7750251156526694, 1.1007886311426658, 0.23462774332022196]",55.66188352404975,0.008797339163967818
"[0.13063409911467175, -0.772738604773543, 1.1027817702461404, 0.2343436948370654]",55.65143728976872,0.009425720532822661
"[0.13080757399300766, -0.7705048552947378, 1.1047339228357669, 0.2340619459543134]",55.64140429504284,0.010054101901677506
"[0.13097992467832506, -0.7683227682214094, 1.1066456727442326, 0.23378267516916845]",55.631767053135235,0.01068248327053235
"[0.13115103241699688, -0.7661913756101012, 1.1085175111218337, 0.23350605827973198]",55.62250944884474,0.011310864639387193
"[0.13132078288061655, -0.7641097822627649, 1.1103498852394846, 0.23323226244829603]",55.61361640010478,0.011939246008242038
"[0.13148906867937385, -0.7620771271482136, 1.1121432308040593, 0.23296144229152002]",55.60507360941116,0.012567627377096883
"[0.1316557720515691, -0.7600927834193704, 1.1138977935678347, 0.23269376781853132]",55.596868478423325,0.013196008745951726
"[0.13182078705714506, -0.7581560806140808, 1.1156138727447573, 0.23242938877789673]",55.588988718806704,0.01382439011480657
"[0.13198400942185962, -0.7562664226032517, 1.117291715859472, 0.23216845113502585]",55.58142290230187,0.014452771483661413
"[0.13214532229295858, -0.7544234424814481, 1.1189313794905953, 0.23191111984888613]",55.5741610862168,0.01508115285251626
