u,t,theta
"[0.26329279096905894, 1.2589160771434962, -0.6759636628756642, 0.3708052149009224]",25.409808369008296,0.0
"[0.26339602825002867, 1.2587326511487582, -0.6759588028172331, 0.3707429370308851]",25.40919711888314,0.0006283813688548441
"[0.26349911520242697, 1.258549393588141, -0.6759539741060181, 0.3706806962604095]",25.408585766412113,0.0012567627377096883
"[0.2636020521853575, 1.25836630421324, -0.6759491766358062, 0.3706184925697782]",25.407974309362366,0.0018851441065645324
"[0.26370483947457585, 1.2581833829223081, -0.6759444103046134, 0.3705563259888793]",25.40736275064166,0.0025135254754193766
"[0.26380747683381345, 1.2580006305242037, -0.6759396750343007, 0.37049419685704793]",25.406751089292435,0.0031419068442742207
"[0.26390996572223085, 1.2578180448070315, -0.6759349706689374, 0.370432104486388]",25.4061393290074,0.003770288213129065
"[0.2640123046767298, 1.2576356287632406, -0.6759302971871032, 0.3703700499586079]",25.405527466069927,0.004398669581983909
"[0.26411449515347535, 1.2574533801828958, -0.6759256544337461, 0.37030803258598755]",25.404915504735353,0.005027050950838753
"[0.2642165370912647, 1.2572712995584794, -0.6759210423236136, 0.37024605259975935]",25.404303442852566,0.005655432319693596
"[0.2643184295867354, 1.257089388886095, -0.6759164608092484, 0.3701841107432847]",25.40369127819758,0.006283813688548441
"[0.26442017520518113, 1.2569076439676272, -0.6759119096875714, 0.3701222056505112]",25.403079018716582,0.006912195057403285
"[0.2645217721345948, 1.2567260684198933, -0.6759073889522619, 0.37006033861655524]",25.402466659081053,0.00754057642625813
"[0.2646232215971651, 1.2565446604393666, -0.6759028984613503, 0.36999850909027304]",25.4018542011827,0.008168957795112973
"[0.2647245232867957, 1.2563634209524286, -0.675898438141185, 0.3699367174504744]",25.401241643684184,0.008797339163967818
"[0.26482567726407547, 1.2561823502297889, -0.6758940079018345, 0.36987496385259344]",25.400628989095182,0.009425720532822661
"[0.264926684603169, 1.2560014467257836, -0.6758896076094295, 0.36981324783228436]",25.400016238350894,0.010054101901677506
"[0.2650275450633384, 1.2558207112472215, -0.6758852371879583, 0.3697515697273431]",25.39940339139069,0.01068248327053235
"[0.26512825867568823, 1.255640144113988, -0.6758808965495355, 0.36968992970953585]",25.398790446447926,0.011310864639387193
"[0.2652288261293672, 1.255459744464772, -0.6758765855782184, 0.3696283275472188]",25.398177406618807,0.011939246008242038
"[0.2653292460931685, 1.2552795150623697, -0.6758723042446335, 0.36956676424638135]",25.397564268327354,0.012567627377096883
"[0.2654295212847973, 1.2550994514017106, -0.6758680523470031, 0.36950523833031607]",25.39695103904781,0.013196008745951726
"[0.2655296503979203, 1.2549195561988444, -0.6758638298553262, 0.36944375078880837]",25.39633771313494,0.01382439011480657
"[0.26562963408141693, 1.2547398286588076, -0.6758596366566647, 0.36938230141205597]",25.395724295893007,0.014452771483661413
"[0.26572947162621424, 1.2545602704268088, -0.6758554726951946, 0.36932089082448233]",25.395110778899685,0.01508115285251626
"[0.2658291646172609, 1.2543808790214053, -0.6758513378195811, 0.36925951823907877]",25.3944971746802,0.015709534221371103
"[0.2659287119839385, 1.2542016567370873, -0.6758472319892285, 0.36919818450232916]",25.393883473202123,0.016337915590225946
"[0.2660281150521233, 1.2540226015541407, -0.6758431550645636, 0.36913688898446917]",25.393269679205936,0.01696629695908079
"[0.26612737295243366, 1.2538437154049493, -0.675839106996556, 0.3690756324082924]",25.392655793762174,0.017594678327935636
"[0.2662264872581632, 1.2536649958191448, -0.6758350876366316, 0.3690144139889375]",25.392041818422133,0.01822305969679048
"[0.26632545739315117, 1.2534864441989981, -0.6758310969241267, 0.36895323426751736]",25.391427749489942,0.018851441065645323
"[0.2664242835869806, 1.2533080604938438, -0.6758271347656725, 0.3688920932875437]",25.390813588767962,0.01947982243450017
"[0.26652296587614754, 1.2531298450006692, -0.6758232010758148, 0.3688309912115982]",25.390199338539063,0.020108203803355013
"[0.26662150437614923, 1.2529517978731772, -0.6758192957660591, 0.36876992815311116]",25.38958499875774,0.020736585172209856
"[0.2667198997698253, 1.2527739182384359, -0.6758154187257592, 0.3687089038731992]",25.388970569327764,0.0213649665410647
"[0.2668181523572852, 1.252596205913147, -0.67581156985987, 0.3686479183691943]",25.3883560485132,0.021993347909919542
"[0.2669162620176565, 1.2524186614745385, -0.6758077490900224, 0.3685869718993301]",25.38774144025318,0.022621729278774386
"[0.26701422871266384, 1.252241285350421, -0.6758039563345746, 0.3685260646706501]",25.387126742628087,0.023250110647629232
"[0.26711205378405806, 1.2520640754679266, -0.6758001914589225, 0.36846519603118977]",25.386511959411802,0.023878492016484076
"[0.2672097356761718, 1.2518870350015623, -0.6757964544402482, 0.3684043671312021]",25.38589708496048,0.024506873385338922
"[0.2673072758961368, 1.2517101615759179, -0.6757927451382325, 0.36834357721438743]",25.38528212512208,0.025135254754193766
"[0.267404674158186, 1.2515334560633513, -0.6757890634815304, 0.36828282664007994]",25.384667076311036,0.025763636123048612
"[0.26750193092799035, 1.2513569179726487, -0.6757854093704192, 0.3682221152988579]",25.384051942613667,0.026392017491903452
"[0.26759904605591955, 1.2511805479282925, -0.6757817827285458, 0.3681614434648361]",25.38343672305683,0.0270203988607583
"[0.26769601977983426, 1.2510043458507232, -0.675778183465127, 0.368100811169965]",25.382821415740437,0.02764878022961314
"[0.2677928531951021, 1.250828310099967, -0.6757746114580859, 0.36804021790885827]",25.38220602446971,0.028277161598467986
"[0.2678895455828875, 1.2506524423324161, -0.6757710666526572, 0.36797966431050244]",25.381590548902366,0.028905542967322825
"[0.2679860975345598, 1.250476741821656, -0.6757675489459377, 0.3679191501836121]",25.380974987719764,0.029533924336177672
"[0.268082508796281, 1.2503012093782433, -0.6757640582660515, 0.36785867586611276]",25.38035934327934,0.03016230570503252
"[0.26817878003952367, 1.2501258441273764, -0.6757605945077491, 0.3677982411152414]",25.37974361534718,0.030790687073887362
"[0.26827491118507746, 1.2499506465599297, -0.6757571575931848, 0.3677378461586117]",25.37912780208314,0.031419068442742205
"[0.26837090289308074, 1.2497756158183317, -0.6757537474182873, 0.3676774907588767]",25.378511906891124,0.032047449811597045
"[0.2684667542674726, 1.2496007538819474, -0.6757503639343857, 0.36761717565690655]",25.37789592570384,0.03267583118045189
"[0.26856246696772546, 1.2494260580676155, -0.6757470070026754, 0.36755689998531704]",25.377279869544385,0.03330421254930674
"[0.26865804080914535, 1.24925152905429, -0.6757436765499586, 0.36749666403605846]",25.376663727129,0.03393259391816158
"[0.26875347517677195, 1.2490771683076245, -0.6757403725177458, 0.367436468372886]",25.37604750405188,0.034560975287016425
"[0.2688487706318458, 1.248902975144651, -0.6757370948067054, 0.3673763128179279]",25.37543120105364,0.03518935665587127
"[0.2689439276047021, 1.2487289491195706, -0.6757338433224979, 0.3673161972748671]",25.37481481522147,0.03581773802472612
"[0.2690389462529816, 1.2485550902837037, -0.6757306179804561, 0.3672561218188801]",25.374198351770467,0.03644611939358096
"[0.2691338274936253, 1.2483813972973954, -0.6757274186705194, 0.3671960860442303]",25.373581807339146,0.037074500762435805
"[0.2692285703270355, 1.2482078723281649, -0.6757242453475322, 0.36713609075725306]",25.37296518516959,0.037702882131290645
"[0.2693231754512167, 1.2480345144355134, -0.6757210979091439, 0.36707613569002395]",25.372348480889844,0.03833126350014549
"[0.26941764277944324, 1.2478613241151133, -0.6757179762795196, 0.3670162210710324]",25.371731700644997,0.03895964486900034
"[0.2695119733231757, 1.2476882998478573, -0.6757148803468553, 0.3669563464315504]",25.371114842097455,0.03958802623785518
"[0.2696061669168822, 1.2475154422711345, -0.6757118100385333, 0.366896512048699]",25.370497908252553,0.040216407606710025
"[0.2697002225573132, 1.2473427535611177, -0.6757087653088368, 0.36683671873263185]",25.36988089147273,0.040844788975564865
"[0.26979414185996786, 1.2471702310856432, -0.6757057460272979, 0.36677696562865797]",25.36926380183985,0.04147317034441971
"[0.26988792505156134, 1.246997874759469, -0.6757027521090996, 0.36671725276343536]",25.36864663295186,0.04210155171327455
