u,t,theta
"[0.24656922440331536, 1.410761077639725, -0.7714704571082112, -0.13757006285578877]",30.52582638498802,0.0
"[0.24807149504376302, 1.411014512561903, -0.7718049555086942, -0.1375074957228413]",30.527320534991514,0.003143164235707647
"[0.2495790079951576, 1.411265677015981, -0.7721415697346691, -0.13744324627973747]",30.528811516105627,0.006286328471415294
"[0.25109175068990985, 1.411514538266785, -0.7724803038053433, -0.1373772988862398]",30.53029937178411,0.009429492707122941
"[0.2526097662017827, 1.4117610725475256, -0.7728211742138893, -0.1373096353505316]",30.531784032948874,0.012572656942830588
"[0.2541330570074298, 1.4120052491441462, -0.7731641884017869, -0.1372402390896338]",30.533265484975157,0.015715821178538234
"[0.25566166034818555, 1.4122470426666247, -0.7735093616716927, -0.13716909177750727]",30.534743687296103,0.018858985414245882
"[0.2571955580795625, 1.4124864187060675, -0.7738566968549262, -0.137096177500607]",30.536218636319845,0.02200214964995353
"[0.2587348015366872, 1.4127233535089154, -0.7742062125295588, -0.13702147690947086]",30.537690275680962,0.025145313885661175
"[0.26027937719117406, 1.4129578129853273, -0.7745579126071883, -0.13694497359178898]",30.53915860372267,0.02828847812136882
"[0.26182932730977465, 1.4131897713277681, -0.7749118137166902, -0.13686664823747674]",30.54062357642329,0.03143164235707647
"[0.26338463989938105, 1.4134191942921615, -0.7752679201476168, -0.13678648408827832]",30.542085192528003,0.03457480659278411
"[0.26494536496964394, 1.4136460565524391, -0.7756262504088871, -0.13670446104181208]",30.543543383119726,0.037717970828491765
"[0.2665114933872761, 1.41387032381645, -0.7759868094952932, -0.13662056188228336]",30.544998138351552,0.04086113506419941
"[0.26808304030599756, 1.41409196513884, -0.7763496079874465, -0.1365347679821493]",30.546449463470154,0.04400429929990706
"[0.2696600277862484, 1.4143109502616986, -0.7767146580997562, -0.13644706015214111]",30.54789728682193,0.047147463535614706
"[0.27124248004630264, 1.4145272488930414, -0.7770819725985596, -0.13635741887523078]",30.54934159512852,0.05029062777132235
"[0.2728304046918396, 1.4147408281760985, -0.7774515604343681, -0.13626582538593207]",30.550782373072064,0.05343379200703
"[0.2744238088601246, 1.4149516549835446, -0.7778234304627911, -0.13617226080235725]",30.55221957999659,0.05657695624273764
"[0.2760227307568683, 1.4151596999898803, -0.7781975988330999, -0.13607670422532703]",30.553653170558867,0.05972012047844529
"[0.2776271534332748, 1.415364926395883, -0.7785740688271402, -0.1359791378583583]",30.5550831672089,0.06286328471415294
"[0.2792371342985106, 1.415567306671806, -0.778952861197382, -0.13587953921492749]",30.55650948250248,0.06600644894986059
"[0.28085264564631635, 1.415766802215836, -0.7793339767304008, -0.13577789084266365]",30.55793214765542,0.06914961318556823
"[0.2824737307786347, 1.4159633830545992, -0.7797174329570788, -0.13567417069995688]",30.559351082126735,0.07229277742127588
"[0.28410038855506814, 1.4161570134366974, -0.7801032369588358, -0.13556835934822822]",30.560766300161152,0.07543594165698353
"[0.2857326499089552, 1.4163476611739156, -0.7804914034479629, -0.13546043509091504]",30.562177737608366,0.07857910589269117
"[0.28737051686224374, 1.4165352903620185, -0.7808819403085162, -0.1353503779294739]",30.563585384337035,0.08172227012839882
"[0.2890140149711694, 1.4167198675365253, -0.7812748610596446, -0.13523816610403092]",30.56498922028871,0.08486543436410646
"[0.2906631371762157, 1.4169013552890775, -0.7816701714527972, -0.13512377988882823]",30.566389199945014,0.08800859859981412
"[0.29231793301116044, 1.4170797221481262, -0.782067890837588, -0.13500719543392634]",30.567785303462074,0.09115176283552176
"[0.29397839701265865, 1.4172549302863122, -0.7824680254152119, -0.13488839249863083]",30.569177495341545,0.09429492707122941
"[0.2956445219023651, 1.4174269415721603, -0.7828705809305271, -0.1347673508579163]",30.57056578240932,0.09743809130693705
"[0.2973163713832014, 1.417595724852593, -0.7832755803244921, -0.13464404490521328]",30.571950073247656,0.1005812555426447
