u,t,theta
"[0.2719694116800305, 1.159263552926299, -0.7867537645808658, 0.5777196848093777]",90.73138791321557,0.21373516802812
"[0.36951252511125693, 1.0895022177099285, -0.6668550642823367, 0.5233065863203185]",88.75245346560797,2.0713452313313394
"[0.4023003045625088, 0.46146026053700034, -1.2673609141277502, 0.11580724483196791]",81.51753780825813,2.090204216745585
"[-0.2867927532024416, 1.3076239377057923, -1.1599674347811497, 0.36924075338808077]",81.24302010705179,2.093347380981293
"[0.224570261296943, 0.6341994218165994, -0.7977466016999706, 0.6254301855615753]",76.98490865847576,2.109063202159831
"[0.5663148444424837, 0.7739457195673499, -1.1530343869394188, 0.29737967702402385]",74.57211110191085,2.115349530631246
"[-0.45151572651120236, 1.1845774452147946, -1.2847664803110534, 0.13897502093162337]",74.63896940898613,2.118492694866954
"[0.21744918990765727, 0.6189474185938076, -0.8192894766916388, 0.6240865902752755]",70.61922375392564,2.1373516802812
"[0.26118376442469726, 1.1837689210254096, -0.7792347069713353, 0.5685855022764574]",69.31626403075983,2.146781172988323
"[0.36856749992715815, 0.41956271685405977, -1.2717553291952899, -0.014570339819603659]",62.49072968371856,2.1813559795811073
"[0.3737018344709023, 1.1074168874002441, -0.6555531499966903, 0.5077189389183212]",63.409898202551425,2.1844991438168146
"[-0.32254125533463956, 1.3045229483552592, -1.159496202374734, 0.342873055790754]",62.19122111116241,2.1876423080525225
"[-0.2858078200715124, 0.47831032757184716, -0.6072366182355178, 0.4483517303831329]",58.245059480326816,2.225360278881014
"[0.48636580399735396, 0.5425193358666144, -1.2033382369967467, 0.21216074394818196]",55.87776017047309,2.2316466073524293
"[0.4702156920210099, 1.0378917477743685, -0.5781105039173331, 0.40800021227353445]",57.48946378957559,2.234789771588137
"[-0.01579092794887396, 1.335183144976929, -0.9521175122505499, 0.5217564655407073]",56.143129689074875,2.2379329358238444
"[-0.6028492524768754, 1.191673456035766, -1.024512758286521, 0.07353831189196931]",25.09459782872668,2.2787940708880443
"[-0.5989704318821076, 1.1988130163759403, -1.0213588346388442, 0.0797392744863469]",25.10296576303267,2.2819372351237517
"[-0.5950411080195528, 1.2057329541096842, -1.0182469236334803, 0.08575236972661958]",25.11100238632947,2.2850803993594595
