u,t,theta
"[-0.1308419647601348, 0.6783975498901551, -0.9315608801801725, 0.18492865878071035]",56.70123866199765,1.574725282089531
"[0.21168292398826424, 0.9587912920181724, -1.1360536925623281, 0.17749927566966608]",53.60181893212586,1.5810116105609466
"[0.3817550303712355, 0.9960068265662582, -0.8058405908860825, 0.10983467785480569]",41.724593144243336,1.6847360303392989
"[0.10965220781737615, 1.046896078381279, -0.9338378572529998, 0.3501881394265285]",38.83704900524769,1.7130245084606674
"[0.09931155353821197, 0.7233417710372675, -0.6818769754887332, 0.3138463545253044]",48.32483474819599,1.8198920924747275
"[-0.030677496857566627, 1.114087650365859, -0.8832156252330449, 0.2452343276314759]",33.006650244725535,1.939332333431618
"[0.27550121304534575, 0.6567362103273944, -0.9855360735262108, 0.20542560191711412]",41.01081080171982,1.9739071400244022
"[0.15479258570499244, 0.9730335101507622, -1.1207556116718589, 0.24373433449696616]",86.45439350145509,5.079353404903558
"[-0.001311721495899119, 1.1384960342114803, -0.8116832415634954, 0.21199383932779614]",53.53189420174001,5.2679432590460165
"[0.061173011455835126, 1.0240225583327234, -1.0630196088971366, 0.28634013863699037]",50.619191215236015,5.613691324973858
"[0.243786396456741, 0.9847222033369644, -0.7747948007009229, 0.3385655445176234]",48.66546027813809,5.616834489209565
"[0.24177008506727124, 0.9256319556746915, -0.8297704782846597, 0.37392313215348966]",37.173096243422926,5.6199776534452734
