u,t,theta
"[0.20848696279709503, 1.0307553321211729, -0.7453372512525407, 0.12178508485136724]",42.5379922297491,0.012189623288394165
"[0.1561749380284684, 0.7693286330359832, -0.9555758615422189, 0.24132931602686736]",68.60243487670883,0.0139489503609459
"[-0.014387345606791982, 0.7169875155737866, -0.6855510859477585, 0.2121549734639358]",66.28093862308528,0.014451615238817824
"[0.14450216367475402, 0.9177420139658214, -0.8584822229897714, 0.2763830988829829]",42.57451669904369,0.014577281458285806
"[0.10831876162649351, 0.760047168230183, -0.8478915171231749, 0.27695996393533867]",43.821903280797365,0.01520561255562571
"[-0.07556842523751087, 1.081352340752129, -0.9339528030730577, 0.20810956669293412]",35.05836450127452,0.016210942311369558
"[0.16090962306945705, 0.6776848406541498, -1.0100335408884802, 0.13378184455012207]",37.94397495576181,0.01633660853083754
"[0.009648199490231456, 0.707673099503613, -0.751912879356152, 0.2486157511988175]",41.72153777176373,0.017090605847645428
"[-0.04902244248871071, 0.745867367892016, -0.5809694381238014, 0.04361127129765647]",48.04147778193372,0.0185986004812612
"[0.1638841330029624, 1.0193960173157808, -0.7571837523469038, 0.19435261965622488]",55.904149741532194,0.019226931578601107
"[-0.0211584477663597, 1.132467404962612, -0.787057297730716, 0.1494155892889967]",43.88108739087586,0.0392078604740101
"[0.290879483109642, 0.9778197205310207, -0.8285337545876118, 0.038542616537211284]",32.00307611161368,0.03933352669347808
"[0.3001434529223378, 0.7676481949759011, -0.8699891807889275, 0.01483647285430324]",31.224699652105148,0.039459192912946056
"[0.1838095586086391, 0.9383151790722474, -0.7535037167595797, 0.2198342659869364]",55.15557195677523,0.040087524010285966
"[-0.2420485929047874, 0.6856874052041957, -0.8380681885523681, 0.09005042508146294]",35.34781673481344,0.04033885644922193
"[-0.09443328895520485, 0.626995247707479, -0.8959352936454619, 0.18180301678306374]",35.7903821908373,0.04046452266868991
"[0.07931278271967716, 0.6554562900699842, -0.97075279351394, 0.19596505986326934]",36.39851262996559,0.04059018888815789
"[0.23254666544776623, 0.8157254875451083, -1.0136049881122724, 0.14701099654469266]",34.24022108183656,0.0412185199854978
"[0.18830075472426022, 0.7715870150275357, -0.9941440254216928, 0.19801473503010864]",33.77096277836869,0.04134418620496577
"[0.16103581451729063, 0.7521132973991586, -0.9726057762105359, 0.22300700140384605]",33.48915628561988,0.04146985242443376
"[0.14048161216026955, 0.7396387388635227, -0.9523692641469113, 0.23840315717860178]",33.28705218878808,0.041595518643901735
"[0.12329481835334072, 0.7302365832108824, -0.9336111155389851, 0.24857987758684022]",33.130520316224334,0.04172118486336972
"[0.10800077675679752, 0.7225487849242128, -0.9161033892816823, 0.25542608995343735]",33.003441727655236,0.0418468510828377
"[0.09384920898125178, 0.7160121650582365, -0.8995754874539064, 0.25992834794658165]",32.8967263659588,0.04197251730230568
"[0.08043242045205232, 0.710371419920896, -0.8837961435973787, 0.2626531245847509]",32.80473352344346,0.04209818352177366
"[0.06751991487508213, 0.7055034999440186, -0.8685831520594455, 0.26394551976964664]",32.723713589936224,0.042223849741241645
"[0.05498416095366865, 0.7013471027543646, -0.8538040950840426, 0.26402355733478927]",32.651076264048584,0.04234951596070963
"[0.042755864284479896, 0.6978684131409082, -0.8393642719521937, 0.2630291744586925]",32.5849541355006,0.04247518218017761
"[0.030804411403785762, 0.6950463226170109, -0.8252029433078032, 0.2610570220504341]",32.52398155954697,0.04260084839964559
"[0.019121853149922603, 0.6928636416547255, -0.811283542915581, 0.2581718178594448]",32.467131177326785,0.042726514619113566
"[0.007714764023966005, 0.6913033248728491, -0.7975880692325236, 0.25441896312243717]",32.413618830282125,0.042852180838581555
"[-0.0034011053790994603, 0.6903467540223159, -0.7841121589237681, 0.24983127269489402]",32.36283789041791,0.04297784705804953
"[-0.014204843995449579, 0.6899732084672706, -0.7708603692218873, 0.24443294198568777]",32.314310490488666,0.04310351327751751
"[-0.024673898538555783, 0.6901602050607117, -0.757841281700899, 0.2382411096720859]",32.26764805979411,0.043229179496985494
