u,t,theta
"[-0.22189283985341768, 0.5295000767449349, -1.4472160771636093, -0.4486259453343835]",89.18805734753873,1.3221131407892917
"[0.7508309437273951, 1.4799615966606547, -0.5041528035775016, 0.4667427090631003]",99.33349035665042,1.8257752896614028
"[0.750200391029259, 0.25172931383843256, 0.39539386684785255, 0.6492340601117261]",57.81197014666478,3.2863955213905247
"[0.7336263154359536, 0.24257253335345835, 0.4198696099958391, 0.6961346409647192]",57.76378430217228,3.298987075112328
"[0.7105362530993224, 0.2307559841591643, 0.4412076393381259, 0.7586171368357899]",57.70750269429166,3.3115786288341305
"[0.6598287742661548, 0.20838643895392667, 0.4494558635269895, 0.8825833412960227]",57.61137154472824,3.324170182555933
"[0.6881329699188721, 0.22028598912421352, 0.45034530490048647, 0.8156290016255981]",57.142077546741376,3.5760012569919892
"[0.7117631517883991, 0.23135719346745523, 0.4404033363026825, 0.7553899256385945]",57.1501439880202,3.588592810713792
"[0.7275445195415162, 0.2393559632351843, 0.426828758251736, 0.7129392608801925]",57.147692542507905,3.6011843644355945
"[0.7396689132276218, 0.24584395502386566, 0.41191490157264676, 0.6792121359419704]",57.14091678336576,3.6137759181573976
"[0.7494395692050171, 0.2512962052963475, 0.39670594173880125, 0.6514183367786819]",57.13163612875924,3.6263674718792003
"[0.7574865738581739, 0.2559406969517367, 0.3818451907489554, 0.6281938273016596]",57.120657163342386,3.638959025601003
"[0.7412818508783693, 0.24673007983871983, 0.40960863543261183, 0.6746590465839655]",55.99266228805535,5.086987703608322
"[0.7118038823250341, 0.23137720283604304, 0.44037604693767407, 0.7552826038772223]",55.95253899826531,5.0995792573301255
"[0.7912682783808344, 0.2770354765930675, -0.0898449421740854, 0.19259379063116575]",61.995892791123616,5.263269455713561
"[-0.01507533716197095, 0.29356364569061233, -2.050879190172244, -0.4468177393917731]",82.16113714459162,5.288452563157167
"[-0.09886869343931462, 0.36489665116077546, -1.8606857030973085, -0.4401747387172674]",96.56974486155787,5.30104411687897
"[0.5636569117869549, 1.5539326760416479, -0.551266088389455, 0.6538502274297013]",59.59854139342685,5.313635670600772
"[1.0921103633051532, 0.721169458081108, -0.3251587796947748, 0.6383824888959024]",60.69804693547624,5.326227224322575
"[1.099994016593855, 0.7659835288879648, -0.7127312059481128, 0.4668350619326868]",57.22020867662236,5.338818778044377
"[0.3786097027912616, 1.5728085778805092, -0.6637361877239809, 0.6888353663090864]",65.7607312598162,5.401776546653392
