u,t,theta
"[-0.39980197892697583, 1.3662233464638078, -0.5844899465275043, -0.47838243718341406]",43.72251262840572,1.9267596764887875
"[-0.3850946335828811, 1.3804991120233412, -0.6071892628456349, -0.5774079917049985]",57.104509910198644,1.939332333431618
"[0.36352062296040116, 0.20985707075200577, -1.3621340033003457, 0.7298642691876635]",44.482393659294466,2.043056753209971
"[-0.5984664711284756, 0.7558229142057798, -0.29701896635533814, -0.8416946208983023]",33.91030917462125,2.090204216745585
"[-0.6018678135164091, 0.780109326420009, -0.2836533478444777, -0.710815719854828]",34.119202814837735,2.1876423080525225
"[0.7236380993696949, 0.5327454598715868, -0.6842505433946712, 1.3961601688365743]",41.5850479482567,2.2442192642952596
"[0.183915667525519, 1.5681351962982146, -0.960774913051663, -0.5738575652111843]",95.5445602526623,3.294036119021614
"[-0.07746984614238518, 1.5504992555203483, -0.7947491269448642, -0.633721835268286]",73.15886895081923,3.4920554658711955
"[0.3120596080446811, 1.5405850546945223, -0.9208743242923534, -0.42566670616466096]",40.24294942778046,3.5203439439925646
"[-0.09439885793726269, 1.5458850099037358, -0.6123458951388346, -0.12192955869495832]",38.627242358720636,3.5392029294068106
"[-0.22747729979884526, 0.2393208337385165, 0.8420887934733868, 0.8568580786147818]",54.67156338987024,3.5549187505853492
"[-0.2307250958750166, 1.4910221325426454, -0.6282253471337058, -0.43159654836943345]",38.550301117070724,3.6334978564780402
"[-0.26195790491341026, 0.2585828344244306, -0.956024698635209, 1.1062140037737664]",61.18361081149582,3.7435086047278077
"[0.7312140948201356, 0.547326852641832, -0.6972873632520193, 1.3854570711820344]",34.1584967159706,3.7592244259063454
"[0.7293020811195648, 0.5435678240959118, -0.8187469512519351, 1.3464672997209424]",34.29687131578144,3.7623675901420537
"[0.732663833661316, 0.5502145845002315, -0.9289774437049084, 1.2826689113443528]",34.43465799123721,3.765510754377761
"[0.7403526191251605, 0.5661112107565969, -1.0294488648089466, 1.1965297458145052]",34.577687993634356,3.7686539186134684
"[0.7519511589308566, 0.5922377372092109, -1.1196164882968436, 1.087988491828022]",34.730110308114185,3.7717970828491767
"[0.7670156520160967, 0.6313125580227803, -1.197751184624824, 0.9553838020526106]",34.89618230637824,3.774940247084884
"[0.7844312881145531, 0.6883914772674277, -1.260736282198939, 0.7954664340031011]",35.08123416706208,3.7780834113205914
"[0.8008604212642932, 0.7722455023916737, -1.3030643594095146, 0.6032611754471731]",35.29246687731745,3.7812265755562997
"[0.80644053802438, 0.8967136138303492, -1.3146965902267684, 0.3735015378360551]",35.53858177243258,3.784369739792007
"[0.7757794041606809, 1.0741652531939994, -1.2797012728976631, 0.11101958951765355]",35.821990387931294,3.7875129040277145
"[0.6727070204415506, 1.280762270649392, -1.1899695901450775, -0.1437200348391094]",36.11576360028368,3.7906560682634227
"[0.5022872161919245, 1.4475449612273084, -1.070415726608142, -0.3345934741058934]",36.374119259117954,3.79379923249913
"[0.30977616109525297, 1.5412986538366926, -0.9530335747548416, -0.45361646526194727]",36.58704874467994,3.7969423967348375
"[0.12599400020898255, 1.5726542398455878, -0.8504348874635133, -0.520694368298425]",36.76971964976814,3.800085560970545
