u,t,theta
"[0.3307108021035617, 1.0822949712060554, -0.9029408570794136, 0.6839681276243235]",37.760794742494305,0.0
"[-0.20484213363383524, 0.9501162686959809, -1.124188843122576, -0.020376099841731832]",55.32048119781022,0.005655432319693596
"[0.41590135978457216, 0.8803896262228204, -0.6426779493780292, 0.5598875629751946]",38.26229801514754,0.00754057642625813
"[0.3994885588688576, 0.9675468453948444, -0.6536646494818565, 0.45361348046417055]",38.27439390938497,0.008168957795112973
"[0.40620177571897353, 0.9450220654009138, -0.640987772325093, 0.4370403217039167]",38.15250321809168,0.008797339163967818
"[0.41033146920041585, 0.8052439985365171, -0.5353417056660797, 0.44770081941937073]",37.7389532776062,0.009425720532822661
"[0.28354337993981493, 0.608514573565068, -0.22891466408218655, 0.12793320091153385]",37.1724594450303,0.010054101901677506
"[0.08796150149728899, 0.5500268681014379, -0.2983657766899178, -0.3404547292596895]",37.83667240293088,0.011310864639387193
"[-0.0910074853192192, 0.6140013165387379, -0.5509347678412283, -0.5732246064080938]",37.77813885414525,0.011939246008242038
"[0.10565890321548461, 0.5498482749240509, -0.09428462652854697, -0.0796169017073093]",52.77743113583919,0.01508115285251626
"[-0.17057983138584387, 0.7023594181697916, -0.7847687657259662, -0.5539572222837342]",52.9123268758598,0.015709534221371103
"[0.37244740787264063, 0.7054875268099405, -0.38892206540401136, 0.3222612220049636]",95.73621517397379,0.016337915590225946
"[0.04649944187779454, 0.5543562037010383, -0.5297453080186055, -0.45940224055995504]",56.641418521626655,0.021993347909919542
"[-0.12718982007369792, 0.6460599845593229, -0.7639465448979906, -0.5667533943490529]",40.649375747222656,0.022621729278774386
"[-0.08061759801560608, 0.6064540585109773, -0.8948357974806734, -0.4799434103996377]",34.88263243643665,0.023250110647629232
"[0.1048142853824857, 0.5498342864894374, -0.5025710031061997, -0.384960720645789]",52.72113349003097,0.023878492016484076
"[0.39257297805936153, 0.9860297891604589, -0.7141645445593277, 0.2055668496905688]",37.37280463833925,0.028905542967322825
"[0.1729906075396401, 0.5583366467409054, -0.7564769377840515, -0.251827293672375]",35.89299933042002,0.031419068442742205
"[-0.033142835613228054, 0.5791927255121226, -0.7672370109127388, -0.5062020849860133]",35.80546924574753,0.032047449811597045
"[0.1588595666551849, 0.5553236956894168, -0.08194990875927198, 0.13290640576849633]",44.041056392443245,0.03267583118045189
"[0.06882854308341699, 0.5513377169047334, -0.8957535726748929, -0.2960547248017692]",40.810540829827794,0.03393259391816158
"[-0.21209686291324775, 0.8150788812366595, -1.0917664612543403, -0.26406152804990535]",78.42938647883365,0.03518935665587127
"[0.4117599014321896, 0.8130559422146668, -0.548048454305437, 0.4702734740480402]",71.90803890268222,0.037702882131290645
"[-0.10947025848476696, 0.6291241357204501, -0.8070760572122243, -0.5470435583706584]",49.84658476949642,0.03895964486900034
"[0.24778594113308203, 0.5864555277187045, -0.7155931709073351, -0.1661776105820604]",35.88193164177557,0.03958802623785518
"[0.412204420932489, 0.9163085973008622, -0.7064302653369829, 0.6141966213292006]",63.33847661485449,0.040844788975564865
"[0.3515625814949811, 1.0576402977556068, -0.7616502576226242, 0.5878226850016929]",37.692218182662124,0.04147317034441971
"[0.41517980239122465, 0.8917487815686829, -0.613333133153129, 0.37349484678478695]",40.84743102894551,0.04461507718869393
"[0.05766904416113491, 0.552643703333104, -0.7917824170127766, -0.386298843883634]",44.33141374989176,0.04524345855754877
"[-0.18234738448985452, 0.7236176986848222, -1.0054112302285725, 0.054734136614297865]",32.32706060625869,0.047128602664113305
"[-0.21310929849552948, 0.8217245325104153, -0.9947240657981962, 0.0030545656107835244]",32.006846961569394,0.04775698403296815
"[-0.2110310968128672, 0.9231188080916354, -0.9828126638967885, 0.029173761030542738]",31.60818685943308,0.048385365401823
"[-0.15166410535847247, 1.0575069383357374, -0.9361437618749111, 0.14480144544733428]",31.09283035727677,0.049013746770677845
"[-0.050018687929164404, 1.14440355176307, -0.8793365059702372, 0.2540934331491558]",30.75506330849485,0.049642128139532685
"[0.02938670162834928, 1.1742684281873872, -0.8456965126256686, 0.319785691012392]",30.589000901151117,0.05027050950838753
"[0.09109739627559138, 1.1821278296639728, -0.8238106760359203, 0.36744684409066136]",30.486124260443848,0.05089889087724238
"[0.14158337893969666, 1.179507177729844, -0.8081925902412765, 0.4064604896880918]",30.413395974075662,0.051527272246097225
"[0.1842951733386269, 1.170811105141671, -0.7965504444915036, 0.4405566189281112]",30.358440434263432,0.05215565361495206
"[0.22121873549311724, 1.1580973438359443, -0.7877924604592337, 0.4715619641158656]",30.31548442008458,0.052784034983806905
