u,t,theta
"[4.730339063114242, -5.188244540576685, -0.19122840677339523, 0.5113031301823956]",46.87384103795627,0.0
"[4.7205043080533375, -5.174678047466121, -0.19148878720591314, 0.5121328661353459]",46.857732622280835,0.003143164235707647
"[4.711120362829574, -5.152038217636712, -0.19148849943241206, 0.5121319510757051]",46.84365728316131,0.006286328471415294
"[4.702181609373845, -5.120690517939564, -0.19123627644896626, 0.5113282603672153]",46.83157121523674,0.009429492707122941
"[4.693728922490301, -5.080900769856216, -0.19074266199273568, 0.5097456045744038]",46.821455315033575,0.012572656942830588
"[4.685844944838248, -5.0328426119463305, -0.1900197906570981, 0.5074039802422649]",46.81331493291758,0.015715821178538234
"[4.6786494455807235, -4.976598076631177, -0.18908118863652126, 0.5043196749649299]",46.80717871579549,0.018858985414245882
"[4.6722964240825755, -4.912160124670007, -0.18794169313729858, 0.5005055643991203]",46.803099492325025,0.02200214964995353
"[4.6669708946793005, -4.839424223990507, -0.18661728620084636, 0.49597094111505885]",46.801154741562016,0.025145313885661175
"[4.662887258280381, -4.7581869875194425, -0.18512515067012314, 0.49072190568694934]",46.80144919946089,0.02828847812136882
"[4.660286883900386, -4.668129872730074, -0.18348357157911127, 0.4847610545807734]",46.80411744561039,0.03143164235707647
"[4.659436215490517, -4.568809767836963, -0.18171208776113754, 0.47808785897190653]",46.8093282105578,0.03457480659278411
"[4.660623712703772, -4.45963137012666, -0.1798314620606506, 0.4706981966558961]",46.817289954534665,0.037717970828491765
"[4.664155479231249, -4.339827136453263, -0.17786396400447674, 0.46258484800242905]",46.82825806352765,0.04086113506419941
"[4.670347933792235, -4.208415178599966, -0.1758334773368739, 0.45373712845828906]",46.84254465812059,0.04400429929990706
"[4.679515726643755, -4.064151427871677, -0.1737657849434934, 0.4441409730860471]",46.86053123733728,0.047147463535614706
"[4.69195139992024, -3.9054655196798165, -0.17168891531357358, 0.43377907451448444]",46.882685571850224,0.05029062777132235
"[4.707891160466097, -3.73037780522411, -0.16963358940817733, 0.4226313209165552]",46.909583542211344,0.05343379200703
"[4.727458098502303, -3.536385997211346, -0.16763370640363348, 0.41067536776338803]",46.94193876650142,0.05657695624273764
"[4.750567841004628, -3.3203135715464422, -0.16572689536897614, 0.3978876862076156]",46.98064303169371,0.05972012047844529
"[4.776768640995973, -3.0781304974764985, -0.16395526143286374, 0.3842467519756293]",47.026817833641374,0.06286328471415294
"[4.8049765361363646, -2.804696299422963, -0.1623658388557806, 0.36973676709178205]",47.08188923146153,0.06600644894986059
"[4.833022699913386, -2.4935088751650025, -0.16101108611143403, 0.35435818131680713]",47.1476786471551,0.06914961318556823
"[4.85689719186912, -2.136422342774825, -0.15994819332130786, 0.33814410655139865]",47.226529201680016,0.07229277742127588
"[4.869482659665482, -1.7236175127516247, -0.15923640190091284, 0.3211968586467875]",47.32144094841646,0.07543594165698353
"[4.858533810953238, -1.24426091389503, -0.15892861844315972, 0.30375980850975354]",47.43618302969658,0.07857910589269117
"[4.80381288286839, -0.689239243806667, -0.1590500115912552, 0.2863693421547178]",47.575201852525495,0.08172227012839882
"[4.67445922169685, -0.05877071139056207, -0.1595483095792308, 0.2701651987878735]",47.74286704636673,0.08486543436410646
"[4.431724065622043, 0.6211151871538328, -0.16019926588491762, 0.25746221611500136]",47.94104933434851,0.08800859859981412
"[4.048644199854895, 1.2775574394202396, -0.16051950673571455, 0.25244551304580515]",48.164476150886195,0.09115176283552176
"[3.5459914663271754, 1.799467421384391, -0.15999445291672193, 0.2610090213404644]",48.39845948992935,0.09429492707122941
"[2.992482027519182, 2.105763175325186, -0.15900549492691834, 0.2889162966881742]",48.62908318209801,0.09743809130693705
"[2.444904737582225, 2.1911994481585966, -0.16012140180966283, 0.3412254775108458]",48.85917262385767,0.1005812555426447
"[1.9123462187612903, 2.0835434637124766, -0.17039042299322388, 0.4268541426190309]",49.114463385836814,0.10372441977835235
"[1.3614097180568006, 1.7771801100334734, -0.21420207632941485, 0.5740918637710067]",49.46449816737391,0.10686758401406
"[0.6772554335119969, 0.8850119193013593, -0.6859572306871199, 0.9837948910582734]",50.55605028937201,0.11001074824976764
"[2.042091863446656, -0.2746253311234345, -0.20870492813553596, 0.5606334443096302]",52.12451600043934,0.11629707672118293
"[2.9241919067926845, -1.9687512800852176, -0.23756685967940366, 0.6240985318408313]",52.49752898035914,0.11944024095689058
"[0.06025720594792654, 0.31980571384524065, -1.5724240784978571, 0.33163719904080474]",47.11434109512853,0.12258340519259824
"[0.427166427702904, -0.08360762650744598, -0.6985184925314442, 0.9869799376128023]",46.80751964755778,0.12572656942830587
"[3.8710641117702855, -1.07380999253422, -0.16216730820959074, 0.3677036283647371]",55.18724743670602,0.12886973366401352
"[3.684387867946157, -0.41994244393383245, -0.16066136981057882, 0.3496143081794523]",51.80150638965489,0.13201289789972118
"[3.5743820391986256, 2.2085455226114026, -0.16125705262968565, 0.24254069952903481]",55.82112631333961,0.16344454025679764
"[3.595378155474139, 2.108847769582476, -0.16103424123635815, 0.24534233147025364]",59.308782634315165,0.1665877044925053
"[0.30552345810884257, 0.06181769212197913, -0.9048878726042089, 1.0060380361688988]",50.48982791855597,0.1728740329639206
"[0.7490031416600206, 1.1244101394945392, -0.4870633648296178, 0.8969822217044707]",53.82263370312091,0.17601719719962824
"[2.4407184138491425, 2.3682931171359054, -0.15973828423535988, 0.33403681476087616]",52.568547006378196,0.17916036143533587
"[2.5750245882483482, 2.45055556820226, -0.15906972752938073, 0.31461751725687187]",52.63187896783925,0.18230352567104352
"[0.8480230081559185, 1.3164308816665877, -0.3859336797790312, 0.8191453905617582]",53.94254374133669,0.18544668990675117
"[2.998681482027162, -0.3801904451670528, -0.1684547085844122, 0.4157373111755868]",61.99805237801471,0.18858985414245882
"[4.923197590747278, -4.298415833740484, -0.17055649831671782, 0.4277615025253366]",55.68084106446075,0.19173301837816648
"[3.045539349487947, -1.1010995546396076, -0.17961578455032878, 0.4698288391966647]",57.785418154809285,0.3457480659278412
"[-0.817712531116831, 0.7195256855618641, -0.5556736024409539, -0.33535955128010414]",50.9020639282196,0.3520343943992565
"[5.022170205179138, -6.053134880534087, -0.41299757521921276, 0.8429233707858584]",47.3916939319606,0.3551775586349641
"[6.413439516161502, -6.228626070667548, -0.6877148347871735, 0.9842553185645498]",46.94550706887459,0.36460705134208704
"[5.231262702363198, -5.688015760304085, -0.5177846928027616, 0.9154091380658753]",46.794171459583886,0.37089337981350234
"[4.759513437671981, -5.353911261291389, -0.44261588645087974, 0.8663253310875034]",46.76208878131347,0.37403654404921
"[4.386314229089082, -4.996397487749193, -0.3786686936170683, 0.8123313742636126]",46.75564595510966,0.37717970828491765
"[4.102214541110016, -4.621617010020702, -0.3252176870152193, 0.7555513291418039]",46.77363770464885,0.3803228725206253
"[3.8967683245770073, -4.228627647284958, -0.28098747455305695, 0.6971531459785503]",46.8166226874836,0.38346603675633295
"[3.761616904612767, -3.809657662104246, -0.24476325032915758, 0.6376882240826777]",46.88730893044065,0.38660920099204055
"[3.6905497822900664, -3.348539780045389, -0.21557821701765234, 0.5773417697123521]",46.99135603131527,0.3897523652277482
"[3.677233765310933, -2.8160747788963203, -0.19276527122870823, 0.5161499338677781]",47.13909370384874,0.3928955294634559
"[3.7072733557437183, -2.1600514673816007, -0.17597007273443704, 0.4543490851591774]",47.34918093064774,0.3960386936991635
"[3.730491006400554, -1.2893295015213064, -0.16513369544836218, 0.3935457812289779]",47.65614313949875,0.39918185793487115
"[3.5695072960630725, -0.09422572801905696, -0.16019112451984, 0.34240247887829967]",48.11975785198446,0.4023250221705788
"[2.8481735691252834, 1.1726693947360372, -0.16016053667358507, 0.3418902062369863]",48.77147990066159,0.40546818640628646
"[1.7033239789524381, 1.5921049800689353, -0.18430958641926287, 0.48778590030705427]",49.52108731633933,0.40861135064199405
"[2.9854200090714573, -1.3384666294778311, -0.18952284640006406, 0.5057772821581694]",53.26567056847848,0.418040843349117
"[0.2045725347482812, 0.08854963798561581, -1.1901445171047649, 0.9284479297288281]",47.257733480606475,0.4211840075848247
"[0.1244540344018913, 0.5980006373440258, -0.8159737764869833, -0.40533313732227116]",56.252535736745855,0.4431861572347783
"[0.7054888660878067, 0.9541902522754828, -0.5735410383259012, 0.9437801612059188]",54.304154874469916,0.4494724857061935
"[3.8865191503337813, -1.6017957591961531, -0.16539412210771137, 0.3954767360985204]",51.20589253856501,0.4526156499419011
"[3.8465010097246295, -3.922967433490028, -0.23396236266602774, 0.6170115329954888]",50.588296147797365,0.45575881417760883
"[4.360940405973821, -5.078626930376559, -0.3502063275110809, 0.7836638094301718]",50.48211418011614,0.4589019784133164
"[-0.37763008694560396, 0.6025896616606642, -1.3089650025885502, -0.25118464402707663]",41.927978363910675,0.46518830688473173
"[-0.3031440857989925, 0.5619806198037332, -1.3842934469108379, -0.18103870475662825]",42.088443664054545,0.4683314711204394
"[-0.24500530298334627, 0.5285024796660288, -1.4441533464093432, -0.10714626604734513]",42.20912297795998,0.4714746353561471
"[-0.19436560711319392, 0.49870808071441414, -1.4920506147378407, -0.028774140179476305]",42.31097691071862,0.4746177995918547
"[-0.1495713727608107, 0.47180123849239963, -1.5274671262474793, 0.05001030464211534]",42.40101522555456,0.47776096382756233
"[-0.1107258589362048, 0.44786495565374607, -1.5505845868823915, 0.12285959005277529]",42.482621202585214,0.48090412806326993
"[-0.07833676466567231, 0.42741098390917587, -1.563389719582438, 0.18302559659653508]",42.55785066152187,0.48404729229897764
"[-0.05268459389837786, 0.4110646408224298, -1.5691700763593437, 0.2252499536486044]",42.6283209030105,0.48719045653468523
"[-0.033534470617806456, 0.3993055440716117, -1.5711321357094612, 0.24685400679242528]",42.69563362332926,0.49033362077039294
"[-0.020149170297325363, 0.39235315540988375, -1.5711898301586154, 0.24762508447364148]",42.761512005634366,0.49347678500610054
"[-0.011489927861131462, 0.390217995967901, -1.5695558627660156, 0.22897258779050705]",42.82777715761288,0.4966199492418082
"[-0.006449370847184066, 0.3928490006329559, -1.5649993024379132, 0.19306315414612665]",42.896282027278446,0.4997631134775159
"[-0.00401252713712447, 0.40029365950783496, -1.5553205757989979, 0.14229088219945696]",42.96891443510268,0.5029062777132235
"[-0.0033344893304909366, 0.41284069398286477, -1.5377365230028384, 0.07908333625919717]",43.04769103532962,0.5060494419489312
"[-0.003767178003383249, 0.43116824173895296, -1.5090697052456457, 0.005901332273868352]",43.13499230291277,0.5091926061846388
"[-0.004886385873627708, 0.4565571619352325, -1.4657224501697332, -0.07465110777462779]",43.23399100247793,0.5123357704203465
"[-0.00659433931526759, 0.49129160974632574, -1.4033686628118187, -0.15963270333805366]",43.349509675937036,0.5154789346560541
"[-0.009502484952184453, 0.5395419443989766, -1.3160924959533895, -0.24538024583458265]",43.48999275058929,0.5186220988917617
"[-0.016456983789018192, 0.6096515099192003, -1.193975680329421, -0.3264571941594033]",43.67313414248057,0.5217652631274694
"[-0.040840030526407084, 0.7214896062562609, -1.0147328460524825, -0.3912930613090962]",43.94835053920039,0.524908427363177
"[-0.199189304327605, 0.9205726362537904, -0.71309972605867, -0.39037217288366716]",44.55309581732093,0.5280515915988847
"[-0.8561658042852052, 0.674826327486129, -0.5748123285966276, -0.34435622511128144]",45.84456566129761,0.5311947558345923
"[0.32339229897961413, -0.23151968684179716, -0.4978694062851072, 0.9037061880627661]",48.341075584036034,0.5343379200703
"[1.898204069240352, 1.3401853644524682, -0.17645447047670343, 0.4564989710416686]",50.72223694742997,0.5406242485417153
"[3.064291966840772, -0.7205672066969829, -0.17167518789126354, 0.4337078071359437]",49.24979655238658,0.5437674127774229
"[2.9960203000030114, -1.6824982050818105, -0.20346454985689336, 0.5470083295008537]",48.67929848964658,0.5469105770131306
