u,t,theta
"[-9.27256490271949, 18.749933067659356, -0.3969136322771123, 0.6290880322151047]",76.54736927013857,3.077157786757786
"[-9.970896558770086, 23.542516842244922, -0.258490936343894, 0.46180363579119443]",66.64503689232305,3.372615224914305
"[-10.553770073234901, 24.236626714107913, -0.27305811141261677, 0.4852139537675429]",66.40772383814085,3.4826259731640725
"[-10.585748718954399, 24.269431945039965, -0.27400399814805737, 0.4866660772143301]",66.35635672562793,3.5109144512854416
"[-10.589232636649992, 24.271442718227554, -0.27416707438888144, 0.4869156470409139]",66.33450840709489,3.523487108228272
"[-10.576709355678856, 24.252247168491056, -0.27404403636303887, 0.48672737248077436]",66.28734071229331,3.551775586349641
"[-10.559189058570153, 24.229275197125443, -0.27372087906134845, 0.4862322487733831]",66.2622343881739,3.5674914075281796
"[-10.540485237748246, 24.20541293343406, -0.27334899931286805, 0.4856613534989525]",66.24267081557788,3.58006406447101
"[-10.5118873545378, 24.169441224466578, -0.2727577381256937, 0.48475118828122454]",66.21883047288722,3.595779885649548
"[-10.447842030770454, 24.089717541342832, -0.2713882904523959, 0.48263128916507164]",66.17751520369187,3.6240683637709172
"[-10.40633293341542, 24.0382422351004, -0.27048320150655136, 0.48122104520343356]",66.15538504457022,3.639784184949455
"[-10.370527288452326, 23.993846294937722, -0.2696957450616565, 0.4799880762965695]",66.13807560343436,3.6523568418922854
"[-10.322904848370174, 23.934734633275475, -0.26864140225581795, 0.4783283689041069]",66.1169071736067,3.668072663070824
"[-10.107779339229849, 23.665603625760017, -0.2638199448097603, 0.47060570041634464]",66.0369394033792,3.7309359477849764
"[-10.061148889067674, 23.606661612444224, -0.2627669271358112, 0.46888915727027486]",66.02176613606852,3.7435086047278077
"[-9.989525726087058, 23.515637573818573, -0.26114596127910966, 0.4662251493745781]",65.9994724304527,3.7623675901420537
"[-9.92850764679291, 23.43759662429793, -0.25976219823265695, 0.46392983608666666]",65.9813033466442,3.7780834113205914
"[-9.8789380370385, 23.373847363500754, -0.25863648032784425, 0.4620479190138096]",65.96702464643299,3.7906560682634227
"[-9.701161786818325, 23.142472512666817, -0.2545902697989315, 0.45517189771731]",65.91873892883928,3.834660367563329
"[-9.688248952831362, 23.125491853053525, -0.2542959357324738, 0.454664711970124]",65.91538579162348,3.837803531799037
"[-9.662349694778909, 23.09135984264922, -0.25370544475285206, 0.45364426726804974]",65.90871629831801,3.844089860270452
"[-9.649364353646808, 23.074209338033846, -0.2534093153165199, 0.45313103538242905]",65.90539976493822,3.8472330245061594
"[-9.518325110685739, 22.899701968137066, -0.250418736266179, 0.4478914067738086]",65.87288338397207,3.878664666863236
