u,t,theta
"[0.2691575021052115, -0.5001016316611565, 1.229556938909016, 0.1121107144322833]",52.329796311044014,0.0
"[0.09421468519961894, -0.2951650080022762, 1.8644780835376447, 0.319406320021759]",51.5816587631663,0.0006283813688548441
"[0.09512585100307806, 2.3023174047202475, -0.5389282039885291, 0.4839747180609389]",66.10472775154038,0.0031419068442742207
"[0.09667197839936112, -0.2941509809115662, 1.8628749778260199, 0.3106013908841415]",51.49443577578814,0.003770288213129065
"[0.20008183180488778, -0.40655161938046186, 1.4565876792401413, 0.15498423310832485]",51.90119642725216,0.004398669581983909
"[0.16385037385341575, -0.8731195776671727, 0.708569092150926, 0.18968272997485727]",53.58578996353192,0.005027050950838753
"[0.44542918268384213, 0.5584673977861625, -0.22333969201641235, 0.712947582449012]",56.979364753435895,0.005655432319693596
"[0.22655178926685385, 1.9061488034370984, -0.5659482510899522, 0.1355841945089623]",57.00702219615369,0.006283813688548441
"[0.08377280574281253, 2.0028375122629605, -0.5899696566000712, 0.3993986579781453]",55.991190148105495,0.006912195057403285
"[0.08425850169746359, 1.5587119231320656, -0.7364523835819868, 0.4175301525854775]",55.3689645138482,0.00754057642625813
"[0.6572604414253362, 1.2693655281041176, -0.5619440369917229, 0.5838941686884911]",55.73369520185313,0.008168957795112973
"[0.66461725929361, 1.0507826055499576, -0.6054315074230348, 0.573140711803834]",55.745300361712616,0.008797339163967818
"[0.6718093771794239, 1.0237619449878228, -0.609153688079365, 0.5616157865968376]",55.7083521372977,0.009425720532822661
"[0.6781591382260362, 1.1873372150889818, -0.5734290084929612, 0.5504243790791449]",55.486289254839434,0.010054101901677506
"[0.08944722344056916, 1.4357780628441112, -0.7570236988178953, 0.3403596363925351]",54.70217873036687,0.01068248327053235
"[0.2212679674548443, 0.6600697070371474, -0.871305388164632, 0.6608732652884909]",48.32207485462995,0.011310864639387193
"[0.33991483269461203, 0.66178000936043, -0.7065501464817231, 0.7104670234821824]",48.37962636517424,0.011939246008242038
"[0.4697392700022562, 0.6539379156010426, -0.5435987168388048, 0.7084419462711791]",48.47686544561059,0.012567627377096883
"[0.6516935382533142, 0.61105633639948, -0.39705868991254656, 0.5914428447383916]",48.75758431131384,0.013196008745951726
"[0.634805876572569, -0.2733589192852854, -0.16168570130280854, 0.18818356927048369]",50.025440461982264,0.01382439011480657
"[0.09722602932587651, 4.744694924267034, -0.28634013126702673, 0.4912574527489459]",55.62629600757256,0.014452771483661413
"[0.6478633889442316, -1.6231878960160901, 0.5858643295222268, 0.20362347283577123]",51.890775762245354,0.015709534221371103
"[0.08973791713983194, 4.202247758901346, -0.31719400914704166, 0.46113460508810317]",59.10634447698489,0.016337915590225946
"[0.7154150777844054, -0.08130617169538865, -0.7618267553200995, 0.42265675851174767]",51.75708327791431,0.01696629695908079
"[0.08742568542162084, 1.556043481205224, -0.7126641014987738, 0.35206986474193286]",59.55341341016835,0.017594678327935636
"[0.11174480146396035, 3.689464921921374, -0.3383918697986238, 0.2699656179429685]",60.424454161364615,0.01822305969679048
"[0.11809492275368122, 5.048967655470223, -0.27292754215390985, 0.5432812877620554]",60.19759192241201,0.018851441065645323
"[0.5878113515131344, -0.2205789787892283, -0.3306143448515758, 0.14558518863312364]",54.57486791245484,0.01947982243450017
"[0.256159816055865, 5.23859365321443, -0.2588175504451312, 0.6816203144003021]",57.78622728129132,0.020736585172209856
"[0.100378340164036, 2.2817232615869756, -0.5455463983381839, 0.5011279435030699]",59.64283020288851,0.0213649665410647
"[0.10016807658456371, 4.020198226938899, -0.31637952370180594, 0.2994971756565227]",54.50422993659618,0.021993347909919542
"[0.12653455157427687, 5.121495318790993, -0.26983541653500337, 0.5587975079065229]",54.283686335815084,0.022621729278774386
"[0.18103784100408404, 3.240418925409428, -0.3704596245368656, 0.1718430958137481]",54.59080219868052,0.023250110647629232
"[0.6785458044735357, -0.3238965049005658, -0.01713366265057833, 0.25029283647669565]",48.651455576984674,0.023878492016484076
"[0.5040762325001504, -0.0042962837326854, -0.8122536815925925, 0.10138965552315736]",48.563452534946066,0.024506873385338922
"[0.6154495260287015, 0.5875162245562847, -0.33373389039165746, 0.6314767844385453]",47.26357015378816,0.025135254754193766
"[0.5419962122937187, 0.6147329930770344, -0.39534795924296495, 0.6825545534834608]",47.16457352040282,0.025763636123048612
"[0.481462086435807, 0.6329732888143005, -0.4596881341905799, 0.7055551152795945]",47.1028559044864,0.026392017491903452
"[0.42679728198009065, 0.6464380950967841, -0.5235843416388498, 0.7150903135269012]",47.0546793235544,0.0270203988607583
"[0.3759454406188036, 0.6566114095365126, -0.5862474972932381, 0.7153115573095554]",47.014188462189765,0.02764878022961314
"[0.32788761023272905, 0.6644535052224442, -0.6473140485961658, 0.7078957668465962]",46.97931644681935,0.028277161598467986
"[0.2818864966761675, 0.6708490095011539, -0.7065184051079654, 0.6933414398488097]",46.949576570196236,0.028905542967322825
"[0.2371593155997109, 0.6769085098204636, -0.7635245957243141, 0.6710773164690242]",46.92577082528602,0.029533924336177672
"[0.19245729051436586, 0.6846064676993565, -0.817645902565385, 0.6385917511972333]",46.911038165291664,0.03016230570503252
"[0.14450611809967304, 0.6998076903825209, -0.866536950060833, 0.5863407532224305]",46.91769279482238,0.030790687073887362
"[0.11734165547683598, 1.8508419537132723, -0.5958675233737093, 0.2582105071895976]",53.732370525570296,0.031419068442742205
"[0.10157265384210637, 1.8339514485521193, -0.6085017400594539, 0.2954001956732782]",53.63017422046472,0.032047449811597045
