u,t,theta
"[0.5002251636406148, 1.1822434325636815, -0.8635438165975354, 0.054403820414956824]",29.994931225252667,0.0
"[0.5004252513908558, 1.1822438309652872, -0.8635951134171377, 0.05442448666262215]",29.995395519083687,0.0006283813688548441
"[0.5006254381121545, 1.1822442213345878, -0.8636464487228933, 0.05444516288916006]",29.995859829208587,0.0012567627377096883
"[0.5008257185224568, 1.1822446036430292, -0.8636978211775502, 0.054465848559126694]",29.996324160251376,0.0018851441065645324
"[0.5010260982329895, 1.1822449778830213, -0.8637492322376996, 0.054486544262208315]",29.99678850500021,0.0025135254754193766
"[0.5012265757699199, 1.1822453440332272, -0.8638006815429062, 0.05450724985634669]",29.99725286999231,0.0031419068442742207
"[0.5014271504321017, 1.1822457020738908, -0.8638521689307227, 0.05452796527932268]",29.997717253157713,0.003770288213129065
"[0.5016278202432536, 1.18224605198315, -0.863903693911067, 0.05454869033725197]",29.99818165391764,0.004398669581983909
"[0.5018285897739174, 1.1822463937504497, -0.8639552576749774, 0.05456942551243283]",29.99864607153801,0.005027050950838753
"[0.5020294565452582, 1.1822467273528323, -0.8640068596035102, 0.054590170559179634]",29.99911050398643,0.005655432319693596
"[0.5022304196457598, 1.1822470527704871, -0.8640584994798365, 0.05461092539351738]",29.99957495451217,0.006283813688548441
"[0.5024314810207675, 1.1822473699877847, -0.8641101778213156, 0.05463169022684469]",30.00003942252549,0.006912195057403285
"[0.5026326400555652, 1.1822476789851264, -0.8641618944875332, 0.05465246500599531]",30.00050390964691,0.00754057642625813
"[0.5028338976760487, 1.1822479797452015, -0.8642136497341526, 0.05467324983698526]",30.000968407156503,0.008168957795112973
"[0.5030352519927164, 1.1822482722464833, -0.8642654430927986, 0.054694044535102994]",30.00143292542823,0.008797339163967818
"[0.5032367052186507, 1.1822485564734178, -0.8643172751502939, 0.054714849339373206]",30.001897457886546,0.009425720532822661
"[0.5034382560218565, 1.1822488324053506, -0.8643691455815702, 0.054735664122677406]",30.002362009396816,0.010054101901677506
"[0.5036399051532903, 1.1822491000244268, -0.8644210545974886, 0.05475648897313041]",30.00282657444395,0.01068248327053235
"[0.5038416502881343, 1.1822493593088588, -0.8644730016170198, 0.05477732366115184]",30.0032911595673,0.011310864639387193
"[0.5040434948203097, 1.1822496102441387, -0.8645249875316036, 0.054798168547833204]",30.003755759473343,0.011939246008242038
"[0.5042454390933484, 1.1822498528116052, -0.8645770124476286, 0.05481902367924158]",30.00422037379552,0.012567627377096883
"[0.5044474800024402, 1.1822500869885704, -0.8646290755828724, 0.05483988874537095]",30.00468500418651,0.013196008745951726
"[0.5046496161375764, 1.182250312754687, -0.864681176591191, 0.05486076361128136]",30.005149654057668,0.01382439011480657
"[0.5048518552798458, 1.182250530099572, -0.8647333174959935, 0.054881649091187534]",30.005614315140658,0.014452771483661413
"[0.5050541895146867, 1.1822507389955283, -0.8647854962745801, 0.05490254437849735]",30.006078996822758,0.01508115285251626
"[0.5052566221340233, 1.182250939427094, -0.8648377137932366, 0.054923449823908156]",30.006543694069613,0.015709534221371103
"[0.5054591553231766, 1.1822511313771813, -0.8648899706335641, 0.05494436566388022]",30.007008402820983,0.016337915590225946
"[0.5056617857164156, 1.1822513148233984, -0.8649422659449288, 0.054965291561637424]",30.00747313242255,0.01696629695908079
"[0.5058645149751787, 1.1822514897481287, -0.8649946001737305, 0.05498622769959623]",30.00793787147538,0.017594678327935636
"[0.5060673417222701, 1.1822516561310217, -0.865046972982088, 0.055007173946396655]",30.008402630400056,0.01822305969679048
"[0.5062702686850121, 1.182251813955032, -0.8650993850920097, 0.05502813059459409]",30.00886740171407,0.018851441065645323
"[0.5064732917055497, 1.1822519631977069, -0.8651518354472352, 0.05504909722573061]",30.00933219462687,0.01947982243450017
"[0.5066764149247254, 1.1822521038428608, -0.8652043251351677, 0.05507007427838816]",30.00979699443589,0.020108203803355013
"[0.5068796368534194, 1.1822522358700545, -0.8652568537888914, 0.05509106160974918]",30.01026181361616,0.020736585172209856
"[0.50708295677443, 1.182252359259361, -0.8653094212407144, 0.05511205915686819]",30.01072664726161,0.0213649665410647
"[0.5072863767859942, 1.1822524739929132, -0.8653620280509092, 0.055133067147260365]",30.011191493775073,0.021993347909919542
"[0.5074898964453305, 1.1822525800506087, -0.8654146741229742, 0.055154085546490636]",30.011656355951807,0.022621729278774386
"[0.5076935138660809, 1.182252677412077, -0.8654673589866905, 0.05517511417080716]",30.01212123441522,0.023250110647629232
"[0.5078972305862243, 1.18225276605874, -0.8655200830576991, 0.05519615319007844]",30.012586126248973,0.023878492016484076
"[0.5081010453272544, 1.1822528459703943, -0.8655728460228629, 0.0552172024835458]",30.013051034848175,0.024506873385338922
"[0.5083049609178658, 1.1822529171285643, -0.8656256486323545, 0.05523826235451763]",30.013515956509853,0.025135254754193766
"[0.5085089722976892, 1.182252979512021, -0.8656784895934899, 0.05525933229156632]",30.01398089537159,0.025763636123048612
"[0.5087130851941526, 1.1822530331028975, -0.8657313704074717, 0.05528041289750127]",30.014445843893796,0.026392017491903452
"[0.5089172985927363, 1.182253077880999, -0.8657842908296698, 0.05530150407885124]",30.014910810470305,0.0270203988607583
"[0.5091216100636092, 1.1822531138261836, -0.8658372502482643, 0.05532260559590539]",30.015375788206136,0.02764878022961314
"[0.5093260192430474, 1.1822531409187131, -0.8658902485865716, 0.055343717422531316]",30.01584078349833,0.028277161598467986
"[0.5095305305738552, 1.182253159139397, -0.8659432870144872, 0.055364840028920774]",30.01630578861882,0.028905542967322825
"[0.5097351375600215, 1.1822531684678728, -0.8659963638651128, 0.055385972755582866]",30.016770812228504,0.029533924336177672
"[0.5099398478332874, 1.1822531688846603, -0.8660494811360869, 0.05540711640218735]",30.017235848548285,0.03016230570503252
"[0.5101446564087102, 1.1822531603696953, -0.8661026375521057, 0.055428270465344286]",30.017700896988362,0.030790687073887362
"[0.5103495623661662, 1.1822531429033327, -0.8661558328919329, 0.05544943486151016]",30.018165959433553,0.031419068442742205
"[0.5105545710764164, 1.1822531164650916, -0.8662090685678856, 0.055470610156971654]",30.01863103648209,0.032047449811597045
"[0.5107596785569632, 1.1822530810353908, -0.8662623435639626, 0.05549179595192417]",30.019096123344355,0.03267583118045189
"[0.510964884457777, 1.1822530365944146, -0.8663156578069727, 0.055512992221810234]",30.019561230515585,0.03330421254930674
"[0.5111701905258953, 1.182252983121776, -0.866369011768678, 0.055534199158727135]",30.020026349386665,0.03393259391816158
"[0.5113755965166524, 1.182252920597435, -0.8664224054035105, 0.05555541674905342]",30.02049147901514,0.034560975287016425
"[0.5115811033642554, 1.1822528490009174, -0.8664758389723923, 0.05557664510098253]",30.02095662147341,0.03518935665587127
"[0.5117867095052502, 1.1822527683125723, -0.8665293120868361, 0.05559788406475208]",30.021421779027698,0.03581773802472612
"[0.5119924158816546, 1.1822526785119025, -0.8665828250097921, 0.05561913374939597]",30.021886948988122,0.03644611939358096
"[0.5121982219402827, 1.1822525795789574, -0.8666363776153482, 0.05564039410953762]",30.022352132799806,0.037074500762435805
"[0.5124041283893356, 1.182252471493076, -0.8666899701058044, 0.05566166523020053]",30.022817327973613,0.037702882131290645
"[0.5126101326522385, 1.1822523542354866, -0.8667436018283621, 0.05568294685702768]",30.02328253693926,0.03833126350014549
"[0.5128162401545843, 1.1822522277827034, -0.8667972742136479, 0.055704239562417025]",30.02374775856386,0.03895964486900034
"[0.5130224482893164, 1.1822520921157769, -0.8668509866011482, 0.05572554308892618]",30.024212991550264,0.03958802623785518
"[0.5132287541066385, 1.1822519472163773, -0.8669047382403483, 0.055746857143758974]",30.024678239748194,0.040216407606710025
"[0.5134351598558852, 1.1822517930626901, -0.8669585297350625, 0.0557681819712672]",30.025143499713497,0.040844788975564865
"[0.5136416664149127, 1.1822516296335908, -0.8670123613321481, 0.05578951767415297]",30.025608774434755,0.04147317034441971
"[0.5138482747616844, 1.1822514569076894, -0.867066233304802, 0.05581086436549633]",30.026074056871796,0.04210155171327455
"[0.5140549839064565, 1.1822512748651675, -0.8671201454132184, 0.055832221955110097]",30.026539354921642,0.0427299330821294
"[0.5142617918559932, 1.182251083487301, -0.8671740971555005, 0.05585359024914646]",30.027004664865142,0.043358314450984245
"[0.5144687007183167, 1.1822508827516347, -0.8672280890995608, 0.05587496947753669]",30.027469987928946,0.043986695819839085
"[0.5146757123894846, 1.1822506726355066, -0.8672821217585446, 0.05589635984837722]",30.02793531984208,0.04461507718869393
"[0.5148828226607003, 1.182250453122523, -0.8673361940520449, 0.055917760938958845]",30.02840066547504,0.04524345855754877
"[0.5150900327201746, 1.1822502241909025, -0.8673903063081204, 0.05593917288428933]",30.028866023292473,0.04587183992640362
"[0.5152973445552702, 1.1822499858177045, -0.8674444590639225, 0.05596059590198724]",30.0293313928044,0.046500221295258465
"[0.515504756998903, 1.1822497379834347, -0.8674986520328336, 0.05598202988374579]",30.02979677447109,0.047128602664113305
"[0.5157122686597388, 1.1822494806690154, -0.8675528848693119, 0.05600347469813901]",30.030262170668166,0.04775698403296815
"[0.5159198849758458, 1.1822492138468614, -0.8676071590129627, 0.056024930919402416]",30.030727571386265,0.048385365401823
"[0.5161275997968563, 1.182248937503756, -0.8676614728743164, 0.05604639792442954]",30.031192988305968,0.049013746770677845
"[0.5163354154220717, 1.1822486516159423, -0.8677158270725256, 0.05606787596322506]",30.0316584171061,0.049642128139532685
"[0.5165433320106574, 1.1822483561622734, -0.8677702216673957, 0.05608936506468478]",30.032123857169555,0.05027050950838753
"[0.5167513516028582, 1.1822480511187259, -0.8678246572110887, 0.05611086545217771]",30.032589305897833,0.05089889087724238
"[0.5169594686839816, 1.1822477364724853, -0.8678791322785401, 0.05613237656822409]",30.033054769901856,0.051527272246097225
"[0.5171676911137919, 1.182247412190567, -0.8679336489453428, 0.05615389923777109]",30.03352024231477,0.05215565361495206
"[0.5173760120112071, 1.1822470782624581, -0.867988205428281, 0.05617543276218181]",30.033985722699633,0.052784034983806905
"[0.5175844352953226, 1.18224673466097, -0.8680428027717836, 0.056196977559083414]",30.034451219344504,0.05341241635266175
"[0.5177929597304183, 1.182246381366796, -0.8680974406705121, 0.056218533513477546]",30.03491672682053,0.0540407977215166
"[0.5180015842215792, 1.1822460183607264, -0.8681521188556872, 0.056240100524824026]",30.03538224346418,0.05466917909037143
"[0.5182103115896295, 1.1822456456166028, -0.8682068380849055, 0.05626167889744797]",30.035847772919524,0.05529756045922628
"[0.5184191398806176, 1.1822452631165759, -0.8682615978643026, 0.056283268442100416]",30.036313311286822,0.055925941828081124
"[0.518628067312428, 1.182244870842789, -0.8683163977445642, 0.056304868987310734]",30.036778863035195,0.05655432319693597
"[0.5188371004884189, 1.1822444687613975, -0.8683712394761773, 0.05632648122858943]",30.037244421514156,0.05718270456579082
"[0.5190462336756955, 1.1822440568618555, -0.8684261215736397, 0.056348104586073686]",30.037709989345913,0.05781108593464565
"[0.5192554666612942, 1.1822436351233916, -0.8684810439990349, 0.056369739050610816]",30.03817557223177,0.0584394673035005
"[0.519464803450929, 1.182243203516442, -0.8685360078221942, 0.056391385049313854]",30.038641162455853,0.059067848672355344
"[0.5196742420218773, 1.1822427620236107, -0.8685910125305742, 0.056413042385932484]",30.039106765691105,0.05969623004121019
"[0.5198837819915801, 1.18224231062412, -0.8686460580420216, 0.05643471103394355]",30.03957237590361,0.06032461141006504
"[0.5200934220338471, 1.1822418492994498, -0.8687011440262807, 0.05645639086917786]",30.04003800024059,0.06095299277891988
"[0.5203031662764473, 1.1822413780188978, -0.8687562715864001, 0.05647808233154116]",30.04050362876011,0.061581374147774724
"[0.5205130127273431, 1.182240896765085, -0.8688114402174456, 0.056499785228143216]",30.040969270377808,0.062209755516629564
"[0.5207229587298322, 1.182240405522596, -0.8688666492391308, 0.056521499297309555]",30.04143492423247,0.06283813688548441
"[0.5209330068919408, 1.182239904263791, -0.8689218993554366, 0.05654322482190192]",30.041900585292588,0.06346651825433926
"[0.5211431597753691, 1.1822393929606057, -0.8689771912588624, 0.05656496208008645]",30.042366254551535,0.06409489962319409
"[0.5213534123548549, 1.182238871603464, -0.8690325236456744, 0.05658671056529099]",30.042831937292153,0.06472328099204894
"[0.5215637668197345, 1.1822383401653365, -0.8690878971101792, 0.05660847051718738]",30.043297629550587,0.06535166236090378
"[0.5217742238829477, 1.1822377986225305, -0.8691433118584869, 0.056630242022828244]",30.04376333026828,0.06598004372975863
"[0.5219847844345699, 1.1822372469507487, -0.8691987681435565, 0.05665202518761648]",30.044229037514487,0.06660842509861348
"[0.5221954457622373, 1.182236685135231, -0.8692542652694253, 0.05667381974426595]",30.04469475635509,0.06723680646746831
"[0.5224062119167869, 1.1822361131431023, -0.8693098043218049, 0.05669562612528468]",30.045160483932808,0.06786518783632316
"[0.522617075992622, 1.1822355309712567, -0.8693653834992504, 0.05671744362959472]",30.045626224265366,0.068493569205178
"[0.5228280477057501, 1.1822349385707802, -0.8694210053812289, 0.056739273275937675]",30.046091971167534,0.06912195057403285
"[0.5230391174367944, 1.1822343359465566, -0.8694766674501748, 0.056761114082468624]",30.046557728964252,0.0697503319428877
"[0.5232502942460079, 1.1822337230506073, -0.869532372113894, 0.05678296700022512]",30.04702348833318,0.07037871331174254
"[0.523461571392229, 1.1822330998801607, -0.8695881176129152, 0.056804831345208674]",30.047489261342577,0.07100709468059739
"[0.523672948889055, 1.182232466413366, -0.8696439039688577, 0.056826707132337416]",30.04795504518674,0.07163547604945224
"[0.5238844296365466, 1.1822318226193782, -0.8696997319654383, 0.05684859467538887]",30.048420839243622,0.07226385741830708
"[0.5240960139216706, 1.1822311684749778, -0.8697556016970686, 0.05687049401771808]",30.04888664001138,0.07289223878716192
"[0.5243077024748432, 1.1822305039554584, -0.8698115133753763, 0.05689240524862055]",30.04935244643667,0.07352062015601676
"[0.5245194945199628, 1.1822298290407516, -0.8698674668141315, 0.056914328301515306]",30.049818261077487,0.07414900152487161
