u,t,theta
"[-0.13093402830630727, 0.33993424440665976, -1.0170314920011974, 0.4281139259326816]",39.93212476926889,0.21059200379241236
"[0.33555743896077717, 0.6968186736995327, -1.0207291703377612, 0.5786510453341206]",35.033255389715215,0.3331754089850106
"[0.5484556696158783, 1.0720893696334932, -1.2603522463580847, 0.035218768727152606]",35.45793483431111,0.4746177995918547
"[-0.3130530560339688, 0.42899969457573384, -0.8316544182115359, 0.45806653332148106]",39.20180948568214,0.5029062777132235
"[-0.3318008586670362, 0.42237235113745847, -0.8871618579080893, 0.43890022712673976]",42.54350973552236,0.5060494419489312
"[0.46942552354233047, 0.628961529720189, -1.1817117230260192, 0.3518274368271471]",37.74266952813637,0.5091926061846388
"[0.2290856411714529, 0.42751474245823007, -1.219189793185492, 0.36125210445240186]",37.005045730336036,0.5123357704203465
"[0.07397752582148556, 0.3328410265420685, -1.1275129523384524, 0.3766510420657419]",36.69937746050645,0.5154789346560541
"[0.5222478555803292, 1.0549124692822394, -1.2981564108763801, 0.06958194118505229]",42.30714166894016,0.7103551172699282
"[-0.3718068536567004, 0.4413150102383049, -0.8272037897790631, 0.4241151111123079]",52.56382191546278,0.836081686698234
"[0.15178345361992865, 1.1876020881011284, -1.0055595930791341, 0.5950465774449659]",54.21002337428626,0.9020881356480946
"[-0.18046193584134826, 1.3945475125391475, -0.9447250677131066, 0.42650232492612034]",54.1871778923311,0.9052312998838022
"[-0.0927524755580874, 1.3645141611412281, -0.9610910693087297, 0.48359947922341556]",60.579026889549425,0.9555219276551247
"[0.052484168813346756, 1.2728937466848311, -0.9966685371370281, 0.5609241796154673]",66.96623176087694,0.9932398984836164
"[-0.14780020247056513, 0.3866830130818806, -0.8780169345129178, 0.49823907495899494]",75.45629476336103,0.996383062719324
"[-0.19846487513678723, 1.3757103496200374, -0.9938835635923415, 0.42951745051399404]",73.36204329866817,1.024671540840693
"[-0.4420178359837123, 1.3206015094446348, -1.0462925542772104, 0.25589949450577115]",79.88148418806622,1.049816854726354
"[0.14450395796634338, 1.16673064787165, -1.0796207985546542, 0.5857234583346234]",86.08044659394535,1.0686758401406
"[-0.5443283245314186, 1.2291163336970397, -1.093160352010448, 0.14241266454354812]",92.6820592114615,1.0875348255548458
"[0.07218251596057296, 1.4759954315701573, -0.6556528490810436, 0.2801243256489138]",29.81025915838512,3.064585129814956
"[0.024444173660040567, 1.3779073403577975, -0.8296116199516013, 0.48585327181255883]",92.84922847812155,4.441291065054905
"[0.0890287035049772, 1.2263211485291328, -1.0430234698205354, 0.5752673733930861]",92.16692811776622,4.532442827890427
"[-0.2077529984498605, 1.427372786928481, -0.8765311526281008, 0.3763209219717483]",55.33475065920473,4.629880919197364
"[0.16198994677202538, 0.4143426081346744, -1.1345116664261, 0.44458636509851973]",36.943881024815155,4.633024083433072
"[-0.08018047654566282, 0.3596854520601373, -0.9475921810186194, 0.4801435257507603]",36.52386328745522,4.636167247668779
"[-0.24412218720541953, 0.39037595261722463, -0.9411918281458177, 0.4566311049053569]",36.28288309174249,4.6393104119044875
"[-0.3464228302475566, 0.4106793940934996, -0.9823802800255405, 0.3988894294371888]",36.168208010851394,4.642453576140195
"[-0.42298898511248995, 0.42570754279074413, -1.0153303696793716, 0.3238958581435616]",36.103098259169855,4.645596740375902
"[-0.4864872860229707, 0.44168362868017447, -1.0287386068201345, 0.2383035710962491]",36.05662855668107,4.64873990461161
"[-0.5454852337442149, 0.4660112147878604, -1.0159138293335552, 0.1413080615351888]",36.00843587773847,4.651883068847318
