u,t,theta
"[-0.41391810286421854, 1.3811437370894435, -0.9137812967211723, 0.2470714097263558]",81.6778066618976,2.115349530631246
"[0.4224256522045507, 0.4519875033504966, -1.2515813649207495, 0.03841596277683762]",49.53664979335015,2.3007962205379977
"[0.6580435933823936, 1.0241625519513606, -1.0575685255103033, 0.0726808372098938]",48.416582255629585,2.3039393847737055
"[0.3723731565106012, 1.1288096179707026, -0.6503906747703718, 0.49576642960961687]",50.56565059029898,2.307082549009413
"[0.04918167377745295, 1.3253046480656268, -0.8955873596771947, 0.5345744377546899]",49.79423706193286,2.3102257132451207
"[-0.42552178223554843, 1.2521935500026689, -1.204571328648304, 0.2349298457998199]",49.236321070183266,2.313368877480828
"[0.22494200139256368, 0.6437623473512546, -0.7668732623450194, 0.6246351595951575]",45.00647673715497,2.3793753264306887
"[0.545955454303815, 0.5854563310287371, -1.1469966235830629, 0.21040154698527236]",42.700040667753065,2.410806968787765
"[0.6232795858720347, 1.1772816239682673, -0.9789700420749441, -0.04342386341043364]",41.586763228427685,2.413950133023473
"[0.36286288381591897, 1.1533736932924785, -0.6524051191441969, 0.4900284298444516]",43.97254965466583,2.420236461494888
"[0.15781255136055575, 1.292542952805061, -0.8041700360213966, 0.5379143914131745]",43.424645508713354,2.423379625730596
"[-0.0977163700716756, 1.366296993950355, -0.9609693161878724, 0.4807967352118872]",43.100331981110756,2.4265227899663038
"[-0.41837925867193365, 1.2733860580137306, -1.170622096825255, 0.25736539761126537]",42.72076690527241,2.429665954202011
"[0.20685756004245134, 0.6156716132703173, -0.7925457442397736, 0.6238057943476454]",53.26023306663197,2.4516681038519645
"[-0.4056552214417094, 0.586108427866987, -0.38800113839101324, 0.16906545952791519]",40.33196674240086,2.473670253501918
"[-0.38770282612577023, 0.56623947461975, -0.4099182311579144, 0.22755474586920463]",40.26700893133918,2.4768134177376258
"[-0.29877604150693154, 0.5796851633797417, -0.33167381559104375, 0.20787141203548612]",40.30955309652013,2.479956581973333
"[-0.35934223449892494, 0.48354282099034174, -0.6283631080048063, 0.4099961774568589]",43.358265858090896,2.505101895858995
"[0.651432411081748, 1.131314899116441, -0.8209962673664808, 0.05683022375606973]",45.67652562849165,2.51138822433041
"[0.10244456991689917, 0.34752496169003255, -1.1458712516818124, 0.37729127084660746]",37.821691171946604,2.5522493593946094
"[0.17853579475808323, 0.6311393717035775, -0.6160283434876871, 0.5919923916456973]",39.29846020261718,2.599396822930224
