u,t,theta
"[0.6110337857513758, 0.8809840686265357, -0.9192575517062005, 0.3141619523704798]",29.27874277852592,0.06145078131984275
"[0.6110322306243791, 0.8807538150627706, -0.9192745725724704, 0.3143718974886055]",29.27811869968809,0.061576447539310734
"[0.6110303702214508, 0.880522840934445, -0.91929156107249, 0.31458251020068967]",29.27749170424197,0.06170211375877871
"[0.6110282018536161, 0.8802911601591934, -0.919308515378952, 0.3147937779341774]",29.276861834605313,0.06182777997824669
"[0.6110257225569633, 0.8800587568104827, -0.9193254358497416, 0.3150057153312651]",29.27622902928015,0.06195344619771468
"[0.6110229295195554, 0.8798256343827919, -0.9193423214129901, 0.31521831932560446]",29.275593291041478,0.06207911241718266
"[0.6110198199837729, 0.8795917996636008, -0.9193591707625087, 0.3154315838474178]",29.274954638823644,0.06220477863665064
"[0.6110163905603755, 0.8793572164132222, -0.9193759856755159, 0.3156455420714124]",29.274312941622647,0.06233044485611862
"[0.6110126385783418, 0.8791219038189938, -0.9193927639299316, 0.3158601766220649]",29.273668260405184,0.062456111075586594
"[0.6110085610510025, 0.8788858583823712, -0.9194095049343239, 0.31607549081484393]",29.273020571103164,0.06258177729505457
"[0.611004154628816, 0.8786490592895865, -0.919426209307087, 0.3162915037622335]",29.272369801873584,0.06270744351452257
"[0.6109994165553551, 0.8784115204188568, -0.9194428752043673, 0.31650820293212933]",29.271715987096442,0.06283310973399055
"[0.6109943436375782, 0.878173232874068, -0.9194595023851764, 0.316725596568364]",29.271059093245686,0.06295877595345853
"[0.6109889321141841, 0.877934165903126, -0.9194760921041866, 0.3169437128583066]",29.27039900955717,0.06308444217292651
"[0.6109831796555961, 0.8776943540011761, -0.9194926410753989, 0.3171625204619426]",29.269735843841175,0.06321010839239448
"[0.6109770825662671, 0.8774537724275124, -0.9195091501162109, 0.317382042085143]",29.269069501662077,0.06333577461186246
"[0.6109706372911866, 0.877212406899424, -0.9195256192908314, 0.31760229089601855]",29.268399934766254,0.06346144083133046
"[0.6109638409787895, 0.8769702707244422, -0.9195420467713629, 0.31782325488775276]",29.267727168886225,0.06358710705079844
"[0.6109566899791602, 0.8767273486869434, -0.9195584326656412, 0.31804494808284356]",29.267051152413018,0.0637127732702664
"[0.6109491809692666, 0.87648363898324, -0.9195747761574157, 0.31826737226666074]",29.266371872141487,0.06383843948973439
"[0.6109413101571364, 0.8762391262241664, -0.9195910773270999, 0.3184905416256162]",29.265689267951387,0.06396410570920237
"[0.6109330754587242, 0.8759938477145766, -0.9196073327454226, 0.3187144222515946]",29.265003449822153,0.06408977192867035
"[0.6109244712287504, 0.875747735423781, -0.9196235459569405, 0.3189390763838341]",29.264314188357822,0.06421543814813833
"[0.6109154957824691, 0.8755008387808867, -0.9196397127266107, 0.31916445904853186]",29.263621636528143,0.06434110436760632
"[0.6109061438400621, 0.8752531068778608, -0.9196558354044128, 0.31939061686426273]",29.26292561731722,0.0644667705870743
"[0.6108964134609628, 0.8750045800807592, -0.9196719103697266, 0.31961751312843256]",29.262226255307898,0.06459243680654228
"[0.6108862993061142, 0.8747552112197419, -0.9196879396720237, 0.3198451910548965]",29.261523384451696,0.06471810302601026
"[0.6108757983425901, 0.87450501371347, -0.9197039214229811, 0.320073638545051]",29.260817038599843,0.06484376924547823
"[0.6108649070454909, 0.8742539884203999, -0.9197198545466044, 0.3203028549676255]",29.2601072145222,0.06496943546494623
"[0.6108536213696756, 0.874002124968958, -0.9197357386702598, 0.3205328499472371]",29.25939386547956,0.06509510168441421
"[0.6108419376497187, 0.8737494226352059, -0.9197515727978471, 0.3207636243007795]",29.258676978889707,0.06522076790388219
"[0.610829851113932, 0.8734958582124892, -0.9197673573229409, 0.3209951993797178]",29.257956470640533,0.06534643412335016
"[0.6108173588554543, 0.8732414488934953, -0.9197830901068478, 0.32122755964220223]",29.25723238586465,0.06547210034281814
"[0.6108044551426827, 0.8729861551301404, -0.9197987725087178, 0.3214607413713061]",29.25650457939371,0.06559776656228612
"[0.6107911392553803, 0.8727300370658043, -0.9198143997559132, 0.32169468979464494]",29.255773249703175,0.06572343278175412
"[0.6107774032385176, 0.8724730151226765, -0.9198299756094068, 0.32192947776593644]",29.25503811081528,0.06584909900122209
"[0.6107632449441122, 0.872215122716433, -0.9198454969164744, 0.32216507492898283]",29.254299274493224,0.06597476522069007
"[0.6107486597293172, 0.8719563464288836, -0.9198609633648865, 0.3224014937100488]",29.253556675484038,0.06610043144015805
"[0.6107336438274499, 0.8716966894180566, -0.9198763736351003, 0.3226387313937984]",29.252810319016003,0.06622609765962603
"[0.6107181923598425, 0.8714361362806903, -0.9198917274981412, 0.3228768022253223]",29.25206014041225,0.06635176387909401
"[0.6107023010396185, 0.8711746829785716, -0.9199070240318504, 0.32311571006871265]",29.251306116256178,0.066477430098562
"[0.6106859649895916, 0.870912316751009, -0.9199222628072131, 0.3233554667609661]",29.250548193797417,0.06660309631802998
"[0.6106691810374753, 0.8706490527130428, -0.9199374417673578, 0.3235960586670253]",29.249786407518613,0.06672876253749796
"[0.6106519431606978, 0.8703848616833747, -0.9199525614019124, 0.32383751263470617]",29.249020649668275,0.06685442875696594
"[0.6106342477769002, 0.8701197534826484, -0.9199676199385731, 0.32407981987076995]",29.248250944384154,0.06698009497643391
"[0.6106160896530876, 0.869853713414393, -0.9199826169936112, 0.324322993991324]",29.247477228493707,0.06710576119590189
"[0.610597465159423, 0.8695867510289232, -0.9199975508017074, 0.3245670264519628]",29.246699522737583,0.06723142741536989
"[0.6105783677114559, 0.8693188343124161, -0.9200124219069656, 0.32481194670479735]",29.24591770377011,0.06735709363483787
"[0.6105587934392864, 0.8690499710511895, -0.9200272286093694, 0.3250577478229928]",29.245131791421297,0.06748275985430584
"[0.6105387384818118, 0.8687801687703063, -0.9200419692312659, 0.32530442311782604]",29.244341793823324,0.06760842607377382
"[0.6105181969029375, 0.8685094075635432, -0.920056643583465, 0.3255519909821909]",29.2435476334386,0.0677340922932418
"[0.6104971625919282, 0.8682376671037533, -0.9200712514588519, 0.3258004701996187]",29.242749223213384,0.06785975851270978
"[0.6104756331472238, 0.8679649754139528, -0.9200857900416596, 0.32604983534390264]",29.241946653261532,0.06798542473217777
"[0.6104536016122932, 0.8676913025851306, -0.9201002596102004, 0.326300113964857]",29.24113980433383,0.06811109095164575
"[0.6104310637609317, 0.8674166541567554, -0.9201146585333531, 0.3265513011990917]",29.240328682244126,0.06823675717111373
"[0.6104080124442602, 0.867141000876896, -0.9201289869847112, 0.32680342400557016]",29.239513172669948,0.06836242339058171
"[0.610384446550776, 0.8668643860917297, -0.9201432413546744, 0.32705644294392877]",29.238693416353918,0.0684880896100497
"[0.61036035592948, 0.8665867470310321, -0.9201574235023121, 0.32731041563853736]",29.237869175224027,0.06861375582951766
"[0.610335737538645, 0.8663081053665936, -0.9201715309111371, 0.3275653224784341]",29.23704051399623,0.06873942204898566
"[0.6103105867221269, 0.8660284637075747, -0.9201855620497952, 0.3278211612891645]",29.23620742761483,0.06886508826845364
"[0.610284896413545, 0.8657477986168916, -0.9201995166745511, 0.32807795372843096]",29.235369822899056,0.06899075448792162
"[0.6102586616080675, 0.8654661104383736, -0.9202133933264353, 0.32833569970055515]",29.234527686276103,0.06911642070738959
"[0.610231877114554, 0.8651833977833063, -0.9202271906247764, 0.3285944006964459]",29.23368099408358,0.06924208692685757
"[0.6102045374828303, 0.8648996569269572, -0.9202409072922111, 0.3288540603464197]",29.232829722910388,0.06936775314632555
"[0.6101766349483115, 0.8646148611959352, -0.9202545431313559, 0.3291147032861331]",29.23197376057523,0.06949341936579355
