u,t,theta
"[0.18467708729575905, 1.0502887535164414, -1.0608100038704866, 0.42168238705856015]",70.59582308750296,0.0005026648778719243
"[0.04855344252575566, 0.7233329100757997, -0.8548572033966634, 0.42762739625041907]",77.54950498904527,0.005152314998187225
"[0.37016772001762577, 1.0587643478396325, -0.7869322913643436, 0.5273157937313568]",64.40312165153225,0.005529313656591168
"[0.23596980179089705, 0.7317674096380673, -0.6450633004031165, 0.4704425815176435]",49.88595665527796,0.007162974509674921
"[0.4742879749679217, 0.6446138288551625, -0.905738384999093, 0.43792568793362424]",55.449695526731794,0.008796635362758676
"[0.1697240585692734, 0.6668542498319461, -0.9021514098669171, 0.5050705785872274]",64.24743970835053,0.009047967801694638
"[0.26981713279714015, 0.7096966032221655, -0.7188799850159726, 0.5302140881389079]",46.015547019303966,0.011309959752118298
"[0.39961870889341644, 1.0880508675365208, -0.7209091772092409, 0.4404353483587967]",51.865605812420824,0.012817954385734071
"[0.22402970665263508, 0.7339429230058798, -0.6412106529523683, 0.46199092754970694]",46.142315168779554,0.012943620605202053
"[0.06269783296040592, 0.7390748312067471, -0.7591326635578907, 0.4270636680069057]",50.50739452258189,0.013823284141477921
"[0.10088746584266374, 0.7614608659701466, -0.6608271138396477, 0.3855226167563969]",44.88928026275121,0.014577281458285806
"[0.26205456101438485, 1.144207287279787, -0.7916575832757446, 0.4250776184133275]",50.08214926267264,0.014828613897221768
"[0.25154283493276663, 0.6957860477291629, -0.7618622941792934, 0.5404589599098615]",58.75852342447798,0.019226931578601107
"[0.27809996498841577, 1.1156138279588315, -0.8327478225853118, 0.4900489662538844]",43.86065567469696,0.022745585723704578
"[0.39958883278034985, 1.041619962179678, -0.7583074845831267, 0.518278412424038]",44.15509149247109,0.022871251943172556
"[0.47823938066138205, 0.9353807877611668, -0.7061098370322738, 0.49454450751748413]",44.65843495342704,0.022996918162640538
"[0.46269613716043195, 1.0419427657607185, -0.6973162708398345, 0.41882877248150074]",51.787955076480245,0.02312258438210852
"[0.5283005566352749, 0.6736575927904314, -0.8757825678432287, 0.40381849008210347]",43.38208534300331,0.0232482506015765
"[0.3989051776497283, 0.9697434766201474, -0.8648913393962429, 0.5818848011143642]",59.13566033258142,0.02337391682104448
"[0.38383166279216624, 1.0184337681777684, -0.818070238121335, 0.5597002981566913]",53.31383417084098,0.02425358035732035
"[0.09824797928558704, 0.6885088147912956, -0.9207686651744528, 0.4574393791345773]",87.49772385734006,0.02450491279625631
"[0.1558007615619355, 1.130511857821217, -0.8805312327820898, 0.3950950902519368]",67.94514546879927,0.02664123852721199
"[0.39017130840116326, 1.0505683488538402, -0.7638629223683071, 0.5176599732546814]",68.87595287601292,0.02676690474667997
"[0.20949807794500322, 0.6966226264662819, -0.7645488058953174, 0.5298142754967524]",49.466397673660914,0.02739523584401988
"[0.4072120895641438, 0.6885792620627484, -0.861889701531758, 0.5387495143581545]",88.78092046087252,0.028651898038699684
"[0.10941032025335551, 0.6991284119442329, -0.8343839930232696, 0.48660061418394696]",49.26812645037673,0.034055545475822874
"[0.05635219406171451, 0.7148942587336735, -0.8795502038735261, 0.43271097708801487]",49.233231525750334,0.034181211695290856
"[0.21278234342413502, 1.044858348272679, -1.0634362249248037, 0.4464268624391254]",70.37349210979502,0.03430687791475883
"[0.358364578011279, 1.0527598388203478, -0.8173098183580128, 0.5436198237868672]",54.964515939611374,0.035186541451034704
"[0.3765636678997714, 1.1358315534497783, -0.720026261427608, 0.30518621167786203]",39.94277765678739,0.037825532059862305
"[0.4486765255733181, 1.094054214145047, -0.7073756353374617, 0.3269889488623048]",40.155709101148865,0.03795119827933029
"[0.497364610919324, 1.0473983441382506, -0.7033230175258928, 0.34097560701016144]",40.34875000918628,0.03807686449879827
"[0.5341862530985596, 0.9941682963016855, -0.7046529848359693, 0.35191474125607686]",40.562822585029934,0.03820253071826625
"[0.06405821049816314, 0.7065727334191558, -0.9651084376639615, 0.3953355666961917]",37.27036121083145,0.038328196937734225
"[0.08714173082231592, 0.6915007015679353, -0.9548601763611525, 0.4278314074872402]",37.224435970060924,0.038453863157202214
"[0.10407740827664062, 0.6835316405745692, -0.9435695420172245, 0.44932270780975586]",37.200235914442146,0.038579529376670196
"[0.11823368189697735, 0.678616634866758, -0.9320133752331587, 0.4657846390957706]",37.185196306551354,0.03870519559613817
"[0.13072428502747113, 0.6755043557035773, -0.9203859684596063, 0.47914349434715026]",37.17551784528441,0.03883086181560616
"[0.14208903836880518, 0.6736207642390952, -0.9087557027630531, 0.4903121237003467]",37.16949280236512,0.038956528035074135
"[0.15264293876259813, 0.6726496115566216, -0.8971460457642522, 0.499807920580007]",37.16620189551671,0.03908219425454212
"[0.16259067752019493, 0.6723972027394758, -0.8855619878550178, 0.507954609803646]",37.16509860786287,0.0392078604740101
"[0.17207568692266925, 0.672736287610902, -0.874000082747982, 0.5149676538179055]",37.16583860346501,0.03933352669347808
"[0.1812068834441382, 0.6735793384921225, -0.862449724117531, 0.5209975609081937]",37.1681995316513,0.039459192912946056
"[0.1900680460404111, 0.6748640585370017, -0.8509001136279198, 0.5261493559121972]",37.17203840281505,0.039584859132414045
"[0.1987297880681999, 0.6765454701072965, -0.8393363325627803, 0.5304981396591472]",37.17726914441001,0.03971052535188202
"[0.20725196213323652, 0.6785906182973336, -0.8277433712022837, 0.5340950419010351]",37.18384833523005,0.03983619157135
"[0.21568961756616184, 0.6809758808843281, -0.8161031869209631, 0.5369730063778108]",37.191769458713686,0.039961857790817984
"[0.22409321873537524, 0.6836842968585775, -0.804398136557973, 0.5391484083519984]",37.201057499433766,0.040087524010285966
"[0.23251386245525119, 0.6867050417303845, -0.7926068224593832, 0.5406232343484566]",37.211771513029525,0.04021319022975395
"[0.24100218809270785, 0.6900314551551651, -0.7807083742481821, 0.5413843257279534]",37.22400334591651,0.04033885644922193
"[0.2496138757821147, 0.693661557098015, -0.7686776122281088, 0.5414028796863595]",37.23788710225433,0.04046452266868991
"[0.2584101508463347, 0.6975968373072299, -0.7564876568572395, 0.540631636407021]",37.253605494812575,0.04059018888815789
"[0.2674632167153412, 0.7018427852218625, -0.7441066629991191, 0.5390005149382556]",37.271407940069366,0.040715855107625876
