u,t,theta
"[-0.38598249904410975, 0.6944794594861095, -1.2182136526653158, -0.5689992517822107]",97.7616883062029,0.0697503319428877
"[1.0061691266195651, 0.8296225933247764, -0.21370980807672063, 1.211493112191368]",94.74678433732306,0.07037871331174254
"[-0.3796092970447425, 0.6707532773291706, -1.2312764106844836, -0.5765852791635112]",91.51763226749225,0.07226385741830708
"[0.9513892520442737, 1.1411472719105749, -0.3093363656822132, 1.051003080065735]",88.42809460674522,0.07289223878716192
"[0.48740788729505446, 0.18420557143895763, 0.41988657910439653, -0.15856230002150729]",88.39647236697166,0.07352062015601676
"[0.9625011290184105, 0.6188569307759829, -0.10579273917537822, 1.1775205506610487]",94.14941382045033,0.07477738289372646
"[-0.40512315982738645, 0.8130978166955865, -1.2221271148991142, -0.3719701792302243]",84.55215830153115,0.07540576426258129
"[0.9916482307925643, 1.0130720795085653, -0.25876493710947734, 1.0994741862252981]",82.08825330771484,0.07603414563143614
"[0.715467222647084, 0.29384799518993265, -0.29707862416777986, -0.1392483776567856]",81.98286103083055,0.07666252700029098
"[-0.34739405722372324, 0.5816296677555395, -1.263287849367944, -0.7105256765140636]",79.33686365565269,0.07854767110685551
"[-0.27855819541725624, 1.2725600450089354, -1.0644731629302169, 0.27678900854669963]",76.94704019053036,0.07917605247571036
"[1.0057090118219345, 0.9104640202494084, -0.22483597381916406, 1.139305509344599]",75.75476423110567,0.0798044338445652
"[0.7995882531730195, 1.3664368118194035, -0.45751781544726444, 0.5200448144243061]",79.72281755833896,0.0810611965822749
"[-0.36263028036093325, 0.6192033797493117, -1.0198172288219212, -0.9259151213561679]",92.83873732708092,0.08231795931998458
"[-0.3437244088176146, 0.5734183541557138, -1.3199623103348856, -0.6060806055750798]",72.79758808231632,0.08294634068883942
"[-0.3730874710844919, 1.0827124044768812, -1.1528860666200678, 0.046847532721155286]",71.00023463615652,0.08357472205769427
"[0.9364069756886644, 1.174223653771063, -0.3201324233963818, 0.9972827103858346]",69.42060438563462,0.0842031034265491
"[0.3745940961660325, 0.1628641699147226, 0.6972136882637204, -0.005239233317812436]",69.48702445117134,0.0854598661642588
"[-0.3484106163512782, 0.5839550710605608, -1.1588338463792702, -0.8562488347682639]",67.05662362434425,0.08797339163967817
"[-0.3532333921294671, 0.5953112826030136, -1.3244382236236811, -0.48953826389224253]",66.18998650462161,0.08860177300853302
"[-0.37710317486978323, 1.0698176768991485, -1.1393168009531591, 0.033823483659650336]",64.65393886418505,0.08923015437738786
"[0.8301286098858421, 1.3339609303054623, -0.3995869226459835, 0.8980634936940736]",63.09320953299541,0.08985853574624271
"[0.9891785678619083, 0.7078075109915829, -0.17842580799888905, 1.2368630120800128]",63.064997960637264,0.09048691711509754
"[0.38040225877172235, 0.1635046021106316, 0.679667050002099, -0.02230314484979395]",63.09639951309117,0.09174367985280724
"[-0.3689431641907008, 0.6368637946904676, -1.0049766359797736, -0.9120979294080157]",60.95173036398837,0.09488558669708146
"[-0.30217759788412996, 0.49537443507330564, -1.4540527480888552, -0.5704203679986873]",60.14782910435095,0.0955139680659363
"[-0.3606333357316206, 0.6139071860370542, -1.3151940811383875, -0.394634809112075]",59.59987035260183,0.09614234943479115
"[-0.40026882884779974, 0.9641251863740652, -1.151415599850732, -0.08508005724927231]",58.496530348840444,0.096770730803646
"[0.6523781643958247, 1.4790748546911578, -0.49673205800815384, 0.7733052775983442]",56.75195404261414,0.09739911217250084
"[0.9639354308351472, 1.10931482747924, -0.2898425544401238, 0.9678154291920072]",56.56393167267399,0.09802749354135569
"[0.9678751013978006, 0.6337694050828344, -0.1667588925015513, 1.2754192956424926]",56.64694806459007,0.09865587491021052
"[0.34631484294147313, 1.5716137648869388, -0.6218016713492828, 0.5785018050925708]",68.37881262673007,0.10179778175448476
"[-0.32585595131569606, 0.5369291743883381, -1.2083770251898303, -0.8964596401351648]",54.31259694813967,0.10493968859875896
"[-0.2641322903629447, 0.43969834744169495, -1.5692978355461558, -0.5727890952315878]",53.80002743446489,0.10556806996761381
"[-0.27578055822983255, 0.45556621121525515, -1.5703510882847522, -0.36379331381753305]",53.448078034471344,0.10619645133646866
"[-0.33182548061147915, 0.5485406607650696, -1.3995277946056963, -0.3012073199383526]",53.10856436944144,0.1068248327053235
"[-0.3924763151736183, 0.7229290973206853, -1.21444119835638, -0.2488283576292076]",52.6305882903274,0.10745321407417835
"[0.0007126608796528177, 1.5066712409224494, -0.7787277830047642, 0.43352807007586835]",50.70323741250384,0.1080815954430332
"[0.6638273729537453, 1.4723501044932075, -0.48514302453127167, 0.705232841296436]",50.1249090750858,0.10870997681188804
"[0.8899852893644591, 1.255791177465937, -0.35845624438714296, 0.8284481068248243]",49.97595837143911,0.10933835818074286
"[0.9908521184598647, 1.0167680666888752, -0.2536362362999629, 0.9498313118454936]",49.915103668872085,0.10996673954959771
"[0.9978532695640524, 0.7520042910080622, -0.15830066725364916, 1.11790080577559]",49.933439630885665,0.11059512091845256
"[0.6735276682265199, 0.26562796785615084, -0.27018002189687, -0.21878405647201593]",49.781791600260206,0.11373702776272679
"[-0.2939416940387302, 0.48231553411410844, -1.3879134819990953, -0.7935807672543638]",76.92138090321563,0.11625055323814615
"[-0.33709248612161014, 0.5592467146168227, -1.302243646017748, -0.6958756805118116]",84.43921690827443,0.116878934607001
"[-0.1352772097959755, 0.3087698514278631, -1.6370609391613355, -1.128772967867531]",53.71869930357484,0.12064922282013008
"[-0.28227488089819897, 0.4648322295217298, -1.3663435822390972, -0.8922246813454198]",47.51767424468338,0.12127760418898491
"[-0.2185733466142399, 0.3853158405538864, -1.693708811903809, -0.6176670112410502]",47.200952568401064,0.12190598555783975
"[-0.17524157350758932, 0.342436398160719, -1.8723041544852144, -0.29650229984554566]",46.966031590004114,0.1225343669266946
"[-0.14825944530690466, 0.3191584458384002, -1.9357279472426687, -0.01073832028803944]",46.77306133248708,0.12316274829554945
"[-0.1421756448610673, 0.31422770617081186, -1.9246242271087997, 0.1677942851236154]",46.60256095233025,0.1237911296644043
"[-0.16239263503477147, 0.33105526343490393, -1.867221025944449, 0.20000946997136018]",46.440311877439335,0.12441951103325913
"[-0.2030439097872881, 0.36908795819804946, -1.759956199990343, 0.13170090459773576]",46.27902190255328,0.12504789240211397
"[-0.25309663620673617, 0.4254756211073912, -1.609748544085826, 0.04069385699277258]",46.112995049012355,0.12567627377096882
"[-0.30515731333629015, 0.5002595960390918, -1.4433921593508108, -0.03395684013115594]",45.93065639935356,0.12630465513982367
"[-0.35391487524991017, 0.5969615899281413, -1.2837438895680666, -0.08336694289605145]",45.70932854043387,0.12693303650867852
"[0.4608320626323245, 1.5545986007863495, -0.5629186847727913, 0.3953905399428968]",42.94459616867654,0.12756141787753333
"[0.6602931666481631, 1.4744568576612411, -0.5046899968083937, 0.4681703289635493]",42.76375996835335,0.12818979924638818
"[0.7680113908103782, 1.3960870398907852, -0.46578653356303623, 0.519631181158671]",42.66503037607414,0.12881818061524303
"[0.841464635359148, 1.320795728954612, -0.4321069214409047, 0.564446482684254]",42.594158572837664,0.12944656198409787
"[0.8949615366364903, 1.248152044995372, -0.40042486577863756, 0.6061883560902851]",42.538502107877385,0.13007494335295272
"[0.9347141753161915, 1.1776949654241466, -0.36937353742408024, 0.6464939968575883]",42.492816950765075,0.13070332472180757
"[0.9640416746075586, 1.1090246926401701, -0.338196364089409, 0.6863774557923266]",42.454410414855715,0.13133170609066241
"[0.9849139514757005, 1.0417891061633644, -0.30639420097168835, 0.7266266909544704]",42.421752259414866,0.13196008745951726
"[0.9985587857638648, 0.9756412002378475, -0.27358448915428657, 0.7679955505582352]",42.39394521780138,0.1325884688283721
"[1.0057241630584535, 0.9102227529747114, -0.23945157734918404, 0.8113249741179502]",42.37051756473768,0.13321685019722695
"[1.006797056962902, 0.8450988591919535, -0.20371768500426837, 0.8577057895639042]",42.35134787068762,0.1338452315660818
"[1.001817444977907, 0.7796988497892489, -0.16617303728926244, 0.9087108895204884]",42.33672549741677,0.13447361293493662
"[0.9903756480107834, 0.7131154151189124, -0.12676286852494498, 0.96693167065415]",42.32759335499277,0.13510199430379147
"[0.9712255918330105, 0.6436378931899164, -0.08598404701704003, 1.0373431241895728]",42.32637258753925,0.13573037567264631
"[0.9406551220812677, 0.5667579405495602, -0.046802845616624726, 1.1326618671342756]",42.340514372493935,0.13635875704150116
"[0.9935841617706666, 1.0036517477047866, -0.6492244477878283, 0.3255825136520789]",42.984607789564045,0.15395343536943681
"[0.8990085890738417, 0.49027454188819974, -0.5813388932345825, 0.3249212332932138]",42.19953248467368,0.15458181673829166
"[0.7012779908924891, 0.28380897149719037, -0.46535301647702493, -0.14950530538731824]",41.93669068550846,0.1552101981071465
"[0.5866348765128097, 0.21961961206650468, -0.07979651877468477, -0.3068009224238892]",41.957016614657874,0.15583857947600135
"[0.47263213172775714, 0.18031544535074526, 0.3332759336874416, -0.24845363886323316]",42.03749410354588,0.1564669608448562
"[-0.22520541814153805, 0.39257079270247563, -0.9923973927612864, -1.4238406686117777]",42.79727916450805,0.16023724905798525
"[0.3496594249558404, 0.16066454471082944, 0.6179457247163255, -0.2268779041681518]",48.28961949211716,0.16149401179569495
"[0.8895396185236193, 0.4755858589237423, -0.5346302668221087, 0.30098029082366873]",50.54909564636555,0.1621223931645498
