u,t,theta
"[0.03415423379034004, 1.5700597318340443, -0.7937803077127685, 0.5995350471982542]",36.138525375641386,1.2509793658116435
"[-0.04479214665743308, 1.558149116906831, -0.8405536563972159, 0.5717995368598812]",36.05945294800828,1.254122530047351
"[-0.1280869422466719, 1.5353357553976215, -0.8918666225933769, 0.5352560639580207]",35.97253655036373,1.2572656942830587
"[-0.21433926965714795, 1.4994216648654537, -0.9477086651112901, 0.48774120184648256]",35.8757884256454,1.2604088585187665
"[-0.3008558892582126, 1.4485325333948897, -1.007430524912281, 0.4269257732681409]",35.76727299095312,1.263552022754474
"[-0.383201184983691, 1.3822778757691798, -1.0691850288490286, 0.3510982434030309]",35.64597717067009,1.2666951869901817
"[-0.4555725034054436, 1.3034487610252337, -1.1294935999430236, 0.26068933890913487]",35.51331639296735,1.2698383512258895
"[-0.5129042186530539, 1.2186561153755966, -1.1838372070809648, 0.15956656157404372]",35.37410836493719,1.272981515461597
"[-0.55357997457118, 1.1359017029282021, -1.2285562650680897, 0.05402840709652388]",35.235040424212755,1.2761246796973047
"[-0.5797340931565612, 1.0608626758876663, -1.2623012619301308, -0.0501698968515098]",35.10150147829946,1.2792678439330123
"[-0.5951194874629138, 0.9956745385647934, -1.2856719296384849, -0.14964536390275268]",34.97605502751516,1.2824110081687201
"[-0.603214664935921, 0.9401141007567703, -1.3000692616208036, -0.2431244509208699]",34.859079081363376,1.2855541724044277
"[-0.606591527746194, 0.8930145296927835, -1.3069276659892881, -0.33049580292694625]",34.74989847737404,1.2886973366401353
"[-0.6069877157202772, 0.8530496640898851, -1.3074412020704096, -0.41211783368556104]",34.647511405873956,1.291840500875843
"[-0.6055435526177639, 0.8190329005578554, -1.3025335047683357, -0.4884699819316158]",34.55091551788223,1.2949836651115505
"[-0.6030065804363206, 0.789987598297759, -1.2929025149270748, -0.560012329602868]",34.45921483792721,1.298126829347258
"[-0.5998726531830796, 0.765137994627132, -1.2790741873680342, -0.627134744422831]",34.371642705796134,1.3012699935829657
"[-0.5964766578463359, 0.7438768668501085, -1.2614466975347756, -0.6901477681299696]",34.28754838758678,1.3044131578186735
"[-0.5930497795121978, 0.7257328411943524, -1.2403223037653006, -0.7492877117650819]",34.206373866122874,1.307556322054381
"[-0.5897561487091272, 0.7103447841879469, -1.2159304980141787, -0.8047212561754893]",34.127634994177136,1.3106994862900887
"[-0.5867162482783703, 0.6974407237257917, -1.1884401060361716, -0.8565573652184628]",34.0508929272326,1.3138426505257963
"[-0.5840231603786393, 0.6868263076214898, -1.157968842188399, -0.9048466414649791]",33.97573997787107,1.3169858147615041
"[-0.5794865526722279, 0.6703265925013654, -0.9107672294222818, -1.114528186034664]",33.53121887852774,1.33584480017575
"[-0.5817850355615343, 0.678490966188684, -0.855071335742869, -1.1323183500397118]",33.44946890633464,1.3389879644114577
"[-0.5859563904878207, 0.6943750896311618, -0.7895163121354186, -1.1408612126869238]",33.3564410884008,1.3421311286471653
"[-0.5741888324480101, 0.6527898105960859, -0.6936747421356149, -1.1789677311932718]",38.2790673010334,1.370419606768534
"[-0.4571166807301057, 1.3014803429598572, -1.1232735349866247, 0.2565464818874992]",43.40916982830926,1.3924217564184875
"[0.5935969417057039, 1.3723474940972906, -0.5079763154869795, 0.7341700188713127]",60.04282178823921,3.0928736079363244
"[0.11880528345203435, 0.15916872714179156, -0.7400459972672593, -0.7366055538452048]",98.24778313806893,4.9536268354752515
"[0.7720297032651074, 1.0859710287225182, -0.4031035214179574, 0.605657597600325]",95.99924268280594,4.956769999710959
"[-0.604543553687108, 0.8058724241580068, -1.2401919466395246, -0.8526962817061049]",93.0725956059163,4.959913163946666
"[-0.3551388736347183, 0.3248705223442804, -1.6729012622220782, -0.6814770325451531]",89.26775589571002,4.978772149360912
"[-0.004126045800599508, 1.5654235497541888, -0.9051362210040226, 0.6847361311520312]",88.469225303223,4.9819153135966205
"[0.8064326408397625, 0.8968948701898454, -0.4246585219192672, 0.43329473079868364]",83.81803672368468,5.007060627482281
"[-0.5080578599997461, 1.226948718205277, -1.3031463889954336, 0.16713371975172728]",81.47964980683918,5.01020379171799
"[-0.24354749309936347, 0.24798404595705126, -1.6789892719056831, -0.805247060249788]",79.52304344780136,5.038492269839358
"[0.058263452416905635, 1.5718993731272948, -0.8567110049236376, 0.7038870964139688]",75.87085047606631,5.041635434075066
"[-0.6035951946896457, 0.7956421528674797, -1.0444028498027906, -1.0407502106256659]",73.78726958836877,5.044778598310773
"[0.4078837316601306, 0.229466209538515, 1.0082254281276306, 0.23716263817934435]",76.42524133399758,5.057351255253604
"[-0.5633676074780718, 0.6211919556021881, -1.2519741505093682, -0.4211751647176594]",70.99976794274006,5.07621024066785
"[0.5269902296466453, 1.4296559066729024, -0.553288774433895, 0.7651810457316464]",69.99986202244698,5.079353404903558
"[-0.5830056815387167, 1.0490643039828191, -1.373251386441595, -0.12676698687660462]",68.50202385318102,5.082496569139265
"[-0.4823343723636121, 0.4649185866348645, -1.4109148323148428, -0.6030635396547862]",64.2259872588577,5.123357704203465
