u,t,theta
"[0.011268120920892584, 0.7370529183332826, -0.7068108988937059, -0.3884446266431229]",92.44052649044876,0.07540576426258129
"[-0.012724111027560818, 0.8190825621360724, -0.9509220752717744, -0.26689061060275804]",80.13604619893255,0.07854767110685551
"[0.015246783634604863, 0.7284913870119941, -1.0972056915279371, 0.20192240299533923]",82.90755412340621,0.0810611965822749
"[0.027752243409002224, 0.7051491810814893, -1.1093218802920741, -0.16288680369726924]",73.41845843143489,0.08294634068883942
"[0.5831126327417012, 1.006905626605342, -0.8092890219740798, 0.9258957997583076]",70.0805008840325,0.0842031034265491
"[0.057053819879564295, 0.6635972595828751, -1.1580783356549518, -0.03760934983074032]",66.82870263898582,0.08860177300853302
"[0.38779054123690915, 0.5622280685931406, -0.35241342688470545, 0.03663712066178012]",73.42475427630538,0.08923015437738786
"[0.41110343502919405, 1.1620930087747774, -0.847688563175104, 0.7655534164600432]",63.755309987141075,0.08985853574624271
"[0.009293334203556896, 0.7415680437709953, -0.8029952308540167, -0.38019523958713564]",73.38536051881091,0.09488558669708146
"[0.18057909964456056, 0.5732137773788305, -1.1332156539380738, 0.09721737741334399]",60.76107141657076,0.0955139680659363
"[0.09915322815416117, 0.6217702621003658, -1.1715187674770027, 0.10200419550683558]",60.29189030846481,0.09614234943479115
"[-0.011757533214053716, 0.9190088019794276, -1.0173877720751687, -0.17560499839160937]",59.984225675903716,0.096770730803646
"[0.0966157590240846, 1.1081717449144544, -1.0751718406723718, 0.4060709402116492]",57.8810060785289,0.09739911217250084
"[0.6037921695475872, 0.9538338186520968, -0.7923047532622127, 0.92277799578387]",57.27834142963914,0.09802749354135569
"[0.6142874060321402, 0.9010029166976038, -0.7054024189151247, 0.865648292025668]",66.67423183849586,0.09928425627906537
"[0.5067963948802978, 1.1052643033482803, -0.6581469800889268, 0.4178200449133557]",58.31820123949093,0.09991263764792022
"[0.1657312093305968, 0.5797180656804757, -0.3312514750812895, -0.34570204565843327]",57.49799683163716,0.10054101901677506
"[-0.013214488166843437, 0.9095763441001868, -1.0976785341746356, -0.06859336169574809]",70.80910647789469,0.10179778175448476
"[0.6082873286255696, 0.795605782875842, -0.545586522076653, 0.6092603032206734]",84.08278370872495,0.10431130722990412
"[0.07831942607879017, 0.6405088342247632, -1.1647432185289242, 0.1630047702162308]",53.48065051467961,0.10745321407417835
"[-0.01618444521021153, 0.8607912269521408, -1.0921384320015952, -0.06794232107474255]",53.03913031014665,0.1080815954430332
"[0.027839815995742836, 1.0270497318928666, -1.11246117145248, 0.22907799103463392]",51.676193431991614,0.10870997681188804
"[0.44408410981287305, 1.1475209975322496, -0.7752947893117508, 0.7343808890957927]",50.66164197041085,0.10933835818074286
"[0.12599299852185217, 0.6019769926235579, -0.7359013561624003, -0.42186405018357637]",54.46852520382828,0.11373702776272679
"[0.08272335798863052, 0.6362627853360404, -0.5531526126234942, -0.4464062650793882]",50.891009875059225,0.11436540913158164
"[0.052711905071873316, 0.6689249265987599, -1.0789872925569015, -0.22739349545502766]",77.4558400331863,0.11625055323814615
"[0.00928738646841347, 0.7415819373684094, -1.047769754773424, -0.23912310722794108]",85.07817450567319,0.116878934607001
"[0.18105694665804906, 0.573019345721306, -0.3872624139052166, -0.3536583362399357]",63.506073672733976,0.12002084145127523
"[0.17859508164742904, 0.574030804862109, -0.8773571281157521, -0.29998684141753706]",54.1451234185581,0.12064922282013008
"[0.042024476615945036, 0.6831357394107412, -1.0286979502792795, -0.28769782107808495]",48.03501521096294,0.12127760418898491
"[0.16896233934504967, 0.578224897374043, -1.1461272507338798, 0.14938391132599396]",76.26474326430161,0.1237911296644043
"[0.2941797150392144, 0.549851204516097, -0.31415210796991294, -0.1450814291611311]",51.08540974701445,0.12441951103325913
"[0.44835002918202554, 1.1452963633231945, -0.7581585040814277, 0.7175165679235641]",60.285071581364946,0.12504789240211397
"[0.4227098497170648, 1.1574740146619298, -0.8221191501878163, 0.7571721222155051]",72.4823534168763,0.12630465513982367
"[0.067265324742589, 0.6519353037498304, -1.125043067882121, -0.14337791839643785]",90.69211467621327,0.12756141787753333
"[0.017357915655325587, 0.7242035008311275, -1.102182675807145, 0.19929898293760934]",45.83042825935039,0.12881818061524303
"[-0.01620973373745701, 0.8626483799929354, -1.0648098527986831, 0.10384217215562631]",45.34400307442722,0.12944656198409787
"[0.036888350804096616, 1.0414456422331773, -0.9868927827254925, 0.2624258962014454]",44.29256455395775,0.13007494335295272
"[0.34131751724428877, 1.1795423295935057, -0.7560361847194468, 0.5345865419371169]",43.40636142619848,0.13070332472180757
"[0.47608372529532644, 1.1286934865164904, -0.6902407493676199, 0.6345089339575092]",43.22566124340121,0.13133170609066241
"[0.5545913818191492, 1.0535973321303884, -0.6584098921303688, 0.7153372934012312]",43.14839693933943,0.13196008745951726
"[0.6013559244090038, 0.9618617581787775, -0.6540137116773423, 0.7945414877602318]",43.13773239221775,0.1325884688283721
"[0.5974366715809525, 0.9734098831045219, -0.6339098462411936, 0.7491489438718848]",47.60711107021645,0.13573037567264631
"[0.060639059601101684, 0.6593702799395287, -1.137582851560399, 0.234361591829589]",54.65933676903289,0.13635875704150116
"[0.35481105571250754, 0.554583999710279, -0.9079062804811874, 0.08893122225806269]",49.61409843335409,0.14012904525463024
"[0.5537519090768246, 1.0547314414193465, -0.6859354592924777, 0.7696388022201119]",52.845994013595536,0.14138580799233993
"[0.6060414771551927, 0.9456408185021158, -0.6010939229150242, 0.6756718712609933]",44.0523971385889,0.14389933346775932
"[0.4756347697721995, 1.1289938955226453, -0.663145256703824, 0.49638598959634317]",44.267253840215396,0.14452771483661417
"[0.0750367309694175, 0.6437833564867361, -1.0847371408075943, -0.21424754876308583]",64.82763941433609,0.145156096205469
"[0.24691242712837053, 0.5542855930341812, -0.6348780640399764, -0.28194162359314406]",62.97388267657718,0.14955476578745291
"[0.602861821375852, 0.7750599314726768, -0.5819935729166563, 0.7471807057688652]",66.4171470182601,0.15081152852516258
"[0.6026247171515223, 0.9577765921634556, -0.6207214687313849, 0.4748843985417407]",43.518270218466874,0.15458181673829166
"[0.16016974928909475, 0.582392717046596, -1.1005701777734076, -0.07481479162056943]",61.26085457744288,0.1552101981071465
"[0.4042675639783412, 0.5674818138314395, -0.26322140952213735, 0.1568962706539852]",48.76180085751067,0.15583857947600135
