u,t,theta
"[0.49059344492162943, 0.7413039149840733, -0.6909017673806922, 0.2291412475432432]",51.68559958751546,0.0018851441065645324
"[-0.047241503525526925, 0.6688664858161304, -0.8676315919249227, -0.4671766886979304]",56.33614863724222,0.0025135254754193766
"[-0.11591451005994331, 0.8519533629379711, -0.9880450225838471, -0.3294227226350688]",75.85447962579718,0.0031419068442742207
"[0.4950387996492272, 0.9798327264905946, -0.6398729097728015, 0.5870101931205547]",69.77253752341933,0.006912195057403285
"[-0.013596084595754725, 0.6328372551890196, -1.1165450780065977, -0.15930533261233865]",79.84563955227492,0.00754057642625813
"[0.47815834267588103, 0.7155995536129798, -0.44769913140497347, 0.5421290518586428]",40.39181115046685,0.0270203988607583
"[0.5146665333516113, 0.8346411276500569, -0.7199497337396162, 0.26872647120998294]",44.22393511783889,0.02764878022961314
"[0.1245036891636867, 0.5589418531828098, -0.1107442213765512, -0.1576385205028472]",43.807541470566726,0.030790687073887362
"[0.0998068100489665, 0.5660898695651068, -0.12370266310291357, -0.20357230894295741]",43.68430292680011,0.031419068442742205
"[0.15430889051286648, 0.553115955998295, -0.889890517789553, -0.23870814368122853]",54.70808655519331,0.03330421254930674
"[0.2835287649160177, 0.5610287719479489, -0.6401608373609112, -0.14902627683244676]",41.37634353032549,0.03518935665587127
"[0.3658436907998119, 0.5967748323423419, -0.2201234814004258, 0.3991473717987982]",41.430971497679316,0.03644611939358096
"[-0.11354477962457618, 0.8249197938245485, -1.0305681356373275, -0.2988479108857736]",56.757486245137116,0.037074500762435805
"[-0.09842840822642257, 0.9706221779385373, -1.1523579936558366, 0.03723631049809532]",46.51627838961956,0.03958802623785518
"[-0.01337279910434908, 0.6326329261799254, -1.0345808145009308, -0.3197227162660847]",65.13334036248096,0.040216407606710025
"[0.1901778268348549, 1.182100592488503, -0.7520064343893762, 0.32665399926651145]",58.030514989153275,0.040844788975564865
"[0.333605586666779, 0.5794079807072227, -0.18585690407090624, 0.24449482839996084]",82.77850610239679,0.04210155171327455
"[-0.0595643367860159, 1.0466530735054296, -1.2849781314876478, -0.2003894809522744]",91.4464498475224,0.049013746770677845
"[0.32493789900184483, 0.5755249366712119, -0.21067345368197563, 0.13783607254280728]",44.09664151119826,0.05215565361495206
"[0.2643651359302075, 0.5564173785708055, -0.5591375846516695, -0.18843340604483477]",44.56138123937116,0.052784034983806905
"[0.19234011485455016, 0.5498904228671778, -0.7107023435587808, -0.27884186971337704]",44.72986173466696,0.05341241635266175
"[0.2011948420139469, 0.5497998950844626, -0.6955473976561288, -0.26952901019318715]",44.70740233059505,0.0540407977215166
"[0.29842560832399795, 0.5655051887804377, -0.46187453084908797, -0.11817058229862111]",44.426025398687706,0.05466917909037143
"[0.26423727707100264, 0.5563908252333618, -0.8247351201485401, -0.10059563591549373]",46.30329740199222,0.05655432319693597
"[0.252785476289679, 0.5542342982460233, -0.5852337290391313, -0.2066835756462025]",60.69432647332681,0.05718270456579082
"[-0.0864021538252935, 1.0000918286798324, -1.0783899313917589, 0.14189765993468068]",55.99343743948322,0.05781108593464565
"[0.23068330642372378, 0.5512897453233937, -0.09940069474580918, 0.08499969911062878]",61.192015527373535,0.05969623004121019
"[0.47012013283947457, 0.7016018232529847, -0.6900590318678758, 0.18791639408355093]",90.5172485512173,0.061581374147774724
"[0.18863389744448306, 0.5500019683991862, -0.09746348215106104, -0.023879043431947574]",42.669309698884206,0.062209755516629564
"[0.21669954626743834, 0.5502388854616007, -0.7262547974992847, -0.23361405960678336]",84.42714237025592,0.06660842509861348
"[-0.08577499537631725, 0.7306272796553905, -1.109927671332405, -0.013291720392140561]",53.45025474532177,0.068493569205178
"[0.26321482454815576, 0.556180465214603, -0.586370247074315, -0.18935821843721304]",51.591301311503386,0.06912195057403285
"[0.1515669133090394, 0.5535286260193172, -1.0716199641123183, 0.12402293978346919]",38.456929459134145,0.07289223878716192
"[0.008526443242360751, 0.6143552286293991, -1.1343060299991745, 0.05613126499464176]",38.83207018218506,0.07352062015601676
"[-0.07424154883359764, 0.7085720046679086, -1.1077104512923945, 0.037643559932450874]",39.24612461437371,0.07414900152487161
"[-0.11059604875705802, 0.9254400021294609, -0.9833252465678248, 0.10177086184838566]",40.31762102471569,0.07477738289372646
"[0.46004587514732637, 1.045959121633154, -0.6591063967784544, 0.3709888947212324]",49.28775996688279,0.07540576426258129
